year,country,TotalDeaths,NoInjured,NoAffected,NoHomeless,TotalAffected,AIDContribution000US,ReconstructionCosts000US,ReconstructionCostsAdjusted,InsuredDamages000US,InsuredDamagesAdjusted000,TotalDamages000US,TotalDamagesAdjusted000US,ISO,incgrp,wb_region,disp_area,UN_status_detail,UNmemberstate,UN_status,territoryof,ISO_governing,UN_contregion_code,UN_continental_region,UN_subregion_code,UN_subregion,UN_intermedregion_code,UN_intermediary_region,m49_code,fsci_regions
1987,Azores Islands,28,0,0,0,0,0,0,0,0,0,0,0,,,,NO,PT Territory,0,Occupied territory,,PRT,,,,,,,,
1998,Azores Islands,10,100,0,1000,1100,0,0,0,0,0,72000,119686,,,,NO,PT Territory,0,Occupied territory,,PRT,,,,,,,,
1989,Azores Islands,144,0,0,0,0,0,0,0,0,0,0,0,,,,NO,PT Territory,0,Occupied territory,,PRT,,,,,,,,
1980,Azores Islands,69,600,21300,0,21900,0,0,0,0,0,5000,16441,,,,NO,PT Territory,0,Occupied territory,,PRT,,,,,,,,
1964,Azores Islands,0,0,1000,0,1000,0,0,0,0,0,0,0,,,,NO,PT Territory,0,Occupied territory,,PRT,,,,,,,,
1996,Azores Islands,0,0,60,0,60,0,0,0,0,0,66000,114020,,,,NO,PT Territory,0,Occupied territory,,PRT,,,,,,,,
1999,Azores Islands,35,0,0,0,0,0,0,0,0,0,0,0,,,,NO,PT Territory,0,Occupied territory,,PRT,,,,,,,,
1997,Azores Islands,29,5,0,50,55,0,0,0,0,0,16300,27516,,,,NO,PT Territory,0,Occupied territory,,PRT,,,,,,,,
1989,Netherlands Antilles,11,0,0,0,0,0,0,0,0,0,50000,109291,,,,NO,NL Territory,0,,,NLD,,,,,,,,
2001,Netherlands Antilles,15,0,4,0,4,0,0,0,0,0,0,0,,,,NO,NL Territory,0,,,NLD,,,,,,,,
1995,Netherlands Antilles,2,0,40000,0,40000,0,0,0,700000,1244748,1000000,1778211,,,,NO,NL Territory,0,,,NLD,,,,,,,,
1960,Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0,,,,NO,NL Territory,0,,,NLD,,,,,,,,
1997,Afghanistan,229,80,20000,750,20830,0,0,0,0,0,10,17,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
2004,Afghanistan,97,163,2800,2700,5663,18,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
1990,Afghanistan,246,0,0,0,0,0,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
2020,Afghanistan,328,251,42941,8625,51817,0,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
2012,Afghanistan,429,427,48394,2680,51501,0,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
1996,Afghanistan,130,125,12355,750,13230,0,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
2001,Afghanistan,507,20,204425,250,204695,2837,0,0,0,0,10,15,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
1991,Afghanistan,1497,0,137200,9400,146600,0,0,0,0,0,60000,119377,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
1983,Afghanistan,12,483,27440,6580,34503,0,0,0,0,0,3000,8162,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
2005,Afghanistan,759,142,37901,7775,45818,1856,0,0,0,0,5050,7007,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
2013,Afghanistan,228,170,21485,0,21655,0,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
2017,Afghanistan,241,47,9545,1650,11242,0,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
1980,Afghanistan,0,0,30000,0,30000,0,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
2016,Afghanistan,192,20,0,0,20,0,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
1999,Afghanistan,205,500,81387,31275,113162,906,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
2009,Afghanistan,140,112,62521,3250,65883,0,0,0,0,0,20000,25261,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
1988,Afghanistan,0,0,161000,0,161000,0,0,0,0,0,260000,595748,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
1994,Afghanistan,160,330,100000,0,100330,50,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
1963,Afghanistan,107,0,0,0,0,0,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
2003,Afghanistan,150,25,500,4250,4775,0,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
2010,Afghanistan,520,237,45000,1000,46237,3766,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
1976,Afghanistan,101,0,170000,0,170000,0,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
1982,Afghanistan,500,3000,35000,0,38000,0,0,0,0,0,1000,2808,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
2008,Afghanistan,1348,222,452602,180,453004,3417,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
2022,Afghanistan,1344,3369,382302,18500,404171,0,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
2002,Afghanistan,4178,1553,302279,10000,313832,6538,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
1969,Afghanistan,0,0,48000,0,48000,0,0,0,0,0,200,1477,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
2011,Afghanistan,159,172,1753000,9700,1762872,0,0,0,0,0,142000,171058,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
2000,Afghanistan,634,40,2582228,0,2582268,715539,0,0,0,0,50,79,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
2019,Afghanistan,211,17,123150,7775,130942,0,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
1972,Afghanistan,161,15,250000,0,250015,0,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
1989,Afghanistan,61,0,0,0,0,0,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
1971,Afghanistan,100,0,0,0,0,0,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
1995,Afghanistan,381,64,0,7610,7674,35,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
2015,Afghanistan,481,58191,26575,45100,129866,0,0,0,0,0,3000,3430,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
1992,Afghanistan,614,0,4000,0,4000,180,0,0,200,386,4000,7725,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
2021,Afghanistan,396,33,11035000,0,11035033,0,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
2018,Afghanistan,179,55,13504000,0,13504055,0,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
1987,Afghanistan,70,0,0,0,0,0,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
2006,Afghanistan,408,185,2225515,8210,2233910,74323,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
2007,Afghanistan,336,60,26755,3480,30295,0,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
1964,Afghanistan,74,0,400,0,400,0,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
1993,Afghanistan,301,0,0,1000,1000,0,0,0,0,0,0,0,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
2014,Afghanistan,575,135,140000,10000,150135,0,0,0,0,0,3000,3434,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
1984,Afghanistan,1,35,0,0,35,0,0,0,0,0,5000,13042,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
1978,Afghanistan,120,140,264044,7500,271684,0,0,0,0,0,52000,216000,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
1998,Afghanistan,7353,3053,117783,45000,165836,12496,0,0,0,0,20000,33246,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
1994,Angola,300,147,0,0,147,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
2016,Angola,113,0,4744,5155,9899,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
2017,Angola,28,60,1446500,3750,1450310,0,0,0,0,0,2000,2211,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
2011,Angola,147,0,90584,100,90684,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
2004,Angola,447,95,357045,1700,358840,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
1990,Angola,70,0,0,0,0,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
2015,Angola,459,4599,3000,2000,9599,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
2018,Angola,27,12,3139,0,3151,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
2010,Angola,25,31,110875,78875,189781,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
2000,Angola,294,84,70117,9000,79201,0,0,0,0,0,10000,15736,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
1995,Angola,367,8,1007,0,1015,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
1988,Angola,26,0,0,0,0,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
2009,Angola,210,40,245938,5065,251043,84,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
1991,Angola,58,0,0,0,0,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
2007,Angola,625,100,58343,6000,64443,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
2020,Angola,33,0,1600600,0,1600600,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
1992,Angola,27,42,0,0,42,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
1998,Angola,129,0,1113,0,1113,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
2002,Angola,58,35,0,0,35,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
2005,Angola,20,70,0,10000,10070,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
1999,Angola,216,0,873,0,873,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
2006,Angola,2440,12,57570,225,57807,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
2013,Angola,25,3,1000,0,1003,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
1987,Angola,59,0,673,0,673,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
2014,Angola,26,0,0,0,0,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
1983,Angola,126,0,0,0,0,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
2019,Angola,71,0,11985,4535,16520,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
1997,Angola,0,0,105000,0,105000,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
2021,Angola,22,2,9935,0,9937,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
2012,Angola,16,100,1833900,0,1834000,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
2001,Angola,360,119,40348,0,40467,75,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
1985,Angola,0,0,500000,0,500000,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
2008,Angola,192,0,88895,0,88895,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
1989,Angola,766,0,2015525,0,2015525,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
2003,Angola,40,6,0,825,831,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
1981,Angola,0,0,80000,0,80000,0,0,0,0,0,0,0,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
1960,Anguilla,5,250,0,1000,1250,0,0,0,0,0,35000,320674,AIA,,,NO,UK Non-Self-Governing Territory,0,Permanent observer to the UN,,GBR,019,Americas,419,Latin America and the Caribbean,029,Caribbean,660,Latin America & Caribbean
1975,Anguilla,14,0,0,0,0,0,0,0,0,0,0,0,AIA,,,NO,UK Non-Self-Governing Territory,0,Permanent observer to the UN,,GBR,019,Americas,419,Latin America and the Caribbean,029,Caribbean,660,Latin America & Caribbean
1979,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,AIA,,,NO,UK Non-Self-Governing Territory,0,Permanent observer to the UN,,GBR,019,Americas,419,Latin America and the Caribbean,029,Caribbean,660,Latin America & Caribbean
1999,Anguilla,0,0,150,0,150,0,0,0,0,0,50,81,AIA,,,NO,UK Non-Self-Governing Territory,0,Permanent observer to the UN,,GBR,019,Americas,419,Latin America and the Caribbean,029,Caribbean,660,Latin America & Caribbean
