ISO,m49_code,country,incgrp,fsci_regions,UNmemberstate,UN_status_detail,UN_status,UN_contregion_code,UN_continental_region,UN_subregion_code,UN_subregion,UN_intermedregion_code,UN_intermediary_region,wb_region,disp_area,territoryof,ISO_governing,totalpop,GDP,GDP_percap,landarea,agland_area,cropland,avail_fruits,avail_veg,UPFretailval_percap,safeh20,fies_modsev,pctcantafford,cohd,pou,All5,NCD_P,NCD_R,SSSD,zeroFV,MDD_W,MDD_iycf,zeroFV_iycf,fs_emissions,emint_cerealsnorice,emint_eggs,emint_beef,emint_chickenmeat,emint_pork,emint_cowmilk,emint_rice,yield_cereals,yield_citrus,yield_fruit,yield_eggs,yield_beef,yield_chickenmeat,yield_pork,yield_pulses,yield_cowmilk,yield_roottuber,yield_treenuts,yield_vegetables,croplandchange_pct,agwaterdraw,functionalintegrity,fishhealth,pesticides,sustNO2mgmt,aginGDP,unemp_tot,unemp_r,unemp_u,underemp_tot,underemp_r,underemp_u,spcoverage,spadequacy,childlabor,landholding_fem,cspart,mufppurbshare,righttofood,fspathway,govteffect,foodsafety,healthtax,accountability,open_budget_index,accessinfo,damages_gdp,kcal_total,mobile,soccapindex,pctagland_minspecies,genres_animal,genres_plant,rcsi_prevalence,fpi_cv,foodsupplyvar
AFG,004,Afghanistan,Low income,Southern Asia,1,Member State,"Territory, region, or administrated by a state",142,Asia,034,Southern Asia,,,South Asia,NO,Member State,,39835428,20116137325.8206,516.74786,652.22998,383.56,80.940002,108.08219,164.19179,21.342337,27.58895624055178,70,,,29.8,,,,,,,22.0586,58.5706,20586.061,.1006,2.6389999,12.7666,.41060001,,3.9377,1.4419,1.9799,7.8426,11.5643,.01913,180,.008,,.6303,524.3,15.9369,1.8777,9.7441,.45465776,30.613808,98.0323811368818,,,1.07473916298447,27.0135,11.71,10.605,15.238,5.9000001,5.4000001,7.6999998,8.8205824,22.986309,9,,.25400001,0,2,0,-1.523114800453186,20,0,-.93699998,43,1,0,.5897438526153564,58.255814,.24718581,.028212724,,.953,58.719753,.95523268,26
AGO,024,Angola,Lower middle income,Sub-Saharan Africa,1,Member State,"Territory, region, or administrated by a state",002,Africa,202,Sub-Saharan Africa,017,Middle Africa,Sub-Saharan Africa,NO,Member State,,33933611,72546985708.57069,2137.9094,1246.7,569.5249,52.150002,209.15068,68.904106,36.18819,,77.699997,94.300003,4.5339999,20.8,,,,,,,29.06923,36.35851,88273.297,.1781,1.0195,57.610802,3.6127,6.3980999,3.7683001,7.6124001,.9066,10.912,20.5165,.056781,165.3,.009,72.40000000000001,.4072,498.3,9.3687,.7654,3.6413,.095877275,.098854445,99.13437866905551,13.56570612493914,.0099999998,.859817667652125,9.4297705,8.3330002,1.386,15.142,,,,21.575878,23.596813,9.6999998,,.347,37.515759,2,1,-1.181796789169312,40,0,.082999997,30,1,0,,44.559509,.3430382,21.960835,,,50.109016,.048542775,25
ALB,008,Albania,Upper middle income,Northern America and Europe,1,Member State,"Territory, region, or administrated by a state",150,Europe,039,Southern Europe,,,Europe & Central Asia,NO,Member State,,2811666,18260043499.8068,6494.3857,27.4,11.655551,6.8755498,492.10959,908.16443,285.0545,70.67453739329508,30.9,20.1,4.197,3.9,,,,,,,52.49851,25.73565,4570.6099,.2656,.94099998,4.4699998,.50340003,5.4298,1.5733,,5.2092,25.7059,21.8269,.108358,116,.011344,49.4,1.222,3028.4,26.2742,4.3799,28.558,-.24856143,2.1622517,80.0572295874791,16.19229871496776,1.1,1.03053502930727,19.2521,13.329,10.692,14.763,,,,54.885509,27.989923,2.8,8.8999996,.66000003,19.884487,2,1,-.1357431560754776,80,0,.75400001,52,1,0,.6885090470314026,91.002945,.2595686,0,,4.432,,.801364,20
AND,020,Andorra,High income,Northern America and Europe,1,Member State,"Territory, region, or administrated by a state",150,Europe,039,Southern Europe,,,Europe & Central Asia,NO,Member State,,77354,3329910723.76078,43047.688,.47,.18719999,.0072000003,,,620.90063,90.64000335628192,,,,,,,,,,,,,36.745098,,,,,,,,,,,,,,,,,,,,-2.4999993,,100,,,,.54263502,,,,,,,,,,,,0,2,0,1.825594305992126,80,0,,,1,,,121.65923,,0,,,,.5919587,
ARE,784,United Arab Emirates,High income,Northern Africa & Western Asia,1,Member State,"Territory, region, or administrated by a state",142,Asia,145,Western Asia,,,Middle East & North Africa,NO,Member State,,9991083,358868765174.924,36284.555,71.019997,3.8979998,.898,153.61644,172.54794,400.3367,,7.5,0,3.1110001,5.6,,,,,,,,,30118.553,3.0437,.5007,4.3544998,1.5523,,1.9214,,26.0228,25.3521,9.081300000000001,.113402,250,.012366,,,1052.7,23.9435,23.8936,39.6409,1.5590199,2000,96.9481699646919,22.99150379945499,,1.30448605439654,.71789402,3.188,2.4809999,3.4579999,,,,,,,,.273,36.403393,2,1,1.32550311088562,100,1,-.73299998,,0,0,.8707387447357178,185.77942,.62886202,0,,,,.75940055,23
ARG,032,Argentina,Upper middle income,Latin America & Caribbean,1,Member State,"Territory, region, or administrated by a state",019,Americas,419,Latin America and the Caribbean,005,South America,Latin America & Caribbean,NO,Member State,,45808747,491492700657.012,10729.232,2736.6899,1083.8176,337.00757,220.65753,181.20547,323.93674,,37,11,3.3410001,3.7,,,,,,,,,245212.41,.1164,.27169999,33.3372,.1234,1.7377,.37310001,1.3602,5.2126,25.4439,16.0782,.194866,226.5,.029297,93.5,1.4809,6761.2,25.0931,1.2769,17.6529,-2.366323,3.1874828,89.8026413360524,34.93721708682994,7.1599998,.284085791224486,6.8360801,11.46,8.7080002,12.957,,,,51.323914,40.054531,,,.86900002,60.121346,2,0,-.2169417291879654,80,0,1.428,50,1,0,.5755677223205566,121.1704,.34358957,1.2879082,0,5.975,,.28198838,34
ARM,051,Armenia,Upper middle income,Northern Africa & Western Asia,1,Member State,"Territory, region, or administrated by a state",142,Asia,145,Western Asia,,,Europe & Central Asia,NO,Member State,,2968128,13861183873.5931,4670.0088,28.469999,16.76,5.04,317.78082,576.16437,176.82492,86.91066001444592,10.7,42.900002,3.247,3.5,,,,,,,36.30882,22.29481,3827.8816,1.2929,.389,6.5088,.50340003,3.2370999,.82929999,,2.0558,,12.2478,.138459,124,.010476,71.90000000000001,2.2129,2405.1,21.3052,2.7334,28.9984,-.011904278,24.224482,92.0683176679517,,1.27,1.17978301572185,11.7173,21.205999,13.456,27.027,5.5,7.3000002,3.7,67.018478,36.373402,3.9000001,25.5,.736,0,2,1,-.1242361143231392,40,0,1.122,61,1,0,.6921386122703552,117.73577,.4566046,0,,4.297,,.69436294,22
ATG,028,Antigua and Barbuda,High income,Latin America & Caribbean,1,Member State,"Territory, region, or administrated by a state",019,Americas,419,Latin America and the Caribbean,029,Caribbean,Latin America & Caribbean,NO,Member State,,98728,1471125925.92593,14900.798,.44,.090000004,.050000001,361.23288,185.53426,345.98157,,33,,4.5040002,,,,,,,,,,148.7738,0,1.0655,32.1758,6.0187001,18.5868,2.8722,,3.6667,4.6044,6.3508,.048346,157.9,.012308,56.4,,887.6,3.8831,,3.9953,0,3.4615386,99.8439937597504,39.48336877057314,2.8,1.30309287014305,2.1363101,,,,,,,,,,,,0,3,0,-.149707019329071,80,0,,,1,17.03023,.8326254487037659,187.89122,,0,,,,.85986423,27
AUS,036,Australia,High income,Oceania,1,Member State,"Territory, region, or administrated by a state",009,Oceania,053,Australia and New Zealand,,,East Asia & Pacific,NO,Member State,,25739256,1542659899992.54,59934.129,7692.02,3557.75,309.95999,178.27397,234.9041,991.45514,,11.9,.69999999,2.5610001,2.5,,,,,,,,,174694.23,.27020001,.3459,22.007401,.2367,2.8276999,.6372,1.0383,1.6505,20.1019,13.2159,.150134,272.7,.018937,77.90000000000001,1.0805,6311.6,39.7799,3.715,26.1521,-.25874305,2.4440732,96.055403043905,27.75861035227078,2.05,.815623975001982,1.89797,6.46,5.0710001,7.1240001,11.3,8.6000004,11.8,,,,,.82800001,1.6255218,3,0,1.619163393974304,100,0,1.756,79,1,.21618505,.6615644693374634,107.65932,.6619432,15.505072,,249.056,,.37838158,16
AUT,040,Austria,High income,Northern America and Europe,1,Member State,"Territory, region, or administrated by a state",150,Europe,155,Western Europe,,,Europe & Central Asia,NO,Member State,,8956279,477082467454.295,53267.934,82.519997,26.4676,13.879499,254.10959,249.09589,795.35626,98.90064200220459,3.3,.80000001,2.9809999,2.5,,,,,,,,,18286.559,.13779999,.57749999,13.3397,.26100001,1.6159,.64270002,,7.3864,,12.3891,.171131,338.7,.012756,99.3,2.2949,7270.6,36.5165,16.6111,36.767,-.34064651,.099227801,87.5037692462802,,4.0300002,.643222535731692,1.17093,5.3600001,2.8180001,6.9660001,3.4000001,2.3,4.1999998,,,,34.5,.89300001,30.720236,2,0,1.655057430267334,100,0,1.483,,1,0,.8545758128166199,118.99813,.65738195,7.4610243,9,11.964,,1.4087542,26
AZE,031,Azerbaijan,Upper middle income,Northern Africa & Western Asia,1,Member State,"Territory, region, or administrated by a state",142,Asia,145,Western Asia,,,Europe & Central Asia,NO,Member State,,10145212,54622176470.5882,5384.0352,82.645996,47.801003,23.57,234.24658,506.68494,181.62894,88.32276401497202,9.5,0,2.533,2.5,,,,,,,34.83471,38.19231,15604.118,.23360001,.68129998,11.6282,.50599998,2.8787,1.182,2.5906,3.2174,15.8665,12.5516,.079178,111.8,.011803,51.9,1.6942,1687.4,18.2083,1.2652,26.1667,1.546882,32.406631,71.7414918022813,,.23,.705827461965388,6.9257798,6.4629998,4.3000002,7.6490002,,,,64.643616,2.5745189,,25,.20200001,0,2,1,-.1702324599027634,80,0,-.80599999,57,1,0,.6428636908531189,102.02307,.50716829,.095785439,0,13.237,,.57771724,50
BDI,108,Burundi,Low income,Sub-Saharan Africa,1,Member State,"Territory, region, or administrated by a state",002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Sub-Saharan Africa,NO,Member State,,12255429,2902029385.82592,236.79541,25.68,20.33,15.5,216.60274,103.45205,13.772078,,,97.199997,2.9430001,,,,,,,,18.48604,9.260567999999999,7895.3608,.2191,1.872,60.5359,1.1035,21.5711,3.9031,.70889997,1.3143,,7.4996,.030975,202.2,.009,71.2,.6368,481.1,9.055099999999999,1.084,9.283099999999999,0,1.7708998,68.4741812041736,,.029999999,.767308116553698,28.454399,1.707,.76499999,8.9829998,7.6999998,7.8000002,7.1999998,,,20.5,,.35699999,0,1,1,-1.259296178817749,40,0,-.65600002,9,0,0,,55.767147,.43029925,40.199337,0,,35.151871,.82778525,31
BEL,056,Belgium,High income,Northern America and Europe,1,Member State,"Territory, region, or administrated by a state",150,Europe,155,Western Europe,,,Europe & Central Asia,NO,Member State,,11587882,599879025377.51,51767.789,30.280001,13.646092,8.884901,271.47943,372.30136,848.3869,99.90000000000001,4.8000002,.2,3.1300001,2.5,,,,,,,,,26212.758,.19930001,.97610003,15.4603,.1534,1.6395,.565,,8.430899999999999,,31.0762,.123502,325.2,.014844,98.5,4.2017,8270.4,40.3627,0,32.1559,.82139599,.24590164,65.4142701340371,20.43666925175303,6.2600002,.771963345190578,.71900803,5.5500002,4.0349998,5.803,6,5.4000001,6.0999999,,,,15.1,.94199997,36.996613,2,0,1.124298691749573,100,1,1.7359999,,1,.33340055,.9615952968597412,99.4832,.59123135,0,3,9.308999999999999,,.62066406,21
BEN,204,Benin,Lower middle income,Sub-Saharan Africa,1,Member State,"Territory, region, or administrated by a state",002,Africa,202,Sub-Saharan Africa,011,Western Africa,Sub-Saharan Africa,NO,Member State,,12451031,17785640079.1191,1428.4471,112.76,39.5,34,120,149.17809,26.73468,,67.900002,82.900002,3.707,7.4,20.89,2.88,1.24,10.84,15.43,42.07,25.88009,54.10048,18965.801,.1964,6.2837,57.6889,1.1513,20.9034,9.1152,.40799999,1.4328,2.2858,10.5657,.009208,213.2,.0055,30,.9964,206,12.5754,.3617,6.1957,0,.22356953,83.52485990629449,4.013833973366592,,.652714057984135,27.1091,1.584,1.086,2.201,,,,6.6269808,39.493587,17,,.66100001,0,2,1,-.2638812065124512,40,0,.456,65,1,0,.6464829444885254,91.897278,.39012679,25.4886,0,.483,40.044922,.83997238,6
BFA,854,Burkina Faso,Low income,Sub-Saharan Africa,1,Member State,"Territory, region, or administrated by a state",002,Africa,202,Sub-Saharan Africa,011,Western Africa,Sub-Saharan Africa,NO,Member State,,21497097,19737615114.3661,918.15259,273.60001,121.43,61.43,14.273973,39.534248,31.174059,,52.599998,80.099998,3.345,18,15.89,2.83,1,11.96,12.07,38.73,35.60064,25.95632,34841.863,.1151,1.9698,103.1627,2.0557001,17.572001,14.5601,3.4758999,1.1704,6.2917,5.9711,.029376,87.40000000000001,.008,30.3,.5113,129,8.3987,1.0784,9.356199999999999,0,3.1162963,56.5035784886352,,.14,.89633037665701,20.425501,4.895,3.711,7.993,.89999998,1,.60000002,56.981525,17.217672,35.099998,,.90700001,26.610853,2,1,-.6695252656936646,60,0,1.051,31,1,0,.6427586078643799,105.80744,.44224966,34.650036,0,,22.633789,1.2301607,28
BGD,050,Bangladesh,Lower middle income,Southern Asia,1,Member State,"Territory, region, or administrated by a state",142,Asia,034,Southern Asia,,,South Asia,NO,Member State,,166303494,416264942893.326,2503.0439,130.17,99.010002,93.010002,78.794518,106.90411,16.19112,58.51187912818887,31.700001,73.5,3.0639999,11.4,21.99,2.87,1.48,10.85,14.12,58.79,33.84741,44.83957,152728.02,.12530001,2.1651001,94.702797,1.2405,,10.0619,.76249999,4.9013,2.0673,9.563700000000001,.024615,71.59999999999999,.006996,,1.0655,205.2,20.2754,,9.8407,1.0251796,2.5671701,29.6820129675622,35.66247749559011,1.67,.516910907,12.6452,5.4130001,4.9439998,6.5489998,2.8,3,2.2,40.991203,6.0996795,5.9000001,3,.67400002,0,1,1,-.7878782749176025,60,0,-.121,30,1,0,.5286279916763306,107.03754,.36662492,27.191414,,34.467,,.74155074,39
BGR,100,Bulgaria,Upper middle income,Northern America and Europe,1,Member State,"Territory, region, or administrated by a state",150,Europe,151,Eastern Europe,,,Europe & Central Asia,NO,Member State,,6899125,80271119426.1076,11634.971,108.56,50.470001,36.439999,168.9315,266.30136,280.51419,97.61733618882728,15.5,8.5,4.1079998,3,,,,,,,,,15231.172,.273,1.3886,45.729599,.66670001,1.9183,1,5.5093002,4.3734,,6.9177,.128526,154.4,.017017,67.40000000000001,1.6889,3644.5,19.3296,.6478,20.1122,.0043910476,3.399061,67.76153482026011,9.504569960518607,1.16,.5183704144758779,3.41329,5.1199999,9.0880003,3.7149999,.30000001,.69999999,.2,73.607925,32.192337,,22.799999,.81,0,2,0,-.0722199082374573,80,0,1.1950001,71,1,0,.6687155961990356,114.35277,.40992534,75.153755,2,69.413,,.57217747,29
BHR,048,Bahrain,High income,Northern Africa & Western Asia,1,Member State,"Territory, region, or administrated by a state",,Asia,145,Western Asia,,,Middle East & North Africa,NO,Member State,,1748295,38868663031.9149,22232.326,.78500003,.086000003,.046,,,393.01373,98.98326212520578,,,3.835,,,,,,,,,,5946.4595,,.51419997,4.2863998,4.1753001,,.91039997,,,11.8085,6.2252,.109667,120,.008968,,.75,2204.7,30,2.0769,60.1954,0,124.74138,81.4020523463623,,1.99,1.3663449413797,.29512501,1.781,1.256,1.98,,,,,,,,.197,0,2,0,.4287471175193787,100,1,-.79500002,,0,0,,102.76785,.65614766,0,,,,.88356805,
BHS,044,Bahamas,High income,Latin America & Caribbean,1,Member State,"Territory, region, or administrated by a state",019,Americas,419,Latin America and the Caribbean,029,Caribbean,Latin America & Caribbean,NO,Member State,,396914,11208600000,28239.367,10.01,.14,.12,399.39725,277.64383,699.89679,,17.200001,,4.4879999,,,,,,,,,,761.88861,.30610001,.708,7.7315998,1.8291,2.9861,2.5162001,,7.8415,27.0243,19.1811,.075603,172.7,.012036,50,1.4419,1005.7,4.817,,9.6081,0,,99.44889348144321,39.32741194558228,,1.13775336206264,.719289,13.321,12.5,13.636,,,,,,,,,0,3,1,.4521627128124237,80,0,,,1,25.771633,.7894788384437561,118.50149,,0,,,,.63023627,37
BIH,070,Bosnia and Herzegovina,Upper middle income,Northern America and Europe,1,Member State,"Territory, region, or administrated by a state",150,Europe,039,Southern Europe,,,Europe & Central Asia,NO,Member State,,3263459,22571512867.2816,6916.4385,51.200001,22.16,11.21,247.26027,694.73975,225.2955,88.86918053613245,12.6,3.7,3.9949999,2.5,,,,,,,,,6398.1147,.1733,1.6014,33.268799,.67400002,20.7845,1.5421,,6.0507,.8519,2.7358,.063702,255.6,.015905,76,1.9774,3030.2,11.2985,1.3521,5.8583,-.10704728,,93.4892272805818,,2.4300001,1.02574344480079,6.2046399,15.265,15.866,14.539,.89999998,1,.69999999,50.349594,32.451496,,,.68900001,0,2,0,-.9751913547515869,80,0,.71499997,32,1,0,.7177652716636658,106.97555,.31071249,21.289356,,.971,,.67492056,30
BLR,112,Belarus,Upper middle income,Northern America and Europe,1,Member State,"Territory, region, or administrated by a state",150,Europe,151,Eastern Europe,,,Europe & Central Asia,NO,Member State,,9340314,68218816484.1226,7303.6963,202.98,82.809998,57.599998,203.26028,428.65756,212.7337,94.61114667553507,,.2,3.3099999,2.5,,,,,,,69.58461,2.951749,65561.445,.26460001,1.4206001,18.1346,.1761,1.506,.6961,,3.5399,,8.9171,.100969,229.5,.011576,79.2,2.7264,5219.4,20.6405,2.4538,30.5707,-.10625034,.71848011,75.0765918068479,,.80000001,1.06549668523046,6.8293099,4.7680001,2.8150001,5.2589998,.40000001,.60000002,.30000001,71.870018,53.374023,4,,.249,0,1,0,-.7293182015419006,100,0,-1.0599999,,1,0,.7299048900604248,123.86161,.50972599,.2538071,,27.494,,.74908555,24
BLZ,084,Belize,Upper middle income,Latin America & Caribbean,1,Member State,"Territory, region, or administrated by a state",019,Americas,419,Latin America and the Caribbean,013,Central America,Latin America & Caribbean,NO,Member State,,404915,1789923264.03,4420.4912,22.809999,1.72,1.22,290.32877,122.19178,177.78871,,42.299999,36.400002,2.1400001,7.4,,,,,,,57.82964,30.32494,6129.6338,.50209999,1.0204999,129.4971,.228,2.6658001,3.4208,.7421,3.5263,6.8643,10.662,.052228,204.1,.017067,54.4,1.0493,738.6,9.9467,1.2,5.8858,.32786885,.31471428,98.9942493055531,22.59570590082486,10.94,.644945265864277,9.1189003,8.4619999,6.605,10.5,18.700001,20.5,16.799999,39.38702,23.345619,2.2,,,0,2,0,-.6464335322380066,80,0,,,1,0,.5922635793685913,66.393715,.30563843,83.720932,,,,.65877706,27
BOL,068,Bolivia (Plurinational State of),Lower middle income,Latin America & Caribbean,1,Member State,"Territory, region, or administrated by a state",019,Americas,419,Latin America and the Caribbean,005,South America,Latin America & Caribbean,NO,Member State,,11832936,40408208523.8784,3414.8928,1083.3,377.87,47.869999,258.84933,104.90411,165.09016,,,24.700001,3.7550001,13.9,48.08,4.69,2.68,38.13,2.94,86.81999999999999,70.48437,15.78698,112587.06,.086099997,1.0851001,71.951103,1.7013,5.9949999,.9149,.82679999,2.024,8.5403,10.491,.049307,198.4,.027065,59,1.2349,2757.5,6.8648,1.9755,4.8791,.52642578,.33449477,98.77423440198559,,4.0300002,.560531640650507,12.2218,7.9000001,.833,11.676,2.4000001,1.6,2.9000001,77.989639,39.013309,12.3,25.200001,.85100001,38.812401,1,1,-.5620455145835876,20,0,.55699998,20,1,0,.615842342376709,101.12501,.29582581,24.645416,,11.506,,.94079959,12
BRA,076,Brazil,Upper middle income,Latin America & Caribbean,1,Member State,"Territory, region, or administrated by a state",019,Americas,419,Latin America and the Caribbean,005,South America,Latin America & Caribbean,NO,Member State,,213993441,1608981220812.2,7518.8345,8358.1396,2368.7881,635.17999,271.0137,138.84932,241.35852,85.76566655245658,28.9,19,3.0840001,4.1,,,,,,,,,1380202.1,.1734,.41440001,39.994099,.33570001,1.9434,1.1173,.55669999,5.2557,28.0715,19.0949,.129107,337.9,.022955,90.8,1.1211,2258.1,16.2911,.4152,24.2815,.16719669,.43425465,94.722496711307,18.95135228038084,5.9400001,.43740179,5.90558,13.69,10.098,14.147,8.3000002,11.5,7.9000001,50.312668,42.330589,3.4000001,12.8,.75099999,38.911926,1,1,-.4470313489437103,100,0,1.115,80,1,.22020145,.5933530330657959,96.836349,.18507898,7.567606,1,203.239,,.73866016,27
