ISO,m49_code,country,incgrp,fsci_regions,UNmemberstate,UN_contregion_code,UN_continental_region,UN_subregion_code,UN_subregion,UN_intermedregion_code,UN_intermediary_region,wb_region,cohd,avail_fruits,avail_veg,UPFretailval_percap,safeh20,pou,fies_modsev,pctcantafford,MDD_W,MDD_iycf,All5,zeroFV,zeroFV_iycf,NCD_P,NCD_R,SSSD,fs_emissions,emint_cerealsnorice,emint_beef,emint_cowmilk,emint_rice,yield_cereals,yield_fruit,yield_beef,yield_cowmilk,yield_vegetables,croplandchange_pct,agwaterdraw,functionalintegrity,fishhealth,pesticides,sustNO2mgmt,aginGDP,unemp_r,underemp_r,spcoverage,spadequacy,childlabor,landholding_fem,cspart,mufppurbshare,righttofood,fspathway,govteffect,foodsafety,healthtax,accountability,open_budget_index,accessinfo,damages_gdp,kcal_total,mobile,soccapindex,pctagland_minspecies,genres_plant,genres_animal,rcsi_prevalence,fpi_cv,foodsupplyvar,totalpop,GDP,GDP_percap,landarea,agland_area,cropland,yield_eggs,emint_eggs,emint_chickenmeat,emint_pork,yield_citrus,yield_chickenmeat,yield_pork,yield_pulses,yield_roottuber,yield_treenuts,pop_u,prod_cereals,prod_citrus,prod_fruit,prod_eggs,prod_beef,prod_chickenmeat,prod_pork,prod_pulses,prod_cowmilk,prod_roottuber,prod_treenuts,prod_vegetables,prod_cerealsnorice,prod_rice,areaharvested_cereals,areaharvested_citrus,areaharvested_fruit,producinganimals_eggs,producinganimals_beef,producinganimals_chickenmeat,producinganimals_pork,areaharvested_pulses,producinganimals_cowmilk,areaharvested_roottuber,areaharvested_treenuts,areaharvested_vegetables,agland_area2010,agland_area2015
AFG,4,Afghanistan,Low income,Southern Asia,1,142,Asia,34,Southern Asia,,,South Asia,,108.08219,164.19179,21.342337,27.58895624,29.8,70,,,22.0586,,,58.5706,,,,20586.061,0.1006,12.7666,3.9377,1.4419,1.9799,11.5643,180,524.3,9.7441,0.45465776,30.613808,98.03238114,,,1.074739163,27.0135,10.605,5.4000001,8.8205824,22.986309,9,,0.25400001,0,2,0,-1.5231148,20,0,-0.93699998,43,1,0,0.589743853,58.255814,0.24718581,0.028212724,0.953,,58.719753,0.95523268,26,39835428,20116137326,516.74786,652.22998,383.56,80.940002,0.01913,2.6389999,0.41060001,,7.8426,0.008,,0.6303,15.9369,1.8777,27198.492,6025977,6776,3459051,19945,116008,27938,,43556,1807618,855395,58414,1822632,5586428,439549,3043589,864,299115,10426,644.498,34923,,69104,3447.771,53674,31110,187049,379.10999,379.10001
ALB,8,Albania,Upper middle income,Northern America and Europe,1,150,Europe,39,Southern Europe,,,Europe & Central Asia,4.197,492.10959,908.16443,285.0545,70.67453739,3.9,30.9,20.1,,52.49851,,,25.73565,,,,4570.6099,0.2656,4.4699998,1.5733,,5.2092,21.8269,116,3028.4,28.558,-0.24856143,2.1622517,80.05722959,16.19229871,1.1,1.030535029,19.2521,10.692,,54.885509,27.989923,2.8,8.8999996,0.66000003,19.884487,2,1,-0.135743156,80,0,0.75400001,52,1,0,0.688509047,91.002945,0.2595686,0,4.432,,,0.801364,20,2811666,18260043500,6494.3857,27.4,11.655551,6.8755498,0.108358,0.94099998,0.50340003,5.4298,25.7059,0.011344,49.4,1.222,26.2742,4.3799,2297.5549,684023,49201,818946,54244,32870,12234,9002,25819,897349,254886,14988,988507,684023,,131310,1914,37520,5006,283.437,10785,182.046,21128,296.311,9701,3422,34614,12.013,11.743
DZA,12,Algeria,Lower middle income,Northern Africa & Western Asia,1,2,Africa,15,Northern Africa,,,Middle East & North Africa,3.76,297.04108,566.35614,137.31198,72.3814561,2.5,19,30.200001,,39.35625,,,25.99189,,,,51100.961,0.0889,7.4362998,0.70639998,122.5512,1.5204,13.1031,223.1,2658,25.3548,0.12825198,57.178368,97.39233307,30.31376235,0.70999998,0.798637946,14.2277,10.476,,,,1.9,4.0799999,0.36700001,10.646468,2,1,-0.52584374,80,0,-0.18099999,3,0,0,0.712137818,103.88731,0.37157708,2.8467765,,0,,0.65596658,42,44616626,1.67983E+11,3765.0347,2381.741,413.58847,85.170166,0.130453,0.4436,1.7753,11.34,23.9273,0.01,38.2,1.1168,31.1744,1.7611,34916.668,4393322,1564915,7055092,308456,144434,260269,105,115126,2414552,4659482,60832,7986465,4392753,300,2889577,65403,538428,23645,647.299,260269,2.748,103083,908.409,149465,34542,314988,413.73999,414.564
AND,20,Andorra,High income,Northern America and Europe,1,150,Europe,39,Southern Europe,,,Europe & Central Asia,,,,620.90063,90.64000336,,,,,,,,,,,,36.745098,,,,,,,,,,-2.4999993,,100,,,,0.54263502,,,,,,,,0,2,0,1.825594306,80,0,,,1,,,121.65923,,0,,,,0.5919587,,77354,3329910724,43047.688,0.47,0.18719999,0.0072,,,,,,,,,,,0.91000003,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19770001,0.1881
AGO,24,Angola,Lower middle income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,17,Middle Africa,Sub-Saharan Africa,4.5339999,209.15068,68.904106,36.18819,,20.8,77.699997,94.300003,,29.06923,,,36.35851,,,,88273.297,0.1781,57.610802,3.7683001,7.6124001,0.9066,20.5165,165.3,498.3,3.6413,0.095877275,0.098854445,99.13437867,13.56570612,0.01,0.859817668,9.4297705,1.386,,21.575878,23.596813,9.6999998,,0.347,37.515759,2,1,-1.181796789,40,0,0.082999997,30,1,0,,44.559509,0.3430382,21.960835,,,50.109016,0.048542775,25,33933611,72546985709,2137.9094,1246.7,569.5249,52.150002,0.056781,1.0195,3.6127,6.3980999,10.912,0.009,72.4,0.4072,9.3687,0.7654,23286.92,2427955,425362,5174650,5150,104876,52216,149772,372591,219669,10956270,2033,743741,2417955,10000,2678045,38981,252219,907,634.422,58018,2068.319,915105,440.852,1169451,2656,204252,525.12,552.87311
ATG,28,Antigua and Barbuda,High income,Latin America & Caribbean,1,19,Americas,419,Latin America and the Caribbean,29,Caribbean,Latin America & Caribbean,4.5040002,361.23288,185.53426,345.98157,,,33,,,,,,,,,,148.7738,0,32.1758,2.8722,,3.6667,6.3508,157.9,887.6,3.9953,0,3.4615386,99.84399376,39.48336877,2.8,1.30309287,2.1363101,,,,,,,,0,3,0,-0.149707019,80,0,,,1,17.03023,0.832625449,187.89122,,0,,,,0.85986423,27,98728,1471125926,14900.798,0.44,0.090000004,0.050000001,0.048346,1.0655,6.0187001,18.5868,4.6044,0.012308,56.4,,3.8831,,85.728996,11,419,8726,643,66,16,68,,3057,299,,847,11,,3,91,1374,133,0.418,13,1.205,,3.444,77,,212,0.090000004,0.090000004
ARG,32,Argentina,Upper middle income,Latin America & Caribbean,1,19,Americas,419,Latin America and the Caribbean,5,South America,Latin America & Caribbean,3.3410001,220.65753,181.20547,323.93674,,3.7,37,11,,,,,,,,,245212.41,0.1164,33.3372,0.37310001,1.3602,5.2126,16.0782,226.5,6761.2,17.6529,-2.366323,3.1874828,89.80264134,34.93721709,7.1599998,0.284085791,6.8360801,8.7080002,,51.323914,40.054531,,,0.86900002,60.121346,2,0,-0.216941729,80,0,1.428,50,1,0,0.575567722,121.1704,0.34358957,1.2879082,5.975,0,,0.28198838,34,45808747,4.91493E+11,10729.232,2736.6899,1083.8176,337.00757,0.194866,0.27169999,0.1234,1.7377,25.4439,0.029297,93.5,1.4809,25.0931,1.2769,38655.293,86573396,3405265,7441342,873000,3168472,2219238,655382,1058056,11113188,2960883,21290,3209268,85312480,1222910,16608538,133834,462823,44800,13991.415,757488,7006.091,714489,1643.664,117996,16673,181798,1262.679,1170.884
ARM,51,Armenia,Upper middle income,Northern Africa & Western Asia,1,142,Asia,145,Western Asia,,,Europe & Central Asia,3.247,317.78082,576.16437,176.82492,86.91066001,3.5,10.7,42.900002,,36.30882,,,22.29481,,,,3827.8816,1.2929,6.5088,0.82929999,,2.0558,12.2478,124,2405.1,28.9984,-0.011904278,24.224482,92.06831767,,1.27,1.179783016,11.7173,13.456,7.3000002,67.018478,36.373402,3.9000001,25.5,0.736,0,2,1,-0.124236114,40,0,1.122,61,1,0,0.692138612,117.73577,0.4566046,0,4.297,,,0.69436294,22,2968128,13861183874,4670.0088,28.469999,16.76,5.04,0.138459,0.389,0.50340003,3.2370999,,0.010476,71.9,2.2129,21.3052,2.7334,2638.1941,242012,,680216,37730,68300,12300,16200,4127,605400,437226,5352,599918,234868,,117720,,55538,2725,550.856,11741,225.243,1865,251.716,20522,1958,20688,17.35,16.767
AUS,36,Australia,High income,Oceania,1,9,Oceania,53,Australia and New Zealand,,,East Asia & Pacific,2.5610001,178.27397,234.9041,991.45514,,2.5,11.9,0.69999999,,,,,,,,,174694.23,0.27020001,22.007401,0.6372,1.0383,1.6505,13.2159,272.7,6311.6,26.1521,-0.25874305,2.4440732,96.05540304,27.75861035,2.05,0.815623975,1.89797,5.0710001,8.6000004,,,,,0.82800001,1.6255218,3,0,1.619163394,100,0,1.756,79,1,0.21618505,0.661564469,107.65932,0.6619432,15.505072,249.056,,,0.37838158,16,25739256,1.54266E+12,59934.129,7692.02,3557.75,309.95999,0.150134,0.3459,0.2367,2.8276999,20.1019,0.018937,77.9,1.0805,39.7799,3.715,22584.502,26613793,548620,3539850,241295,2371600,1246544,402704,1913154,8797000,1153974,271326,1588764,26481736,50226,16124592,27292,267847,16072,8695.8,658261,5167.3,1770589,1393.782,29009,73035,60751,3763.72,3481.1899
AUT,40,Austria,High income,Northern America and Europe,1,150,Europe,155,Western Europe,,,Europe & Central Asia,2.9809999,254.10959,249.09589,795.35626,98.900642,2.5,3.3,0.80000001,,,,,,,,,18286.559,0.13779999,13.3397,0.64270002,,7.3864,12.3891,338.7,7270.6,36.767,-0.34064651,0.099227801,87.50376925,,4.0300002,0.643222536,1.17093,2.8180001,2.3,,,,34.5,0.89300001,30.720236,2,0,1.65505743,100,0,1.483,,1,0,0.854575813,118.99813,0.65738195,7.4610243,11.964,9,,1.4087542,26,8956279,4.77082E+11,53267.934,82.519997,26.4676,13.879499,0.171131,0.57749999,0.26100001,1.6159,,0.012756,99.3,2.2949,36.5165,16.6111,6192.2051,5649770,0,699860,,218360,125000,503170,42800,3815470,885890,2990,588640,5271750,,764890,0,56490,,644.65,97991,5068.16,18650,524.78,24260,180,16010,27.792,27.1845
AZE,31,Azerbaijan,Upper middle income,Northern Africa & Western Asia,1,142,Asia,145,Western Asia,,,Europe & Central Asia,2.533,234.24658,506.68494,181.62894,88.32276401,2.5,9.5,0,,34.83471,,,38.19231,,,,15604.118,0.23360001,11.6282,1.182,2.5906,3.2174,12.5516,111.8,1687.4,26.1667,1.546882,32.406631,71.7414918,,0.23,0.705827462,6.9257798,4.3000002,,64.643616,2.5745189,,25,0.20200001,0,2,1,-0.17023246,80,0,-0.80599999,57,1,0,0.642863691,102.02307,0.50716829,0.095785439,13.237,0,,0.57771724,50,10145212,54622176471,5384.0352,82.645996,47.801003,23.57,0.079178,0.68129998,0.50599998,2.8787,15.8665,0.011803,51.9,1.6942,18.2083,1.2652,8693.0332,3151182,52994,1685881,114373,143082,115388,483,21166,2156882,1037637,68108,1740427,3141785,9397,979424,3340,134316,14445,1279.495,97760,9.312,12493,1278.208,56987,53832,66513,47.667999,47.697998
