ISO,m49_code,country,incgrp,fsci_regions,UNmemberstate,UN_contregion_code,UN_continental_region,UN_subregion_code,UN_subregion,UN_intermedregion_code,UN_intermediary_region,wb_region,disp_area,totalpop,GDP,GDP_percap,landarea,agland_area,cropland,avail_fruits,avail_veg,UPFretailval_percap,safeh20,fies_modsev,pctcantafford,cohd,pou,All5,NCD_P,NCD_R,SSSD,zeroFV,MDD_W,MDD_iycf,zeroFV_iycf,fs_emissions,emint_cerealsnorice,emint_eggs,emint_beef,emint_chickenmeat,emint_pork,emint_cowmilk,emint_rice,yield_cereals,yield_citrus,yield_fruit,yield_eggs,yield_beef,yield_chickenmeat,yield_pork,yield_pulses,yield_cowmilk,yield_roottuber,yield_treenuts,yield_vegetables,croplandchange_pct,agwaterdraw,functionalintegrity,fishhealth,pesticides,sustNO2mgmt,aginGDP,unemp_tot,unemp_r,unemp_u,underemp_tot,underemp_r,underemp_u,spcoverage,spadequacy,childlabor,landholding_fem,cspart,mufppurbshare,righttofood,fspathway,govteffect,foodsafety,healthtax,accountability,open_budget_index,accessinfo,damages_gdp,kcal_total,mobile,soccapindex,pctagland_minspecies,genres_animal,genres_plant,rcsi_prevalence,fpi_cv,foodsupplyvar
AFG,004,Afghanistan,Low income,Southern Asia,1,142,Asia,034,Southern Asia,,,South Asia,NO,2021,2020,2020,2020,2020,2020,2019,2019,2019,2020,2020,,,2020,,,,,,,2015,2015,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2018,2015,,,2018,2020,2020,2020,2020,2021,2021,2021,2011,2007,2020,,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2020,2018,2020,2021,2010,,2020,2021,2021,2020
AGO,024,Angola,Lower middle income,Sub-Saharan Africa,1,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,Sub-Saharan Africa,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,2020,2020,2020,2020,,,,,,,2015,2015,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,,,,2018,2018,2016,,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,,2020,2021,2010,,,2021,2021,2020
ALB,008,Albania,Upper middle income,Northern America and Europe,1,150,Europe,039,Southern Europe,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,2017,2017,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,,,,2012,2012,2010,2012,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,,2020,,2021,2020
AND,020,Andorra,High income,Northern America and Europe,1,150,Europe,039,Southern Europe,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,,,2019,2020,,,,,,,,,,,,,2020,,,,,,,,,,,,,,,,,,,,2020,,2015,,,,2019,,,,,,,,,,,,2020,2021,2022,2020,2020,2021,,,2021,,,2020,,2010,,,,2021,
ARE,784,United Arab Emirates,High income,Northern Africa & Western Asia,1,142,Asia,145,Western Asia,,,Middle East & North Africa,NO,2021,2020,2020,2020,2020,2020,2019,2019,2019,,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,,2020,,2020,2020,2020,2020,2020,2020,,,2020,2020,2020,2020,2020,2018,2015,2021,,2018,2020,2020,2020,2020,,,,,,,,2021,2020,2021,2022,2020,2020,2021,2021,,2021,2017,2018,2020,2021,2010,,,,2021,2020
ARG,032,Argentina,Upper middle income,Latin America & Caribbean,1,019,Americas,419,Latin America and the Caribbean,005,South America,Latin America & Caribbean,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,2020,2017,2017,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,,,,2019,2019,,,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,2020,,2021,2020
ARM,051,Armenia,Upper middle income,Northern Africa & Western Asia,1,142,Asia,145,Western Asia,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,2016,2016,2020,2020,2020,2020,2020,2020,2020,,2020,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,,2020,2018,2020,2020,2020,2020,2020,2020,2020,2018,2018,2015,2014,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2020,2018,2020,2021,2010,,2020,,2021,2020
ATG,028,Antigua and Barbuda,High income,Latin America & Caribbean,1,019,Americas,419,Latin America and the Caribbean,029,Caribbean,Latin America & Caribbean,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,2020,,2020,,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2020,,2020,2020,,2020,2020,2018,2015,2021,2020,2018,2020,,,,,,,,,,,,2020,2021,2022,2020,2018,2021,,,2021,2017,2018,2020,,2010,,,,2021,2020
AUS,036,Australia,High income,Oceania,1,009,Oceania,053,Australia and New Zealand,,,East Asia & Pacific,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2020,2020,2020,,,,,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,,2020,,2021,2020
AUT,040,Austria,High income,Northern America and Europe,1,150,Europe,155,Western Europe,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,,2020,,2020,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,,2020,2018,2020,2020,2020,2020,2021,2021,2021,,,,2010,2021,2020,2021,2022,2020,2020,2021,2021,,2021,2021,2018,2020,2021,2010,2022,2020,,2021,2020
