ISO,country,year,source1,source2,MDD_iycf,MDD_iycf_m,MDD_iycf_f,MDD_iycf_u,MDD_iycf_r
AFG,Afghanistan,2015,DHS,"Afghanistan Demographic and Health Survey 2015. Kabul, Afghanistan: Central Statistics Organization",22.0586,21.22918,22.92883,32.53535,18.61039
AGO,Angola,2015,DHS,"Inquérito de Indicadores Múltiplos e de Saúde em Angola 2015-2016. Luanda, Angola e Rockville, Maryland, EUA: INE, MINSA, MINPLAN e ICF International.",29.06923,29.36631,28.77168,33.08379,22.90421
ALB,Albania,2017,DHS,"Albania Demographic and Health Survey 2017-18. Tirana, Albania: Institute of Statistics, Institute of Public Health, and ICF",52.49851,54.74532,50.27948,49.94749,55.93674
ARM,Armenia,2016,DHS,"Armenia Demographic and Health Survey 2015-16. Rockville, Maryland, USA: National Statistical Service, Ministry of Health, and ICF",36.30882,36.47897,36.14818,38.42852,33.46664
AZE,Azerbaijan,2006,DHS,"Azerbaijan Demographic and Health Survey 2006. Demographic and Health Surveys. Calverton, Maryland, USA: State Statistical Committee and Macro International Inc., 2008",34.83471,34.72641,34.96621,39.52731,29.62893
BDI,Burundi,2016,DHS,"Troisième Enquête Démographique et de Santé. Bujumbura, Burundi : ISTEEBU, MSPLS, et ICF",18.48604,19.03006,17.92906,42.8429,16.24106
BEN,Benin,2018,DHS,"Enquête Démographique et de Santé au Bénin, 2017-2018. Cotonou, Bénin et Rockville, Maryland, USA : INSAE et ICF",25.88009,25.82348,25.93911,24.12663,26.99319
BFA,Burkina Faso,2019,SMART,"Enquete Nutritionnelle Nationale, Burkina Faso 2019",35.60064,35.4977,35.70759,,
BGD,Bangladesh,2019,MICS,"Bangladesh Multiple Indicator Cluster Survey 2019, Survey Findings Report. Dhaka, Bangladesh: Bangladesh Bureau of Statistics (BBS)",33.84741,35.31599,32.26913,41.53316,31.78584
BLR,Belarus,2019,MICS,"2019 Belarus Multiple Indicator Cluster Survey, Survey Findings Report. Republic of Belarus, Minsk: National Statistical Committee of the Republic of Belarus and United Nations Children’s Fund (UNICEF).",69.58461,68.31247,70.84453000000001,69.39645,70.06707
BLZ,Belize,2015,MICS,"Belize Multiple Indicator Cluster Survey, 2015-2016, Final Report. Belmopan, Belize: Statistical Institute of Belize and UNICEF Belize.",57.82964,57.51983,58.15228,61.12374,55.56298
BOL,Bolivia (Plurinational State of),2016,DHS-Style,Bolivia Encuesta de Demografia y Salud - EDSA 2016: Indicadores Priorizados,70.48437,70.76649,70.20455,74.80978,60.83376
BTN,Bhutan,2015,NNS,"National Nutrition Survey 2015, Nutrition Programme Department of Public Health Ministry of Health Bhutan",15.50018,10.22027,20.73348,20.08643,12.09582
CAF,Central African Republic,2010,MICS,"Suivi de la situation des enfants, des femmes et des hommes. Enquête par grappes à indicateurs multiples - MICS couplée avec la sérologie VIH, RCA, 2010: Rapport final. Bangui, RCA: ICASEES, 2012.",26.60048,25.75246,27.46589,36.45886,21.54467
CHN,China,2013,Other,"China National Nutrition and Health Survey, 2013",36.88,36.76,37.01,50.45,23.62
CIV,Côte D'Ivoire,2016,MICS,"Enquête par grappes à indicateurs multiples - Côte d’Ivoire 2016, Rapport Final, Septembre 2017",22.67782,23.26309,22.09787,26.99758,19.62943
CMR,Cameroon,2018,DHS,"Enquête Démographique et de Santé du Cameroun 2018. Yaoundé, Cameroun et Rockville, Maryland, USA : INS et ICF. 2020",19.76963,19.87511,19.65447,26.11756,14.99004
COD,Democratic Republic of the Congo,2017,MICS,"Enquête par grappes à indicateurs multiples, 2017-2018, rapport de résultats de l’enquête. Kinshasa, République Démocratique du Congo",15.22435,15.64318,14.81348,20.42057,11.96657
COG,Congo,2014,MICS,"Enquête par grappes à indicateurs multiples (MICS5 2014-2015), Rapport final. Brazzaville, Congo : Institut National de la Statistique et UNICEF.",13.74747,15.20039,12.22261,13.1183,14.81375
COL,Colombia,2016,NNS,Colombia National Survey of the Nutritional Situation 2015,68.63525,68.20281,69.06773,70.48033,63.43021
COM,Comoros,2012,DHS,"Enquête démographique et de santé et à indicateurs multiples aux Comores 2012. Demograohic and Health Surveys and MICS. Rockville, MD 20850, USA : DGSP et ICF International, 2014",21.52624,18.77838,24.46705,28.56751,18.68707
CRI,Costa Rica,2018,MICS,"Encuesta de Mujeres, Niñez y Adolescencia (EMNA), Informe de resultados de la encuesta. San José, Costa Rica. 2019",75.64828,75.86937,75.43868999999999,75.44112,76.18644
CUB,Cuba,2019,MICS,"Cuba Encuesta de Indicadores Múltiples por Conglomerados 2019, Informe de resultados de la encuesta. La Habana, Cuba: Dirección de Registros Médicos y Estadísticas de Salud.",57.92567,57.5844,58.28705,61.49598,52.10755
DOM,Dominican Republic,2014,MICS,"Encuesta Nacional de Hogares de Propósitos Múltiples (ENHOGAR-MICS) 2014. New York, United States: United Nations Children's Fund (UNICEF), 2016.",51.30798,50.03923,52.56508,52.0535,49.22979
DZA,Algeria,2019,MICS,Enquête par grappes à indicateurs multiples [MICS] 2019,39.35625,40.01488,38.68607,41.28061,36.98745
ECU,Ecuador,2019,Other,"Encuesta Nacional de Salud y Nutrición Ecuador, (ENSANUT-ECU) 2018",52.9857,53.58086,52.34987,54.30991,50.4266
EGY,Egypt,2014,DHS,"Egypt demographic and health survey 2014. Demographic and Health Surveys. Cairo, Egypt and Rockville, Maryland, USA: Ministry of Health and Population and ICF International, 2015.",34.69011,34.46354,34.9415,33.67867,35.15416
ETH,Ethiopia,2019,IDHS,"Ethiopia Mini Demographic and Health  Survey 2019: Final Report. Rockville, Maryland, USA: EPHI and ICF, 2021.",13.49443,14.0134,12.92714,16.35102,12.37073
