ISO,country,year,NCD_P,NCD_P_LCI,NCD_P_UCI,NCD_R,NCD_R_LCI,NCD_R_UCI,wb_region,incgrp,UN_status_detail,UNmemberstate,UN_status,territoryof,ISO_governing,UN_contregion_code,UN_continental_region,UN_subregion_code,UN_subregion,UN_intermedregion_code,UN_intermediary_region,m49_code
BEN,Benin,2021,2.88,2.71,3.05,1.24,1.09,1.39,Sub-Saharan Africa,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,204
BFA,Burkina Faso,2021,2.83,2.62,3.04,1,.86,1.14,Sub-Saharan Africa,Low income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,854
BGD,Bangladesh,2021,2.87,2.73,3.01,1.48,1.35,1.61,South Asia,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,050
BOL,Bolivia (Plurinational State of),2021,4.69,4.51,4.87,2.68,2.49,2.87,Latin America & Caribbean,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,068
CHL,Chile,2021,4.11,3.9,4.33,3.26,2.92,3.59,Latin America & Caribbean,High income,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,152
CHN,China,2021,4.62,4.52,4.73,2.39,2.3,2.48,East Asia & Pacific,Upper middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,030,Eastern Asia,,,156
CMR,Cameroon,2021,3.08,2.91,3.25,1.56,1.4,1.72,Sub-Saharan Africa,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,120
COL,Colombia,2021,3.5,3.36,3.64,2.6,2.44,2.76,Latin America & Caribbean,Upper middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,170
ECU,Ecuador,2021,4.14,3.97,4.31,2.12,1.97,2.27,Latin America & Caribbean,Upper middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,218
EGY,Egypt,2021,3.05,2.93,3.17,1.6,1.46,1.74,Middle East & North Africa,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,015,Northern Africa,,,818
GAB,Gabon,2021,2.82,2.64,3,2.2,2.04,2.36,Sub-Saharan Africa,Upper middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,266
GHA,Ghana,2021,2.95,2.79,3.11,1.45,1.28,1.61,Sub-Saharan Africa,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,288
GRC,Greece,2021,3.25,3.11,3.39,2.26,2.12,2.4,Europe & Central Asia,High income,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,300
IDN,Indonesia,2021,4.69,4.43,4.94,3.13,2.89,3.37,East Asia & Pacific,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,035,South-eastern Asia,,,360
IND,India,2021,3.35,3.19,3.5,1.49,1.35,1.62,South Asia,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,356
ISR,Israel,2021,4.03,3.82,4.25,3.04,2.78,3.3,Middle East & North Africa,High income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,376
JOR,Jordan,2021,2.86,2.73,3,2.36,2.22,2.5,Middle East & North Africa,Upper middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,400
KAZ,Kazakhstan,2021,3.52,3.36,3.68,3.89,3.68,4.1,Europe & Central Asia,Upper middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,143,Central Asia,,,398
KEN,Kenya,2021,3.99,3.79,4.19,1.58,1.41,1.74,Sub-Saharan Africa,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,404
KHM,Cambodia,2021,2.86,2.7,3.02,1.82,1.68,1.95,East Asia & Pacific,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,035,South-eastern Asia,,,116
LAO,Lao People's Democratic Republic,2021,3.59,3.4,3.78,2.75,2.53,2.97,East Asia & Pacific,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,035,South-eastern Asia,,,418
LBN,Lebanon,2021,3.17,3.06,3.27,1.22,1.12,1.32,Middle East & North Africa,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,422
LKA,Sri Lanka,2021,4.22,4.03,4.4,1.57,1.44,1.7,South Asia,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,144
MAR,Morocco,2021,3.82,3.67,3.96,1.95,1.81,2.08,Middle East & North Africa,Lower middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,015,Northern Africa,,,504
MEX,Mexico,2021,4.86,4.71,5.02,2.83,2.68,2.99,Latin America & Caribbean,Upper middle income,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,013,Central America,484
