ISO,country,year,wb_region,incgrp,UPFretailval,disp_area,UN_status_detail,UNmemberstate,UN_status,territoryof,ISO_governing,UN_contregion_code,UN_continental_region,UN_subregion_code,UN_subregion,UN_intermedregion_code,UN_intermediary_region,m49_code,fsci_regions,totalpop,UPFretailval_percap
ABW,Aruba,2017,Latin America & Caribbean,High income,59.5,NO,NL Self-Governing Territory,0,"Territory, region, or administrated by a state",NL Self-Governing Territory,NLD,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,Latin America & Caribbean,105361,564.7251
ABW,Aruba,2018,Latin America & Caribbean,High income,61.2,NO,NL Self-Governing Territory,0,"Territory, region, or administrated by a state",NL Self-Governing Territory,NLD,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,Latin America & Caribbean,105846,578.19855
ABW,Aruba,2019,Latin America & Caribbean,High income,62.40000000000001,NO,NL Self-Governing Territory,0,"Territory, region, or administrated by a state",NL Self-Governing Territory,NLD,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,Latin America & Caribbean,106310,586.96265
AFG,Afghanistan,2017,South Asia,Low income,779.4,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia,36296111,21.473375
AFG,Afghanistan,2018,South Asia,Low income,799.3,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia,37171922,21.502789
AFG,Afghanistan,2019,South Asia,Low income,811.9,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia,38041757,21.342337
AGO,Angola,2017,Sub-Saharan Africa,Lower middle income,1533.4,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa,29816769,51.427437
AGO,Angola,2018,Sub-Saharan Africa,Lower middle income,1316.8,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa,30809787,42.739666
AGO,Angola,2019,Sub-Saharan Africa,Lower middle income,1151.7,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa,31825299,36.18819
ALB,Albania,2017,Europe & Central Asia,Upper middle income,692.1,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,008,Northern America and Europe,2873457,240.85971
ALB,Albania,2018,Europe & Central Asia,Upper middle income,791.7000000000002,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,008,Northern America and Europe,2866376,276.20242
ALB,Albania,2019,Europe & Central Asia,Upper middle income,813.6000000000001,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,008,Northern America and Europe,2854191,285.0545
