country,ISO,year,accountability,accountability_lower,accountability_upper,incgrp,wb_region,UNmemberstate,ISO_governing,UN_contregion_code,UN_continental_region,UN_subregion_code,UN_subregion,UN_intermedregion_code,UN_intermediary_region,m49_code
Afghanistan,AFG,1975,-.67199999,-.91100001,-.43700001,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1992,-.89099997,-1.08,-.68000001,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1976,-.66399997,-.89600003,-.42699999,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1989,-.97399998,-1.161,-.76899999,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1969,-.27599999,-.44999999,-.050000001,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,2012,.477,.28,.68300003,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1985,-1.152,-1.39,-.93099999,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1970,-.27399999,-.46900001,-.071000002,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,2009,.47099999,.26800001,.65600002,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1973,-.33000001,-.50599998,-.112,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1964,-.398,-.58099997,-.186,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,2004,.396,.205,.60799998,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,2005,.46399999,.28299999,.68300003,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,2013,.49000001,.28999999,.67400002,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,2016,.37900001,.177,.56900001,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,2001,-1.1900001,-1.4220001,-.95599997,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1974,-.67400002,-.89899999,-.42199999,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1961,-.68400002,-.88499999,-.48800001,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,2015,.472,.25600001,.65700001,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1995,-1.1339999,-1.3710001,-.889,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,2010,.46700001,.26499999,.667,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,2006,.47499999,.27700001,.676,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1966,-.25099999,-.44800001,-.048,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1971,-.273,-.46900001,-.085000001,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1968,-.259,-.46900001,-.071999997,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1991,-.97399998,-1.16,-.76899999,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,2011,.46799999,.264,.653,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1963,-.61900002,-.80900002,-.42699999,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1993,-1.123,-1.334,-.85900003,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1980,-1.179,-1.432,-.972,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,2019,.32699999,.14,.53100002,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,2020,.33399999,.148,.54799998,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1967,-.252,-.44,-.048999999,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,2008,.493,.289,.68099999,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1962,-.68300003,-.87400001,-.48800001,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,2007,.47499999,.27599999,.67199999,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1979,-1.187,-1.4400001,-.986,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1999,-1.699,-1.977,-1.4910001,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1990,-.96399999,-1.173,-.76800001,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,2002,.315,.071000002,.54100001,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1965,-.25600001,-.454,-.067000002,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,2017,.36199999,.176,.57200003,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1994,-1.119,-1.352,-.866,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1981,-1.159,-1.393,-.92199999,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1996,-1.597,-1.854,-1.372,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,2003,.359,.114,.57999998,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1997,-1.712,-1.97,-1.488,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1972,-.29800001,-.51300001,-.111,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1987,-1.168,-1.393,-.93199998,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1982,-1.1619999,-1.385,-.93099999,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1960,-.70499998,-.89899999,-.51499999,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,2018,.375,.17200001,.574,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1977,-.73100001,-.97500002,-.50099999,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1986,-1.152,-1.396,-.94099998,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1983,-1.1569999,-1.403,-.94400001,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
Afghanistan,AFG,1998,-1.698,-1.952,-1.48,Low income,South Asia,1,,142,Asia,034,Southern Asia,,,004
