ISO,country,IYCF_year,zeroFV_iycf,incgrp,wb_region,UN_status_detail,UNmemberstate,UN_status,territoryof,ISO_governing,zeroFV
BEN,Benin,2018,54.10048,Lower middle income,Sub-Saharan Africa,Member State,1,"Territory, region, or administrated by a state",Member State,,15.43
BFA,Burkina Faso,2019,25.95632,Low income,Sub-Saharan Africa,Member State,1,"Territory, region, or administrated by a state",Member State,,12.07
BGD,Bangladesh,2019,44.83957,Lower middle income,South Asia,Member State,1,"Territory, region, or administrated by a state",Member State,,14.12
BOL,Bolivia (Plurinational State of),2016,15.78698,Lower middle income,Latin America & Caribbean,Member State,1,"Territory, region, or administrated by a state",Member State,,2.94
CHN,China,2013,29.37,Upper middle income,East Asia & Pacific,Member State,1,"Territory, region, or administrated by a state",Member State,,3.76
CMR,Cameroon,2018,31.5095,Lower middle income,Sub-Saharan Africa,Member State,1,"Territory, region, or administrated by a state",Member State,,14.05
COL,Colombia,2016,15.34974,Upper middle income,Latin America & Caribbean,Member State,1,"Territory, region, or administrated by a state",Member State,,8.859999999999999
ECU,Ecuador,2019,26.66204,Upper middle income,Latin America & Caribbean,Member State,1,"Territory, region, or administrated by a state",Member State,,5.59
EGY,Egypt,2014,44.69761,Lower middle income,Middle East & North Africa,Member State,1,"Territory, region, or administrated by a state",Member State,,5.94
GAB,Gabon,2012,52.45966,Upper middle income,Sub-Saharan Africa,Member State,1,"Territory, region, or administrated by a state",Member State,,13.25
GHA,Ghana,2017,42.65919,Lower middle income,Sub-Saharan Africa,Member State,1,"Territory, region, or administrated by a state",Member State,,9.58
IDN,Indonesia,2017,17.84829,Lower middle income,East Asia & Pacific,Member State,1,"Territory, region, or administrated by a state",Member State,,3.93
IND,India,2017,54.78,Lower middle income,South Asia,Member State,1,"Territory, region, or administrated by a state",Member State,,22.3
JOR,Jordan,2017,41.08646,Upper middle income,Middle East & North Africa,Member State,1,"Territory, region, or administrated by a state",Member State,,12.23
KAZ,Kazakhstan,2015,21.21459,Upper middle income,Europe & Central Asia,Member State,1,"Territory, region, or administrated by a state",Member State,,3.75
KEN,Kenya,2014,28.68903,Lower middle income,Sub-Saharan Africa,Member State,1,"Territory, region, or administrated by a state",Member State,,7.06
KHM,Cambodia,2014,35.34533,Lower middle income,East Asia & Pacific,Member State,1,"Territory, region, or administrated by a state",Member State,,8.35
LAO,Lao People's Democratic Republic,2017,36.16079,Lower middle income,East Asia & Pacific,Member State,1,"Territory, region, or administrated by a state",Member State,,5.11
LKA,Sri Lanka,2016,10.70174,Lower middle income,South Asia,Member State,1,"Territory, region, or administrated by a state",Member State,,5.83
MEX,Mexico,2015,18.3093,Upper middle income,Latin America & Caribbean,Member State,1,"Territory, region, or administrated by a state",Member State,,3.57
MOZ,Mozambique,2011,35.71434,Low income,Sub-Saharan Africa,Member State,1,"Territory, region, or administrated by a state",Member State,,10.6
NGA,Nigeria,2018,52.68987,Lower middle income,Sub-Saharan Africa,Member State,1,"Territory, region, or administrated by a state",Member State,,17.42
NPL,Nepal,2019,38.15562,Lower middle income,South Asia,Member State,1,"Territory, region, or administrated by a state",Member State,,11.06
PAK,Pakistan,2018,61.19031,Lower middle income,South Asia,Member State,1,"Territory, region, or administrated by a state",Member State,,12.7
PHL,Philippines,2008,21.7602,Lower middle income,East Asia & Pacific,Member State,1,"Territory, region, or administrated by a state",Member State,,6.05
SEN,Senegal,2019,52.44892,Lower middle income,Sub-Saharan Africa,Member State,1,"Territory, region, or administrated by a state",Member State,,9.68
SLE,Sierra Leone,2019,51.73151,Low income,Sub-Saharan Africa,Member State,1,"Territory, region, or administrated by a state",Member State,,14.85
TJK,Tajikistan,2017,57.58746,Lower middle income,Europe & Central Asia,Member State,1,"Territory, region, or administrated by a state",Member State,,1.92
TZA,United Republic of Tanzania,2015,29.39637,Lower middle income,Sub-Saharan Africa,Member State,1,"Territory, region, or administrated by a state",Member State,,18.37
UGA,Uganda,2016,43.73506,Low income,Sub-Saharan Africa,Member State,1,"Territory, region, or administrated by a state",Member State,,8.469999999999999
VNM,Viet Nam,2014,13.74924,Lower middle income,East Asia & Pacific,Member State,1,"Territory, region, or administrated by a state",Member State,,2.96
ZAF,South Africa,2016,37.10629,Upper middle income,Sub-Saharan Africa,Member State,1,"Territory, region, or administrated by a state",Member State,,10.45
