ISO,country,datasource_year,year,source1,source2,zeroFV_iycf,zeroFV_iycf_m,zeroFV_iycf_f,zeroFV_icyf_u,zeroFV_icyf_r
AFG,Afghanistan,2015-16,2015,DHS,"Afghanistan Demographic and Health Survey 2015. Kabul, Afghanistan: Central Statistics Organization",58.5706,59.89004,57.18621,48.59986,61.85226
AGO,Angola,2015-16,2015,DHS,"Inquérito de Indicadores Múltiplos e de Saúde em Angola 2015-2016. Luanda, Angola e Rockville, Maryland, EUA: INE, MINSA, MINPLAN e ICF International.",36.35851,34.25412,38.46624,37.9008,33.99005
ALB,Albania,2008-09,2009,DHS,"Albania demographic and health survey 2008-09. Demographic and Health Surveys. Tirana, Albania: Institute of Statistics, Institute of Public Health and ICF Macro, 2010",24.11221,27.54425,19.77624,20.6278,26.7977
ALB,Albania,2017-18,2017,DHS,"Albania Demographic and Health Survey 2017-18. Tirana, Albania: Institute of Statistics, Institute of Public Health, and ICF",25.73565,28.11339,23.3873,25.32612,26.28759
ARM,Armenia,2005,2005,DHS,"Armenia demographic and health survey 2005. Demographic and Health Surveys. Calverton, Maryland: National Statistical Service, Ministry of Health, and ORC Macro, 2006",18.97797,19.50706,18.28487,13.64562,26.76097
ARM,Armenia,2010,2010,DHS,"Armenia demographic and health survey 2010. Demographic and Health Surveys. Calverton, Maryland: National Statistical Service, Ministry of Health, and ICF International, 2012",24.70058,25.93985,23.4713,17.01742,35.34728
ARM,Armenia,2015-16,2016,DHS,"Armenia Demographic and Health Survey 2015-16. Rockville, Maryland, USA: National Statistical Service, Ministry of Health, and ICF",22.29481,19.83392,24.61822,18.29091,27.66343
AZE,Azerbaijan,2006,2006,DHS,"Azerbaijan Demographic and Health Survey 2006. Demographic and Health Surveys. Calverton, Maryland, USA: State Statistical Committee and Macro International Inc., 2008",38.19231,36.55812,40.17659,30.96126,46.21411
BDI,Burundi,2010-11,2010,DHS,"Enquête démographique et de santé Burundi 2010. Demographic and Health Surveys. Bujumbura, Burundi : ISTEEBU, MSPLS, et ICF International, 2012",18.94013,19.61509,18.27653,28.12992,18.05175
BDI,Burundi,2016-17,2016,DHS,"Troisième Enquête Démographique et de Santé. Bujumbura, Burundi : ISTEEBU, MSPLS, et ICF",9.260567999999999,10.11835,8.382348,9.447763,9.243313000000001
BEN,Benin,2011-12,2012,DHS,Enquête Démographique et de Santé (EDSB-IV) 2011-2012,52.58765,50.75033,54.55094,52.29435,52.79714
BEN,Benin,2014,2014,MICS,"Enquête par grappes à indicateurs multiples 2014, Rapport  final , Cotonou, Bénin : Institut national de la statistique et de l’analyse économique",54.71129,54.92161,54.51115,54.57181,54.817
BEN,Benin,2017-18,2018,DHS,"Enquête Démographique et de Santé au Bénin, 2017-2018. Cotonou, Bénin et Rockville, Maryland, USA : INSAE et ICF",54.10048,52.79474,55.46195,55.39222,53.28049
BFA,Burkina Faso,2010,2010,DHS,"Enquête démographique et de santé et à indicateurs multiples du Burkina Faso 2010. Demographic and Health Surveys and MICS. Calverton, Maryland, USA: INSD, 2012",74.69488,74.6656,74.72501,67.51127,76.24654
BFA,Burkina Faso,2019,2019,SMART,"Enquete Nutritionnelle Nationale, Burkina Faso 2019",25.95632,27.13152,24.73521,,
BGD,Bangladesh,2011,2011,DHS,"Bangladesh demographic and health survey 2011. Demographic and Health Surveys. Dhaka, Bangladesh and Calverton, Maryland, USA: NIPORT, Mitra and Associates, and ICF International, 2013",55.43705,56.55302,54.29906,50.74871,56.80601
BGD,Bangladesh,2014,2014,DHS,"Bangladesh Demographic and Health Survey 2014. Dhaka, Bangladesh, and Rockville, Maryland, USA: NIPORT, Mitra and Associates, and ICF International. 2016",52.69678,55.05492,50.09697,53.74152,52.33154
BGD,Bangladesh,2017-18,2018,DHS,"Bangladesh Demographic and Health Survey 2017-18. Dhaka, Bangladesh, and Rockville, Maryland, USA: NIPORT and ICF",47.27689,45.59962,49.08207,46.03041,47.7168
BGD,Bangladesh,2019,2019,MICS,"Bangladesh Multiple Indicator Cluster Survey 2019, Survey Findings Report. Dhaka, Bangladesh: Bangladesh Bureau of Statistics (BBS)",44.83957,44.45797,45.24968,44.44904,44.94433
BLR,Belarus,2019,2019,MICS,"2019 Belarus Multiple Indicator Cluster Survey, Survey Findings Report. Republic of Belarus, Minsk: National Statistical Committee of the Republic of Belarus and United Nations Children’s Fund (UNICEF).",2.951749,3.87421,2.038151,2.549692,3.982667
BLZ,Belize,2015-16,2015,MICS,"Belize Multiple Indicator Cluster Survey, 2015-2016, Final Report. Belmopan, Belize: Statistical Institute of Belize and UNICEF Belize.",30.32494,31.63195,28.96379,24.87641,34.07405
BOL,Bolivia (Plurinational State of),2008,2008,DHS,"Encuesta nacional de demografía y salud ENDSA 2008. Demographic and Health Surveys. La Paz, Bolivia: MSD, PRS, INE y Macro International, 2009",19.80891,20.71115,18.8313,13.24283,27.92995
BOL,Bolivia (Plurinational State of),2016,2016,DHS-Style,Bolivia Encuesta de Demografia y Salud - EDSA 2016: Indicadores Priorizados,15.78698,15.16374,16.40515,12.32407,23.51323
BTN,Bhutan,2015,2015,NNS,"National Nutrition Survey 2015, Nutrition Programme Department of Public Health Ministry of Health Bhutan",60.93697,62.33537,59.41747,62.41798,59.83764
CAF,Central African Republic,2010-11,2010,MICS,"Suivi de la situation des enfants, des femmes et des hommes. Enquête par grappes à indicateurs multiples - MICS couplée avec la sérologie VIH, RCA, 2010: Rapport final. Bangui, RCA: ICASEES, 2012.",21.66474,20.97678,22.36682,21.82019,21.58502
CHN,China,2013,2013,Other,"China National Nutrition and Health Survey, 2013",29.37,29.95,28.75,19.87,38.65
CIV,Côte d'Ivoire,2011-12,2012,DHS,"Enquête démographique et de santé et à indicateurs multiples de Côte d'Ivoire 2011-2012. Demographic and Health Surveys and MICS. Calverton, Maryland, USA : INS et ICF International, 2012",75.47203,78.59766,72.55538,70.21818,78.82146
CIV,Côte d'Ivoire,2016,2016,MICS,"Enquête par grappes à indicateurs multiples - Côte d’Ivoire 2016, Rapport Final, Septembre 2017",44.09634,43.09744,45.08618,44.10145,44.09274
CMR,Cameroon,2011,2011,DHS,"Enquête démographique et de santé et à indicateurs multiples du Cameroun 2011. Demographic and Health Surveys and MICS. Calverton, Maryland, USA : INS et ICF International, 2012",39.89952,39.84275,39.95497,36.77581,42.24511
CMR,Cameroon,2014,2014,MICS,"Enquête par grappes à indicateurs multiples (MICS5), 2014, Rapport Final. Yaoundé, Cameroun, Institut National de la Statistique",41.58074,42.34351,40.72363,46.75712,37.94373
CMR,Cameroon,2018-19,2018,DHS,"Enquête Démographique et de Santé du Cameroun 2018. Yaoundé, Cameroun et Rockville, Maryland, USA : INS et ICF. 2020",31.5095,31.19182,31.85635,31.97394,31.15981
COD,Democratic Republic of the Congo,2013-14,2013,DHS,"Enquête démographique et de santé en République Démocratique du Congo 2013-2014. Demographic and Health Surveys. Rockville, Maryland, USA : MPSMRM, MSP et ICF International, 2014",28.72607,29.28923,28.16193,28.01309,29.04443
COD,Democratic Republic of the Congo,2017-18,2017,MICS,"Enquête par grappes à indicateurs multiples, 2017-2018, rapport de résultats de l’enquête. Kinshasa, République Démocratique du Congo",28.1097,25.50952,30.6605,30.87066,26.37871
COG,Congo,2011-12,2011,DHS,"Enquête démographique et de santé du Congo (EDSC-II) 2011-2012. Demographic and Health Surveys. Calverton, Maryland, USA : CNSEE et ICF International, 2013",39.26017,38.6268,39.86648,45.85821,28.76253
COG,Congo,2014-15,2014,MICS,"Enquête par grappes à indicateurs multiples (MICS5 2014-2015), Rapport final. Brazzaville, Congo : Institut National de la Statistique et UNICEF.",51.31836,49.58855,53.13383,58.16553,39.71428
COL,Colombia,2009-10,2010,DHS,"Encuesta nacional de demografia y salud 2010. Demographic and  Health Surveys. Bogota, Colombia: Profamilia, 2011",24.73188,22.69209,26.94547,23.25233,28.58829
COL,Colombia,2015-16,2016,NNS,Colombia National Survey of the Nutritional Situation 2015,15.34974,14.33029,16.36928,12.53621,23.28685
COM,Comoros,2012,2012,DHS,"Enquête démographique et de santé et à indicateurs multiples aux Comores 2012. Demograohic and Health Surveys and MICS. Rockville, MD 20850, USA : DGSP et ICF International, 2014",51.50901,59.34433,43.12349,46.23591,53.63522
CRI,Costa Rica,2018,2018,MICS,"Encuesta de Mujeres, Niñez y Adolescencia (EMNA), Informe de resultados de la encuesta. San José, Costa Rica. 2019",9.671614,11.03642,8.377831,8.19083,13.51841
CUB,Cuba,2014,2014,MICS,"Encuesta de Indicadores Múltiples por Conglomerados, Cuba 2014",26.88285,26.57197,27.20502,24.66101,32.79314
CUB,Cuba,2019,2019,MICS,"Cuba Encuesta de Indicadores Múltiples por Conglomerados 2019, Informe de resultados de la encuesta. La Habana, Cuba: Dirección de Registros Médicos y Estadísticas de Salud.",21.50101,20.228,22.84908,19.84414,24.201
DOM,Dominican Republic,2007,2007,DHS,"Encuesta demográfica y de salud 2007. Demographic and Health Surveys. Santo Domingo, República Dominicana: CESDEM y Macro International Inc., 2008",30.77674,31.10932,30.4382,30.02187,32.41766
DOM,Dominican Republic,2013,2013,DHS,"Encuesta demográfica y de salud 2013. Demographic and Health Surveys. Santo Domingo, República Dominicana: CESDEM y ICF International, 2014",38.17843,38.90388,37.48365,37.89757,38.99052
DOM,Dominican Republic,2014,2014,MICS,"Encuesta Nacional de Hogares de Propósitos Múltiples (ENHOGAR-MICS) 2014. New York, United States: United Nations Children's Fund (UNICEF), 2016.",34.91895,34.84267,34.99453,33.99585,37.49218
DZA,Algeria,2018-19,2019,MICS,Enquête par grappes à indicateurs multiples [MICS] 2019,25.99189,24.80307,27.20155,25.33755,26.79735
ECU,Ecuador,2018-19,2019,Other,"Encuesta Nacional de Salud y Nutrición Ecuador, (ENSANUT-ECU) 2018",26.66204,26.48554,26.85342,25.03295,29.81035
EGY,Egypt,2005,2005,DHS,"Egypt demographic and health survey 2005. Demographic and Health Surveys. Caire, Egypt: Ministry of Health and Population, National Population Council, El-Zanaty and Associates, and ORC Macro, 2006",33.54564,32.73171,34.40356,30.32425,35.40089
EGY,Egypt,2008,2008,DHS,"Egypt demographic and health survey 2008. Demographic and Health Surveys. Cairo, Egypt: Ministry of Health, 2009",46.15389,47.17022,45.09205,43.69484,47.69458
EGY,Egypt,2014,2014,DHS,"Egypt demographic and health survey 2014. Demographic and Health Surveys. Cairo, Egypt and Rockville, Maryland, USA: Ministry of Health and Population and ICF International, 2015.",44.69761,45.99488,43.25827,44.88809,44.61022
ETH,Ethiopia,2005,2005,DHS,"Ethiopia demographic and health survey 2005. Demographic and Health Surveys. Addis Ababa, Ethiopia and Calverton, Maryland, USA: General Statistical Agency and ORC Macro, 2006",82.39207,81.43856,83.37634,66.84605999999999,83.67915000000001
ETH,Ethiopia,2010-11,2011,DHS,"Ethiopia demographic and health survey 2011. Demographic and Health Surveys. Addis Ababa, Ethiopia and Calverton, Maryland, USA: Central Statistical Agency and ICF International, 2012",82.14926,82.36884999999999,81.9228,71.94844999999999,83.76853
ETH,Ethiopia,2016,2016,DHS,"Ethiopia Demographic and Health Survey 2016. Addis Ababa, Ethiopia, and Rockville, Maryland, USA: CSA and ICF.",68.7808,69.07059,68.52408,47.94345,71.67608
ETH,Ethiopia,2019,2019,IDHS,"Ethiopia Mini Demographic and Health  Survey 2019: Final Report. Rockville, Maryland, USA: EPHI and ICF, 2021.",69.16325000000001,70.05795000000001,68.18526,65.25679,70.69995
GAB,Gabon,2012,2012,DHS,"Enquête démographique et de santé du Gabon 2012. Demographic and Health Surveys. Calverton, Maryland, et Libreville, Gabon : DGS et ICF International, 2013",52.45966,55.63121,49.15537,53.37425,47.72597
GEO,Georgia,2018,2018,MICS,"Georgia Multiple Indicator Cluster Survey 2018, Survey Findings Report. Tbilisi, Georgia: National Statistics Office of Georgia.",9.406620999999999,11.83399,7.037683,7.451879,12.41144
GHA,Ghana,2008,2008,DHS,"Ghana demographic and health survey 2008. Demographic and Health Surveys. Accra, Ghana: GSS, GHS, and ICF Macro, 2009",29.67761,27.30989,31.92877,28.90994,30.14029
GHA,Ghana,2011,2011,MICS,"Ghana multiple indicator cluster survey (MICS) with an enhanced malaria module and biomarker 2011: Final report. Accra, Ghana, 2012",33.8245,33.17975,34.45607,33.04793,34.40521
GHA,Ghana,2014,2014,DHS,"Ghana Demographic and Health Survey 2014. Rockville, Maryland, USA: GSS, GHS, and ICF International.",50.58953,51.988,49.08347,49.44358,51.52954
GHA,Ghana,2017-18,2017,MICS,"Multiple Indicator Cluster Survey (MICS2017/18), Survey Findings Report. Accra, Ghana: GSS",42.65919,45.06084,40.19705,39.11798,45.37144
GIN,Guinea,2012,2012,DHS,"L’Enquête Démographique et de Santé et à Indicateurs Multiples en Guinée de 2012 : Rapport de synthèse. Calverton, Maryland, USA : INS et ICF International",82.05385,83.06254,80.9151,74.9781,84.70587
GIN,Guinea,2016,2016,MICS,"Enquête par grappes à indicateurs multiples (MICS, 2016), Rapport final, Conakry, Guinée. 2017",84.8086,85.65667000000001,83.92194000000001,83.87698,85.33332
GIN,Guinea,2018,2018,DHS,"Enquête Démographique et de Santé en Guinée 2018. Conakry, Guinée, et Rockville, Maryland, USA : INS et ICF",62.67694,61.57573,63.84296,67.04525,60.77344
