country,ISO,incgrp,wb_region,disp_area,UN_status_detail,UNmemberstate,UN_status,territoryof,ISO_governing,UN_contregion_code,UN_continental_region,UN_subregion_code,UN_subregion,UN_intermedregion_code,UN_intermediary_region,m49_code,fsci_regions
Aksai Chin,,,,YES,Sovereignty unsettled,0,Occupied territory,,XXX,,,,,,,,
Arunachal Pradesh,,,,YES,Sovereignty unsettled,0,Occupied territory,,XXX,,,,,,,,
Ashmore and Cartier Islands,,,,NO,AU Territory,0,"Territory, region, or administrated by a state",AU Territory,AUS,,,,,,,,
Azores Islands,,,,NO,PT Territory,0,Occupied territory,,PRT,,,,,,,,
Baker Island,,,,NO,US Territory,0,"Territory, region, or administrated by a state",US Territory,USA,,,,,,,,
Bassas da India,,,,NO,FR Territory,0,"Territory, region, or administrated by a state",FR Territory,FRA,,,,,,,,
Bird Island,,,,NO,VE Territory,0,"Territory, region, or administrated by a state",VE Territory,VEN,,,,,,,,
China/India,,,,YES,Sovereignty unsettled,0,Occupied territory,,XXX,,,,,,,,
Clipperton Island,,,,NO,FR Territory,0,"Territory, region, or administrated by a state",FR Territory,FRA,,,,,,,,
Europa Island,,,,NO,FR Territory,0,"Territory, region, or administrated by a state",FR Territory,FRA,,,,,,,,
Glorioso Island,,,,NO,FR Territory,0,"Territory, region, or administrated by a state",FR Territory,FRA,,,,,,,,
Hala'ib triangle,,,,YES,Sovereignty unsettled,0,Occupied territory,,XXX,,,,,,,,
Howland Island,,,,NO,US Territory,0,"Territory, region, or administrated by a state",US Territory,USA,,,,,,,,
Ilemi triangle,,,,YES,Sovereignty unsettled,0,Occupied territory,,XXX,,,,,,,,
Jammu and Kashmir,,,,YES,Sovereignty unsettled,0,Occupied territory,,XXX,,,,,,,,
Jarvis Island,,,,NO,US Territory,0,"Territory, region, or administrated by a state",US Territory,USA,,,,,,,,
Johnston Atoll,,,,NO,US Territory,0,"Territory, region, or administrated by a state",US Territory,USA,,,,,,,,
Juan de Nova Island,,,,NO,FR Territory,0,"Territory, region, or administrated by a state",FR Territory,FRA,,,,,,,,
Kingman Reef,,,,NO,US Territory,0,"Territory, region, or administrated by a state",US Territory,USA,,,,,,,,
Kuril islands,,,,YES,Sovereignty unsettled,0,Occupied territory,,XXX,,,,,,,,
Ma'tan al-Sarra,,,,YES,Sovereignty unsettled,0,Occupied territory,,XXX,,,,,,,,
Madeira Islands,,,,NO,PT Territory,0,Occupied territory,,PRT,,,,,,,,
Midway Island,,,,NO,US Territory,0,"Territory, region, or administrated by a state",US Territory,USA,,,,,,,,
Navassa Island,,,,NO,US Territory,0,"Territory, region, or administrated by a state",US Territory,USA,,,,,,,,
Netherlands Antilles,,,,NO,NL Territory,0,,,NLD,,,,,,,,
Palmyra Atoll,,,,NO,US Territory,0,"Territory, region, or administrated by a state",US Territory,USA,,,,,,,,
Paracel Islands,,,,YES,Sovereignty unsettled,0,Occupied territory,,XXX,,,,,,,,
Scarborough Reef,,,,YES,Sovereignty unsettled,0,Occupied territory,,XXX,,,,,,,,
Senkaku Islands,,,,YES,Sovereignty unsettled,0,Occupied territory,,XXX,,,,,,,,
Spratly Islands,,,,YES,Sovereignty unsettled,0,Occupied territory,,XXX,,,,,,,,
Tromelin Island,,,,NO,FR Territory,0,"Territory, region, or administrated by a state",FR Territory,FRA,,,,,,,,
Wake Island,,,,NO,US Territory,0,"Territory, region, or administrated by a state",US Territory,USA,,,,,,,,
Aruba,ABW,High income,Latin America & Caribbean,NO,NL Self-Governing Territory,0,"Territory, region, or administrated by a state",NL Self-Governing Territory,NLD,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,Latin America & Caribbean
Afghanistan,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
