country,kcal_production,kcal_import,kcal_stocks,kcal_total,fv_production,fv_imports,fv_stocks,fv_total,protein_production,protein_import,protein_stocks,protein_total,fat_production,fat_imports,fat_stocks,fat_total,ISO,incgrp,wb_region,disp_area,UN_status_detail,UNmemberstate,UN_status,territoryof,ISO_governing,UN_contregion_code,UN_continental_region,UN_subregion_code,UN_subregion,UN_intermedregion_code,UN_intermediary_region,m49_code,fsci_regions,dsfiyearrange,year
Afghanistan,.1230366751551628,.2808204889297485,.1858867108821869,.5897438526153564,.2312593758106232,.1898072361946106,.0350174903869629,.4560841023921967,.1540767103433609,.2409054040908813,.1464769244194031,.5414590239524841,.1677520573139191,.3218746185302734,.1786247044801712,.6682513952255249,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia,2016-2018,2018
Albania,.3043888807296753,.2724403440952301,.1116798520088196,.6885090470314026,.341349720954895,.068004883825779,.0020860254298896,.4114406406879425,.3215600252151489,.2113703340291977,.0816482678055763,.6145786643028259,.2765654325485229,.2812976241111755,.0952075198292732,.6530705690383911,ALB,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,008,Northern America and Europe,2016-2018,2018
Algeria,.1365519165992737,.4446794986724854,.1309063732624054,.7121378183364868,.3084028959274292,.0404484160244465,.0529921166598797,.4018434286117554,.1679191291332245,.3689345121383667,.1206920817494392,.6575457453727722,.1492571979761124,.4982388913631439,.1093833968043327,.7568795084953308,DZA,Lower middle income,Middle East & North Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,015,Northern Africa,,,012,Northern Africa & Western Asia,2016-2018,2018
Antigua and Barbuda,.0143771711736917,.6542280912399292,.1640201508998871,.8326254487037659,.0605595707893372,.4336278438568115,.0879888758063316,.5821762681007385,.0353838540613651,.6324268579483032,.0943785309791565,.7621892094612122,.0062789595685899,.5447021722793579,.1421355903148651,.6931167244911194,ATG,High income,Latin America & Caribbean,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,029,Caribbean,028,Latin America & Caribbean,2016-2018,2018
Argentina,.3759550452232361,.0223917700350285,.1772209256887436,.5755677223205566,.4315331876277924,.0787041038274765,.0169097371399403,.5271469950675964,.2386417388916016,.0285888463258743,.1762547194957733,.443485289812088,.3088611364364624,.0251514203846455,.1825621575117111,.5165747404098511,ARG,Upper middle income,Latin America & Caribbean,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,032,Latin America & Caribbean,2016-2018,2018
Armenia,.2434575706720352,.3322453498840332,.116435669362545,.6921386122703552,.3025681376457214,.0748232454061508,.0115851666778326,.3889765739440918,.3003323376178741,.2402994334697723,.0902411565184593,.630872905254364,.2044662535190582,.4211700260639191,.0722323656082153,.6978686451911926,ARM,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia,2016-2018,2018
Australia,.4392449855804443,.0713546127080917,.1509648859500885,.6615644693374634,.3473280966281891,.1842421889305115,.0434003099799156,.5749706029891968,.4101215898990631,.0471179448068142,.1505681574344635,.6078076958656311,.4231970906257629,.1682626307010651,.1549840420484543,.7464437484741211,AUS,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania,2016-2018,2018
Austria,.2601708769798279,.3977267742156982,.1966781616210938,.8545758128166199,.1431990414857864,.5758681297302246,.0571118593215942,.7761789560317993,.2818402647972107,.3535566926002502,.1559164226055145,.7913133502006531,.2418351173400879,.5456862449645996,.1228173896670341,.9103386998176575,AUT,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe,2016-2018,2018
Azerbaijan,.2509577870368958,.2431173026561737,.1487885862588882,.6428636908531189,.3553675413131714,.0634842440485954,.0310241766273975,.4498759806156158,.2865990400314331,.1844833493232727,.0809268802404404,.5520092844963074,.2599909901618958,.2492654919624329,.1496637165546417,.6589201688766479,AZE,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,031,Northern Africa & Western Asia,2016-2018,2018
Bahamas,.0582475587725639,.6182503700256348,.1129808947443962,.7894788384437561,.2240712642669678,.2571504414081573,.0539293140172958,.5351510047912598,.0747678056359291,.6025125980377197,.0497946515679359,.7270750403404236,.0301907733082771,.5858686566352844,.0852172747254372,.7012767195701599,BHS,High income,Latin America & Caribbean,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,029,Caribbean,044,Latin America & Caribbean,2016-2018,2018
