ISO,country,year,unemp,underemp,sex,agegroup,geog,incgrp,wb_region,disp_area,UN_status_detail,UNmemberstate,UN_status,territoryof,ISO_governing,UN_contregion_code,UN_continental_region,UN_subregion_code,UN_subregion,UN_intermedregion_code,UN_intermediary_region,m49_code,fsci_regions
AFG,Afghanistan,2020,26.329,14.8,Total,"Youth, age 15-24",Urban,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AFG,Afghanistan,2020,21.333,35.5,Female,"Youth, age 15-24",Total,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AFG,Afghanistan,2020,9.3330002,8.1999998,Male,"Adults, age 25+",Urban,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AFG,Afghanistan,2020,10.977,9.3999996,Total,"Adults, age 25+",Urban,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AFG,Afghanistan,2020,8.632,23.5,Male,"Adults, age 25+",Rural,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AFG,Afghanistan,2020,46.792999,37.400002,Female,"Youth, age 15-24",Urban,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AFG,Afghanistan,2020,21.341999,10.7,Male,"Youth, age 15-24",Urban,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AFG,Afghanistan,2020,14.177,21.299999,Female,"Adults, age 25+",Total,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AFG,Afghanistan,2020,12.306,21.9,Female,"Adults, age 25+",Rural,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AFG,Afghanistan,2020,10.605,24.6,Total,Total population age 15+,Rural,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AFG,Afghanistan,2020,9.8500004,23.799999,Male,Total population age 15+,Rural,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AFG,Afghanistan,2020,10.508,19.6,Male,Total population age 15+,Total,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AFG,Afghanistan,2020,8.8170004,19.1,Male,"Adults, age 25+",Total,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AFG,Afghanistan,2020,15.238,10.6,Total,Total population age 15+,Urban,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AFG,Afghanistan,2020,22.879,19.200001,Female,"Adults, age 25+",Urban,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AFG,Afghanistan,2020,16.863001,26.4,Female,Total population age 15+,Total,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AFG,Afghanistan,2020,13.337,27.700001,Total,"Youth, age 15-24",Rural,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AFG,Afghanistan,2020,11.71,20.9,Total,Total population age 15+,Total,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AFG,Afghanistan,2020,9.7349997,19.5,Total,"Adults, age 25+",Total,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AFG,Afghanistan,2020,16.117001,24.299999,Total,"Youth, age 15-24",Total,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AFG,Afghanistan,2020,14.564,20.799999,Male,"Youth, age 15-24",Total,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AFG,Afghanistan,2020,12.456,8.8000002,Male,Total population age 15+,Urban,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AFG,Afghanistan,2020,32.033001,24.6,Female,Total population age 15+,Urban,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AFG,Afghanistan,2020,15.639,37.599998,Female,"Youth, age 15-24",Rural,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AFG,Afghanistan,2020,12.616,24.4,Male,"Youth, age 15-24",Rural,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AFG,Afghanistan,2020,13.551,27.6,Female,Total population age 15+,Rural,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AFG,Afghanistan,2020,9.3219995,23.200001,Total,"Adults, age 25+",Rural,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
ARM,Armenia,2020,22.913,3.3,Male,"Adults, age 25+",Urban,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
ARM,Armenia,2020,22.284,5.0999999,Female,Total population age 15+,Total,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
ARM,Armenia,2020,43.126999,2.4000001,Female,"Youth, age 15-24",Urban,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
ARM,Armenia,2020,21.205999,5.5,Total,Total population age 15+,Total,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
ARM,Armenia,2020,13.456,7.3000002,Total,Total population age 15+,Rural,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
