ISO,country,year,wb_region,incgrp,UN_contregion_code,UN_continental_region,UN_subregion_code,UN_subregion,UN_intermedregion_code,UN_intermediary_region,m49_code,fpi_sd,fpi_cv,fpi_mean,CPI_food
ABW,Aruba,2000,Latin America & Caribbean,High income,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,.000033795015,.010585283,.0031926415,53.001228
ABW,Aruba,2001,Latin America & Caribbean,High income,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,.0022639171,.6062606,.003734231,55.075176
ABW,Aruba,2002,Latin America & Caribbean,High income,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,.0015867373,.74692863,.0021243494,56.948879
ABW,Aruba,2003,Latin America & Caribbean,High income,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,.0020843667,1.0191138,.0020452738,58.447868
ABW,Aruba,2004,Latin America & Caribbean,High income,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,.0021373027,.75028223,.002848665,60.395527
ABW,Aruba,2005,Latin America & Caribbean,High income,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,.0025049881,.67237025,.0037256081,62.660011
ABW,Aruba,2006,Latin America & Caribbean,High income,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,.01026032,1.4644696,.0070061684,65.903641
ABW,Aruba,2007,Latin America & Caribbean,High income,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,.0081889965,.8290503,.0098775625,75.187317
ABW,Aruba,2008,Latin America & Caribbean,High income,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,.0075881672,.80264664,.0094539328,83.753525
ABW,Aruba,2009,Latin America & Caribbean,High income,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,.0034295847,1.1835543,.0028976996,87.038208
ABW,Aruba,2010,Latin America & Caribbean,High income,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,.0037301853,1.0042491,.0037144024,85.155602
ABW,Aruba,2011,Latin America & Caribbean,High income,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,.0035159956,.60963428,.005767385,89.524666
ABW,Aruba,2012,Latin America & Caribbean,High income,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,.0014929858,.82135838,.0018177032,93.425598
ABW,Aruba,2013,Latin America & Caribbean,High income,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,.0026090031,.91007984,.0028667848,94.758354
ABW,Aruba,2014,Latin America & Caribbean,High income,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,.0035354495,.73744917,.0047941604,97.629868
ABW,Aruba,2015,Latin America & Caribbean,High income,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,.0035629657,.94047582,.0037884712,100.00131
ABW,Aruba,2016,Latin America & Caribbean,High income,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,.0034356925,.67367417,.0050999322,99.437012
ABW,Aruba,2017,Latin America & Caribbean,High income,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,.005036551,1.0291823,.0048937402,97.443977
ABW,Aruba,2018,Latin America & Caribbean,High income,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,.0070782425,.72879761,.0097122192,104.40446
ABW,Aruba,2019,Latin America & Caribbean,High income,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,.0076022558,1.0462773,.007266005,115.4044
ABW,Aruba,2020,Latin America & Caribbean,High income,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,.0024403955,.66223019,.0036851168,114.81813
ABW,Aruba,2021,Latin America & Caribbean,High income,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,.0047021154,.9891963,.0047534704,114.57085
