ISO,country,incgrp,wb_region,foodsafety2018,foodsafety2019,foodsafety2020,disp_area,UN_status_detail,UNmemberstate,UN_status,territoryof,ISO_governing,UN_contregion_code,UN_continental_region,UN_subregion_code,UN_subregion,UN_intermedregion_code,UN_intermediary_region,m49_code,fsci_regions,foodsafety_latestyear
AFG,Afghanistan,Low income,South Asia,20,20,20,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia,20
AGO,Angola,Lower middle income,Sub-Saharan Africa,20,40,40,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa,40
ALB,Albania,Upper middle income,Europe & Central Asia,,60,80,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,008,Northern America and Europe,80
AND,Andorra,High income,Europe & Central Asia,80,80,80,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,020,Northern America and Europe,80
ARE,United Arab Emirates,High income,Middle East & North Africa,100,100,100,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,784,Northern Africa & Western Asia,100
ARG,Argentina,Upper middle income,Latin America & Caribbean,80,80,80,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,032,Latin America & Caribbean,80
ARM,Armenia,Upper middle income,Europe & Central Asia,40,40,40,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia,40
ATG,Antigua and Barbuda,High income,Latin America & Caribbean,80,,,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,029,Caribbean,028,Latin America & Caribbean,80
AUS,Australia,High income,East Asia & Pacific,100,100,100,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania,100
AUT,Austria,High income,Europe & Central Asia,80,100,100,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe,100
AZE,Azerbaijan,Upper middle income,Europe & Central Asia,60,80,80,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,031,Northern Africa & Western Asia,80
