country,functionalintegrity,areaha,ISO,incgrp,wb_region,disp_area,UN_status_detail,UNmemberstate,UN_status,territoryof,ISO_governing,UN_contregion_code,UN_continental_region,UN_subregion_code,UN_subregion,UN_intermedregion_code,UN_intermediary_region,m49_code,fsci_regions,year
Aruba,100,17976.119,ABW,High income,Latin America & Caribbean,NO,NL Self-Governing Territory,0,"Territory, region, or administrated by a state",NL Self-Governing Territory,NLD,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,Latin America & Caribbean,2015
Afghanistan,98.0323811368818,64183800,AFG,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia,2015
Angola,99.13437866905551,124667528,AGO,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa,2015
Anguilla,100,7870.145,AIA,,,NO,UK Non-Self-Governing Territory,0,Permanent observer to the UN,,GBR,019,Americas,419,Latin America and the Caribbean,029,Caribbean,660,Latin America & Caribbean,2015
Albania,80.0572295874791,2868178.8,ALB,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,008,Northern America and Europe,2015
Andorra,100,47462.598,AND,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,020,Northern America and Europe,2015
United Arab Emirates,96.9481699646919,7119183.5,ARE,High income,Middle East & North Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,784,Northern Africa & Western Asia,2015
Argentina,89.8026413360524,278014016,ARG,Upper middle income,Latin America & Caribbean,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,032,Latin America & Caribbean,2015
Armenia,92.0683176679517,2962358,ARM,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia,2015
American Samoa,99.26612591734259,19998.291,ASM,Upper middle income,East Asia & Pacific,NO,US Non-Self-Governing Territory,0,"Territory, region, or administrated by a state",US Non-Self-Governing Territory,USA,009,Oceania,061,Polynesia,,,016,Oceania,2015
French Southern and Antarctic Territories,99.9333841905642,770048.69,ATF,,,NO,FR Territory,0,"Territory, region, or administrated by a state",FR Territory,FRA,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,260,Sub-Saharan Africa,2015
Antigua and Barbuda,99.8439937597504,45244.98,ATG,High income,Latin America & Caribbean,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,029,Caribbean,028,Latin America & Caribbean,2015
Australia,96.055403043905,768763328,AUS,High income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania,2015
Austria,87.5037692462802,8396427,AUT,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe,2015
Azerbaijan,71.7414918022813,16477030,AZE,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,031,Northern Africa & Western Asia,2015
Burundi,68.4741812041736,2685715,BDI,Low income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,108,Sub-Saharan Africa,2015
Belgium,65.4142701340371,3066906.5,BEL,High income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,056,Northern America and Europe,2015
Benin,83.52485990629449,11524722,BEN,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,204,Sub-Saharan Africa,2015
Burkina Faso,56.5035784886352,27328036,BFA,Low income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,854,Sub-Saharan Africa,2015
Bangladesh,29.6820129675622,13982510,BGD,Lower middle income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,050,Southern Asia,2015
Bulgaria,67.76153482026011,11130009,BGR,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,100,Northern America and Europe,2015
Bahrain,81.4020523463623,67330.641,BHR,High income,Middle East & North Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,,Asia,145,Western Asia,,,048,Northern Africa & Western Asia,2015
Bahamas,99.44889348144321,1190368.3,BHS,High income,Latin America & Caribbean,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,029,Caribbean,044,Latin America & Caribbean,2015
Bosnia and Herzegovina,93.4892272805818,5114533.5,BIH,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,070,Northern America and Europe,2015
Belarus,75.0765918068479,20758072,BLR,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,112,Northern America and Europe,2015
Belize,98.9942493055531,2176409,BLZ,Upper middle income,Latin America & Caribbean,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,013,Central America,084,Latin America & Caribbean,2015
Bermuda,99.2462311557789,6319.6724,BMU,High income,North America,NO,UK Non-Self-Governing Territory,0,Permanent observer to the UN,,GBR,019,Americas,021,Northern America,,,060,Northern America and Europe,2015
Bolivia (Plurinational State of),98.77423440198559,108446800,BOL,Lower middle income,Latin America & Caribbean,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,068,Latin America & Caribbean,2015
Brazil,94.722496711307,848594496,BRA,Upper middle income,Latin America & Caribbean,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,076,Latin America & Caribbean,2015
