ISO,country,wb_region,incgrp,year,genres_animal,genres_plant,disp_area,UN_status_detail,UNmemberstate,UN_status,territoryof,ISO_governing,UN_contregion_code,UN_continental_region,UN_subregion_code,UN_subregion,UN_intermedregion_code,UN_intermediary_region,m49_code
AFG,Afghanistan,South Asia,Low income,2000,,0,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004
AFG,Afghanistan,South Asia,Low income,2005,,0,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004
AFG,Afghanistan,South Asia,Low income,2010,,.757,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004
AFG,Afghanistan,South Asia,Low income,2012,,.8110000000000001,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004
AFG,Afghanistan,South Asia,Low income,2014,,.9429999999999999,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004
AFG,Afghanistan,South Asia,Low income,2016,,.953,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004
AFG,Afghanistan,South Asia,Low income,2017,,.953,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004
AFG,Afghanistan,South Asia,Low income,2018,,.953,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004
AFG,Afghanistan,South Asia,Low income,2019,,.953,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004
AFG,Afghanistan,South Asia,Low income,2020,,.953,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004
ALB,Albania,Europe & Central Asia,Upper middle income,2000,,.716,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,008
ALB,Albania,Europe & Central Asia,Upper middle income,2005,,2.624,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,008
ALB,Albania,Europe & Central Asia,Upper middle income,2010,,3.198,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,008
ALB,Albania,Europe & Central Asia,Upper middle income,2012,,3.58,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,008
ALB,Albania,Europe & Central Asia,Upper middle income,2014,,3.886,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,008
ALB,Albania,Europe & Central Asia,Upper middle income,2016,,4.409,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,008
ALB,Albania,Europe & Central Asia,Upper middle income,2017,,4.409,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,008
ALB,Albania,Europe & Central Asia,Upper middle income,2018,,4.417,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,008
ALB,Albania,Europe & Central Asia,Upper middle income,2019,,4.432,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,008
ALB,Albania,Europe & Central Asia,Upper middle income,2020,,4.432,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,008
ARG,Argentina,Latin America & Caribbean,Upper middle income,2000,,1.039,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,032
ARG,Argentina,Latin America & Caribbean,Upper middle income,2005,,1.9,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,032
