ISO,country,wb_region,incgrp,year,mufppurbshare,nmufppcities,mufpp_urbpop,pop_u,landscan_population,disp_area,UN_status_detail,UNmemberstate,UN_status,territoryof,ISO_governing,UN_contregion_code,UN_continental_region,UN_subregion_code,UN_subregion,UN_intermedregion_code,UN_intermediary_region,m49_code,fsci_regions
ABW,Aruba,Latin America & Caribbean,High income,2020,0,,0,6.7399998,119.367,NO,NL Self-Governing Territory,0,"Territory, region, or administrated by a state",NL Self-Governing Territory,NLD,019,Americas,419,Latin America and the Caribbean,029,Caribbean,533,Latin America & Caribbean
AFG,Afghanistan,South Asia,Low income,2020,0,,0,27198.492,32756.601,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AGO,Angola,Sub-Saharan Africa,Lower middle income,2020,37.515759,1,8736.264999999999,23286.92,32560.149,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
ALB,Albania,Europe & Central Asia,Upper middle income,2020,19.884487,1,456.857,2297.5549,3077.113,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,008,Northern America and Europe
AND,Andorra,Europe & Central Asia,High income,2020,0,,0,.91000003,77.20999999999999,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,020,Northern America and Europe
ARE,United Arab Emirates,Middle East & North Africa,High income,2020,36.403393,1,3364.888,9243.3359,10010.697,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,784,Northern Africa & Western Asia
ARG,Argentina,Latin America & Caribbean,Upper middle income,2020,60.121346,6,23240.082,38655.293,45667.665,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,032,Latin America & Caribbean
ARM,Armenia,Europe & Central Asia,Upper middle income,2020,0,,0,2638.1941,3044.102,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
ASM,American Samoa,East Asia & Pacific,Upper middle income,2020,0,,0,42.566002,47.392,NO,US Non-Self-Governing Territory,0,"Territory, region, or administrated by a state",US Non-Self-Governing Territory,USA,009,Oceania,061,Polynesia,,,016,Oceania
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,2020,0,,0,85.728996,98.15900000000001,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,029,Caribbean,028,Latin America & Caribbean
AUS,Australia,East Asia & Pacific,High income,2020,1.6255218,2,367.116,22584.502,25466.43,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,053,Australia and New Zealand,,,036,Oceania
AUT,Austria,Europe & Central Asia,High income,2020,30.720236,1,1902.26,6192.2051,8909.538,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,040,Northern America and Europe
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2020,0,,0,8693.0332,10267.199,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,031,Northern Africa & Western Asia
BDI,Burundi,Sub-Saharan Africa,Low income,2020,0,,0,2636.354,11913.826,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,108,Sub-Saharan Africa
BEL,Belgium,Europe & Central Asia,High income,2020,36.996613,5,3727.686,10075.749,11840.879,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,056,Northern America and Europe
BEN,Benin,Sub-Saharan Africa,Lower middle income,2020,0,,0,11362.856,12991.002,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,204,Sub-Saharan Africa
BES,"Bonaire, Sint Eustatius and Saba",,,2020,0,,0,19.871,25.04,,,0,,,,019,Americas,419,Latin America and the Caribbean,029,Caribbean,535,Latin America & Caribbean
BFA,Burkina Faso,Sub-Saharan Africa,Low income,2020,26.610853,2,3438.234,12920.42,20937.128,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,854,Sub-Saharan Africa
BGD,Bangladesh,South Asia,Lower middle income,2020,0,,0,78540.023,164633.221,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,050,Southern Asia
BGR,Bulgaria,Europe & Central Asia,Upper middle income,2020,0,,0,5306.6641,6980.073,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,100,Northern America and Europe
BHR,Bahrain,Middle East & North Africa,High income,2020,0,,0,1444.72,1454.44,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,,Asia,145,Western Asia,,,048,Northern Africa & Western Asia
BHS,Bahamas,Latin America & Caribbean,High income,2020,0,,0,331.13199,335.494,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,029,Caribbean,044,Latin America & Caribbean
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2020,0,,0,2446.4619,3860.637,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,070,Northern America and Europe
BLR,Belarus,Europe & Central Asia,Upper middle income,2020,0,,0,6397.6021,9489.668,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,112,Northern America and Europe
BLZ,Belize,Latin America & Caribbean,Upper middle income,2020,0,,0,287.64499,407.074,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,013,Central America,084,Latin America & Caribbean
BOL,Bolivia (Plurinational State of),Latin America & Caribbean,Lower middle income,2020,38.812401,2,3246.715,8365.1484,11621.438,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,068,Latin America & Caribbean
BRA,Brazil,Latin America & Caribbean,Upper middle income,2020,38.911926,7,71387.507,183459.2,211832.382,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,076,Latin America & Caribbean
BRB,Barbados,Latin America & Caribbean,High income,2020,0,,0,57.257,294.542,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,029,Caribbean,052,Latin America & Caribbean
BTN,Bhutan,South Asia,Lower middle income,2020,0,,0,425.672,806.505,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,064,Southern Asia
BWA,Botswana,Sub-Saharan Africa,Upper middle income,2020,0,,0,1576.782,2335.028,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,018,Southern Africa,072,Sub-Saharan Africa
CAF,Central African Republic,Sub-Saharan Africa,Low income,2020,0,,0,4199.7769,6113.644,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,140,Sub-Saharan Africa
CAN,Canada,North America,High income,2020,18.362345,4,5673.351,30896.66,37561.336,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,021,Northern America,,,124,Northern America and Europe
CHE,Switzerland,Europe & Central Asia,High income,2020,12.249621,4,868.518,7090.1621,8585.066999999999,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,756,Northern America and Europe
CHL,Chile,Latin America & Caribbean,High income,2020,0,,0,15792.34,18188.428,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,152,Latin America & Caribbean
CHN,China,East Asia & Pacific,Upper middle income,2020,7.0803685,4,87949.02800000001,1242153.3,1393690.114,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,030,Eastern Asia,,,156,Eastern Asia
CIV,Côte D'Ivoire,Sub-Saharan Africa,Lower middle income,2020,23.767097,1,5674.534,23875.586,27531.039,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,384,Sub-Saharan Africa
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,2020,28.953688,3,6802.005,23492.707,28178.282,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,120,Sub-Saharan Africa
COD,Democratic Republic of the Congo,Sub-Saharan Africa,Low income,2020,0,,0,91005.617,102053.656,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,180,Sub-Saharan Africa
COG,Congo,Sub-Saharan Africa,Lower middle income,2020,40.015213,2,1986.538,4964.457,5528.488,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,178,Sub-Saharan Africa
COK,Cook Islands,,,2020,0,,0,3.4189999,8.564,NO,NZ Territory,0,"Territory, region, or administrated by a state",NZ Territory,NZL,009,Oceania,061,Polynesia,,,184,Oceania
COL,Colombia,Latin America & Caribbean,Upper middle income,2020,20.925278,2,8140.479,38902.609,49120.981,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,170,Latin America & Caribbean
COM,Comoros,Sub-Saharan Africa,Lower middle income,2020,0,,0,835.04401,846.2809999999999,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,174,Sub-Saharan Africa
CPV,Cabo Verde,Sub-Saharan Africa,Lower middle income,2020,36.427666,2,197.054,540.94598,583.245,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,132,Sub-Saharan Africa
CRI,Costa Rica,Latin America & Caribbean,Upper middle income,2020,1.4785976,1,60.296,4077.918,5116.263,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,013,Central America,188,Latin America & Caribbean
CUB,Cuba,Latin America & Caribbean,Upper middle income,2020,0,,0,9305.9521,11054.899,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,029,Caribbean,192,Latin America & Caribbean
CUW,Curaçao,Latin America & Caribbean,High income,2020,0,,0,144.54201,151.345,,,0,,,,019,Americas,419,Latin America and the Caribbean,029,Caribbean,531,Latin America & Caribbean
CYM,Cayman Islands,Latin America & Caribbean,High income,2020,0,,0,56.612999,61.303,NO,UK Non-Self-Governing Territory,0,Permanent observer to the UN,,GBR,019,Americas,419,Latin America and the Caribbean,029,Caribbean,136,Latin America & Caribbean
CYP,Cyprus,Europe & Central Asia,High income,2020,0,,0,700.99597,861.207,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,196,Northern Africa & Western Asia
CZE,Czechia,Europe & Central Asia,High income,2020,0,,0,7482.0239,10766.574,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,203,Northern America and Europe
DEU,Germany,Europe & Central Asia,High income,2020,7.9009571,3,5238.603,66303.398,80384.375,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,155,Western Europe,,,276,Northern America and Europe
DJI,Djibouti,Middle East & North Africa,Lower middle income,2020,0,,0,830.09601,922.91,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,262,Sub-Saharan Africa
DMA,Dominica,Latin America & Caribbean,Upper middle income,2020,0,,0,55.611,74.243,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,029,Caribbean,212,Latin America & Caribbean
DNK,Denmark,Europe & Central Asia,High income,2020,14.687979,2,723.0250000000001,4922.563,5870.506,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,154,Northern Europe,,,208,Northern America and Europe
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,2020,0,,0,9316.4453,10501.102,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,029,Caribbean,214,Latin America & Caribbean
DZA,Algeria,Middle East & North Africa,Lower middle income,2020,10.646468,1,3717.392,34916.668,42990.867,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,015,Northern Africa,,,012,Northern Africa & Western Asia
ECU,Ecuador,Latin America & Caribbean,Upper middle income,2020,19.884811,1,2683.396,13494.701,16935.405,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,218,Latin America & Caribbean
EGY,Egypt,Middle East & North Africa,Lower middle income,2020,0,,0,103277.36,104199.895,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,015,Northern Africa,,,818,Northern Africa & Western Asia
ERI,Eritrea,Sub-Saharan Africa,Low income,2020,0,,0,4944.2412,6093.532,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,232,Sub-Saharan Africa
ESH,Western Sahara,,,2020,0,,0,584.49402,653.448,NO,Non-Self-Governing Territory,0,"Territory, region, or administrated by a state",Non-Self-Governing Territory,XXX,002,Africa,015,Northern Africa,,,732,Northern Africa & Western Asia
ESP,Spain,Europe & Central Asia,High income,2020,20.619146,24,8997.003000000001,43634.215,50027.542,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,724,Northern America and Europe
EST,Estonia,Europe & Central Asia,High income,2020,0,,0,808.94397,1231.256,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,154,Northern Europe,,,233,Northern America and Europe
ETH,Ethiopia,Sub-Saharan Africa,Low income,2020,6.3738546,1,5731.651,89924.406,108354.526,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,231,Sub-Saharan Africa
FIN,Finland,Europe & Central Asia,High income,2020,0,,0,3176.2529,5535.874,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,154,Northern Europe,,,246,Northern America and Europe
FJI,Fiji,East Asia & Pacific,Upper middle income,2020,0,,0,726.03497,935.7619999999999,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,009,Oceania,054,Melanesia,,,242,Oceania
