ISO,datatype,rcsi_people,rcsi_prevalence,method,date,year,month,day,i,rCSI_monthly,biweek,rCSI_biweekly,wb_region,incgrp,country
AFG,SURVEY,4707605,11.649067,Survey,13/06/21,2021,6,13,AFG,12.1441,1,11.686932,South Asia,Low income,Afghanistan
AFG,SURVEY,4738208,11.724797,Survey,14/06/21,2021,6,14,AFG,12.1441,1,11.686932,South Asia,Low income,Afghanistan
AFG,SURVEY,4700409,11.631262,Survey,15/06/21,2021,6,15,AFG,12.1441,2,12.201246,South Asia,Low income,Afghanistan
AFG,SURVEY,4703482,11.638865,Survey,16/06/21,2021,6,16,AFG,12.1441,2,12.201246,South Asia,Low income,Afghanistan
AFG,SURVEY,4780570,11.829621,Survey,17/06/21,2021,6,17,AFG,12.1441,2,12.201246,South Asia,Low income,Afghanistan
AFG,SURVEY,4597626,11.376923,Survey,18/06/21,2021,6,18,AFG,12.1441,2,12.201246,South Asia,Low income,Afghanistan
AFG,SURVEY,4620554,11.433659,Survey,19/06/21,2021,6,19,AFG,12.1441,2,12.201246,South Asia,Low income,Afghanistan
AFG,SURVEY,4632806,11.46398,Survey,20/06/21,2021,6,20,AFG,12.1441,2,12.201246,South Asia,Low income,Afghanistan
AFG,SURVEY,4749692,11.753214,Survey,21/06/21,2021,6,21,AFG,12.1441,2,12.201246,South Asia,Low income,Afghanistan
AFG,SURVEY,4870444,12.052017,Survey,22/06/21,2021,6,22,AFG,12.1441,2,12.201246,South Asia,Low income,Afghanistan
AFG,SURVEY,4991102,12.350588,Survey,23/06/21,2021,6,23,AFG,12.1441,2,12.201246,South Asia,Low income,Afghanistan
AFG,SURVEY,4994829,12.359812,Survey,24/06/21,2021,6,24,AFG,12.1441,2,12.201246,South Asia,Low income,Afghanistan
AFG,SURVEY,4782225,11.833717,Survey,25/06/21,2021,6,25,AFG,12.1441,2,12.201246,South Asia,Low income,Afghanistan
AFG,SURVEY,5224634,12.928468,Survey,26/06/21,2021,6,26,AFG,12.1441,2,12.201246,South Asia,Low income,Afghanistan
AFG,SURVEY,4963962,12.28343,Survey,27/06/21,2021,6,27,AFG,12.1441,2,12.201246,South Asia,Low income,Afghanistan
AFG,SURVEY,5451337,13.489448,Survey,28/06/21,2021,6,28,AFG,12.1441,2,12.201246,South Asia,Low income,Afghanistan
AFG,SURVEY,5442263,13.466997,Survey,29/06/21,2021,6,29,AFG,12.1441,2,12.201246,South Asia,Low income,Afghanistan
AFG,SURVEY,5386069,13.327943,Survey,30/06/21,2021,6,30,AFG,12.1441,2,12.201246,South Asia,Low income,Afghanistan
AFG,SURVEY,5296262,13.105711,Survey,01/07/21,2021,7,1,AFG,9.9845552,1,10.315085,South Asia,Low income,Afghanistan
AFG,SURVEY,4802713,11.884415,Survey,02/07/21,2021,7,2,AFG,9.9845552,1,10.315085,South Asia,Low income,Afghanistan
AFG,SURVEY,4101782,10.149947,Survey,03/07/21,2021,7,3,AFG,9.9845552,1,10.315085,South Asia,Low income,Afghanistan
AFG,SURVEY,3939710,9.7488966,Survey,04/07/21,2021,7,4,AFG,9.9845552,1,10.315085,South Asia,Low income,Afghanistan
AFG,SURVEY,4062201,10.052003,Survey,05/07/21,2021,7,5,AFG,9.9845552,1,10.315085,South Asia,Low income,Afghanistan
AFG,SURVEY,4065653,10.060546,Survey,06/07/21,2021,7,6,AFG,9.9845552,1,10.315085,South Asia,Low income,Afghanistan
AFG,SURVEY,4103566,10.154361,Survey,07/07/21,2021,7,7,AFG,9.9845552,1,10.315085,South Asia,Low income,Afghanistan
AFG,SURVEY,3945168,9.7624016,Survey,08/07/21,2021,7,8,AFG,9.9845552,1,10.315085,South Asia,Low income,Afghanistan
AFG,SURVEY,3855404,9.5402794,Survey,09/07/21,2021,7,9,AFG,9.9845552,1,10.315085,South Asia,Low income,Afghanistan
AFG,SURVEY,3901410,9.6541214,Survey,10/07/21,2021,7,10,AFG,9.9845552,1,10.315085,South Asia,Low income,Afghanistan
AFG,SURVEY,4232515,10.473447,Survey,11/07/21,2021,7,11,AFG,9.9845552,1,10.315085,South Asia,Low income,Afghanistan
AFG,SURVEY,4068658,10.067981,Survey,12/07/21,2021,7,12,AFG,9.9845552,1,10.315085,South Asia,Low income,Afghanistan
AFG,SURVEY,4005499,9.9116917,Survey,13/07/21,2021,7,13,AFG,9.9845552,1,10.315085,South Asia,Low income,Afghanistan
AFG,SURVEY,3978707,9.8453951,Survey,14/07/21,2021,7,14,AFG,9.9845552,1,10.315085,South Asia,Low income,Afghanistan
AFG,SURVEY,3882669,9.6077461,Survey,15/07/21,2021,7,15,AFG,9.9845552,2,9.7123537,South Asia,Low income,Afghanistan
AFG,SURVEY,4178646,10.340149,Survey,16/07/21,2021,7,16,AFG,9.9845552,2,9.7123537,South Asia,Low income,Afghanistan
AFG,SURVEY,4230795,10.469194,Survey,17/07/21,2021,7,17,AFG,9.9845552,2,9.7123537,South Asia,Low income,Afghanistan
AFG,SURVEY,4274602,10.577595,Survey,18/07/21,2021,7,18,AFG,9.9845552,2,9.7123537,South Asia,Low income,Afghanistan
AFG,SURVEY,3999944,9.8979473,Survey,19/07/21,2021,7,19,AFG,9.9845552,2,9.7123537,South Asia,Low income,Afghanistan
AFG,SURVEY,4035379,9.9856319,Survey,20/07/21,2021,7,20,AFG,9.9845552,2,9.7123537,South Asia,Low income,Afghanistan
AFG,SURVEY,3959068,9.7967987,Survey,21/07/21,2021,7,21,AFG,9.9845552,2,9.7123537,South Asia,Low income,Afghanistan
AFG,SURVEY,3927550,9.7188044,Survey,22/07/21,2021,7,22,AFG,9.9845552,2,9.7123537,South Asia,Low income,Afghanistan
AFG,SURVEY,3919604,9.6991425,Survey,23/07/21,2021,7,23,AFG,9.9845552,2,9.7123537,South Asia,Low income,Afghanistan
AFG,SURVEY,3635082,8.9950876,Survey,24/07/21,2021,7,24,AFG,9.9845552,2,9.7123537,South Asia,Low income,Afghanistan
AFG,SURVEY,3700136,9.156065,Survey,25/07/21,2021,7,25,AFG,9.9845552,2,9.7123537,South Asia,Low income,Afghanistan
AFG,SURVEY,3580947,8.8611288,Survey,26/07/21,2021,7,26,AFG,9.9845552,2,9.7123537,South Asia,Low income,Afghanistan
AFG,SURVEY,3562606,8.8157434,Survey,27/07/21,2021,7,27,AFG,9.9845552,2,9.7123537,South Asia,Low income,Afghanistan
AFG,SURVEY,3551363,8.7879229,Survey,28/07/21,2021,7,28,AFG,9.9845552,2,9.7123537,South Asia,Low income,Afghanistan
AFG,SURVEY,3735588,9.2437925,Survey,29/07/21,2021,7,29,AFG,9.9845552,2,9.7123537,South Asia,Low income,Afghanistan
AFG,SURVEY,4127473,10.21352,Survey,30/07/21,2021,7,30,AFG,9.9845552,2,9.7123537,South Asia,Low income,Afghanistan
AFG,SURVEY,4422572,10.943747,Survey,31/07/21,2021,7,31,AFG,9.9845552,2,9.7123537,South Asia,Low income,Afghanistan
AFG,SURVEY,4371206,10.816642,Survey,01/08/21,2021,8,1,AFG,12.094986,1,10.85993,South Asia,Low income,Afghanistan
AFG,SURVEY,4770338,11.804303,Survey,02/08/21,2021,8,2,AFG,12.094986,1,10.85993,South Asia,Low income,Afghanistan
AFG,SURVEY,4820747,11.92904,Survey,03/08/21,2021,8,3,AFG,12.094986,1,10.85993,South Asia,Low income,Afghanistan
AFG,SURVEY,4657044,11.523952,Survey,04/08/21,2021,8,4,AFG,12.094986,1,10.85993,South Asia,Low income,Afghanistan
AFG,SURVEY,4801636,11.881748,Survey,05/08/21,2021,8,5,AFG,12.094986,1,10.85993,South Asia,Low income,Afghanistan
AFG,SURVEY,4446600,11.003205,Survey,06/08/21,2021,8,6,AFG,12.094986,1,10.85993,South Asia,Low income,Afghanistan
AFG,SURVEY,4305759,10.654692,Survey,07/08/21,2021,8,7,AFG,12.094986,1,10.85993,South Asia,Low income,Afghanistan
AFG,SURVEY,4302447,10.646495,Survey,08/08/21,2021,8,8,AFG,12.094986,1,10.85993,South Asia,Low income,Afghanistan
AFG,SURVEY,4305456,10.653941,Survey,09/08/21,2021,8,9,AFG,12.094986,1,10.85993,South Asia,Low income,Afghanistan
AFG,SURVEY,4294697,10.627318,Survey,10/08/21,2021,8,10,AFG,12.094986,1,10.85993,South Asia,Low income,Afghanistan
AFG,SURVEY,4319698,10.689184,Survey,11/08/21,2021,8,11,AFG,12.094986,1,10.85993,South Asia,Low income,Afghanistan
AFG,SURVEY,4180548,10.344854,Survey,12/08/21,2021,8,12,AFG,12.094986,1,10.85993,South Asia,Low income,Afghanistan
AFG,SURVEY,3997634,9.89223,Survey,13/08/21,2021,8,13,AFG,12.094986,1,10.85993,South Asia,Low income,Afghanistan
AFG,SURVEY,3867990,9.5714216,Survey,14/08/21,2021,8,14,AFG,12.094986,1,10.85993,South Asia,Low income,Afghanistan
AFG,SURVEY,4185280,10.356563,Survey,15/08/21,2021,8,15,AFG,12.094986,2,13.11209,South Asia,Low income,Afghanistan
AFG,SURVEY,4132000,10.224722,Survey,16/08/21,2021,8,16,AFG,12.094986,2,13.11209,South Asia,Low income,Afghanistan
AFG,SURVEY,3995353,9.8865862,Survey,17/08/21,2021,8,17,AFG,12.094986,2,13.11209,South Asia,Low income,Afghanistan
AFG,SURVEY,4142560,10.250853,Survey,18/08/21,2021,8,18,AFG,12.094986,2,13.11209,South Asia,Low income,Afghanistan
AFG,SURVEY,4417761,10.931845,Survey,19/08/21,2021,8,19,AFG,12.094986,2,13.11209,South Asia,Low income,Afghanistan
AFG,SURVEY,4417761,10.931845,Survey,20/08/21,2021,8,20,AFG,12.094986,2,13.11209,South Asia,Low income,Afghanistan
AFG,SURVEY,4417761,10.931845,Survey,21/08/21,2021,8,21,AFG,12.094986,2,13.11209,South Asia,Low income,Afghanistan
AFG,SURVEY,4417761,10.931845,Survey,22/08/21,2021,8,22,AFG,12.094986,2,13.11209,South Asia,Low income,Afghanistan
