ISO,righttofood,country,wb_region,incgrp,multiple_policies,UNmemberstate,ISO_governing,m49_code,UN_continental_region,UN_subregion,UN_intermediary_region,UN_contregion_code,UN_subregion_code,UN_intermedregion_code,year
AFG,2,Afghanistan,6,Low income,1,1,,004,Asia,Southern Asia,,142,034,,2021
ALB,2,Albania,2,Upper middle income,1,1,,008,Europe,Southern Europe,,150,039,,2021
DZA,2,Algeria,4,Lower middle income,1,1,,012,Africa,Northern Africa,,002,015,,2021
AND,2,Andorra,2,High income,1,1,,020,Europe,Southern Europe,,150,039,,2021
AGO,2,Angola,7,Lower middle income,1,1,,024,Africa,Sub-Saharan Africa,Middle Africa,002,202,017,2021
ATG,3,Antigua and Barbuda,3,High income,0,1,,028,Americas,Latin America and the Caribbean,Caribbean,019,419,029,2021
ARG,2,Argentina,3,Upper middle income,1,1,,032,Americas,Latin America and the Caribbean,South America,019,419,005,2021
ARM,2,Armenia,2,Upper middle income,1,1,,051,Asia,Western Asia,,142,145,,2021
AUS,3,Australia,1,High income,0,1,,036,Oceania,Australia and New Zealand,,009,053,,2021
AUT,2,Austria,2,High income,0,1,,040,Europe,Western Europe,,150,155,,2021
AZE,2,Azerbaijan,2,Upper middle income,1,1,,031,Asia,Western Asia,,142,145,,2021
BHS,3,Bahamas,3,High income,0,1,,044,Americas,Latin America and the Caribbean,Caribbean,019,419,029,2021
BHR,2,Bahrain,4,High income,0,1,,048,Asia,Western Asia,,,145,,2021
BGD,1,Bangladesh,6,Lower middle income,0,1,,050,Asia,Southern Asia,,142,034,,2021
BRB,3,Barbados,3,High income,0,1,,052,Americas,Latin America and the Caribbean,Caribbean,019,419,029,2021
BLR,1,Belarus,2,Upper middle income,1,1,,112,Europe,Eastern Europe,,150,151,,2021
BEL,2,Belgium,2,High income,0,1,,056,Europe,Western Europe,,150,155,,2021
BLZ,2,Belize,3,Upper middle income,0,1,,084,Americas,Latin America and the Caribbean,Central America,019,419,013,2021
BEN,2,Benin,7,Lower middle income,1,1,,204,Africa,Sub-Saharan Africa,Western Africa,002,202,011,2021
BTN,2,Bhutan,6,Lower middle income,0,1,,064,Asia,Southern Asia,,142,034,,2021
BOL,1,Bolivia (Plurinational State of),3,Lower middle income,1,1,,068,Americas,Latin America and the Caribbean,South America,019,419,005,2021
BIH,2,Bosnia and Herzegovina,2,Upper middle income,1,1,,070,Europe,Southern Europe,,150,039,,2021
BWA,3,Botswana,7,Upper middle income,0,1,,072,Africa,Sub-Saharan Africa,Southern Africa,002,202,018,2021
BRA,1,Brazil,3,Upper middle income,1,1,,076,Americas,Latin America and the Caribbean,South America,019,419,005,2021
BRN,3,Brunei Darussalam,1,High income,0,1,,096,Asia,South-eastern Asia,,142,035,,2021
BGR,2,Bulgaria,2,Upper middle income,1,1,,100,Europe,Eastern Europe,,150,151,,2021
BFA,2,Burkina Faso,7,Low income,1,1,,854,Africa,Sub-Saharan Africa,Western Africa,002,202,011,2021
BDI,1,Burundi,7,Low income,0,1,,108,Africa,Sub-Saharan Africa,Eastern Africa,002,202,014,2021
CPV,2,Cabo Verde,7,Lower middle income,1,1,,132,Africa,Sub-Saharan Africa,Western Africa,002,202,011,2021
KHM,2,Cambodia,1,Lower middle income,1,1,,116,Asia,South-eastern Asia,,142,035,,2021
CMR,2,Cameroon,7,Lower middle income,1,1,,120,Africa,Sub-Saharan Africa,Middle Africa,002,202,017,2021
CAN,3,Canada,5,High income,0,1,,124,Americas,Northern America,,019,021,,2021
CAF,2,Central African Republic,7,Low income,1,1,,140,Africa,Sub-Saharan Africa,Middle Africa,002,202,017,2021
TCD,2,Chad,7,Low income,1,1,,148,Africa,Sub-Saharan Africa,Middle Africa,002,202,017,2021
CHL,2,Chile,3,High income,0,1,,152,Americas,Latin America and the Caribbean,South America,019,419,005,2021
CHN,2,China,1,Upper middle income,0,1,,156,Asia,Eastern Asia,,142,030,,2021
COL,1,Colombia,3,Upper middle income,0,1,,170,Americas,Latin America and the Caribbean,South America,019,419,005,2021
COM,2,Comoros,7,Lower middle income,0,1,,174,Africa,Sub-Saharan Africa,Eastern Africa,002,202,014,2021
COG,2,Congo,7,Lower middle income,1,1,,178,Africa,Sub-Saharan Africa,Middle Africa,002,202,017,2021
CRI,1,Costa Rica,3,Upper middle income,1,1,,188,Americas,Latin America and the Caribbean,Central America,019,419,013,2021
HRV,2,Croatia,2,High income,1,1,,191,Europe,Southern Europe,,150,039,,2021
CUB,1,Cuba,3,Upper middle income,0,1,,192,Americas,Latin America and the Caribbean,Caribbean,019,419,029,2021
CYP,2,Cyprus,2,High income,1,1,,196,Asia,Western Asia,,142,145,,2021
CZE,2,Czechia,2,High income,1,1,,203,Europe,Eastern Europe,,150,151,,2021
CIV,2,Côte D'Ivoire,7,Lower middle income,1,1,,384,Africa,Sub-Saharan Africa,Western Africa,002,202,011,2021
PRK,1,Dem People's Rep of Korea,1,Low income,1,1,,408,Asia,Eastern Asia,,142,030,,2021
COD,1,Democratic Republic of the Congo,7,Low income,1,1,,180,Africa,Sub-Saharan Africa,Middle Africa,002,202,017,2021
DNK,2,Denmark,2,High income,0,1,,208,Europe,Northern Europe,,150,154,,2021
DJI,2,Djibouti,4,Lower middle income,0,1,,262,Africa,Sub-Saharan Africa,Eastern Africa,002,202,014,2021
DMA,2,Dominica,3,Upper middle income,0,1,,212,Americas,Latin America and the Caribbean,Caribbean,019,419,029,2021
DOM,2,Dominican Republic,3,Upper middle income,1,1,,214,Americas,Latin America and the Caribbean,Caribbean,019,419,029,2021
ECU,1,Ecuador,3,Upper middle income,1,1,,218,Americas,Latin America and the Caribbean,South America,019,419,005,2021
EGY,1,Egypt,4,Lower middle income,1,1,,818,Africa,Northern Africa,,002,015,,2021
SLV,2,El Salvador,3,Lower middle income,1,1,,222,Americas,Latin America and the Caribbean,Central America,019,419,013,2021
GNQ,2,Equatorial Guinea,7,Upper middle income,1,1,,226,Africa,Sub-Saharan Africa,Middle Africa,002,202,017,2021
ERI,2,Eritrea,7,Low income,0,1,,232,Africa,Sub-Saharan Africa,Eastern Africa,002,202,014,2021
EST,2,Estonia,2,High income,0,1,,233,Europe,Northern Europe,,150,154,,2021
SWZ,2,Eswatini,7,Lower middle income,0,1,,748,Africa,Sub-Saharan Africa,Southern Africa,002,202,018,2021
ETH,1,Ethiopia,7,Low income,1,1,,231,Africa,Sub-Saharan Africa,Eastern Africa,002,202,014,2021
