ISO,country,year,spcoverage,spadequacy,datayear,incgrp,wb_region,disp_area,UN_status_detail,UNmemberstate,UN_status,territoryof,ISO_governing,UN_contregion_code,UN_continental_region,UN_subregion_code,UN_subregion,UN_intermedregion_code,UN_intermediary_region,m49_code,fsci_regions
AFG,Afghanistan,2011,8.8205824,,2011,Low income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,004,Southern Asia
AGO,Angola,2018,21.575878,23.596813,2018,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,024,Sub-Saharan Africa
ALB,Albania,2012,54.885509,27.989923,2012,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,008,Northern America and Europe
ARG,Argentina,2019,51.323914,40.054531,2019,Upper middle income,Latin America & Caribbean,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,032,Latin America & Caribbean
ARM,Armenia,2018,67.018478,36.373402,2018,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,051,Northern Africa & Western Asia
AZE,Azerbaijan,2015,64.643616,2.5745189,2015,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,145,Western Asia,,,031,Northern Africa & Western Asia
BEN,Benin,2003,6.6269808,39.493587,2003,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,204,Sub-Saharan Africa
BFA,Burkina Faso,2018,56.981525,17.217672,2018,Low income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,854,Sub-Saharan Africa
BGD,Bangladesh,2016,40.991203,6.0996795,2016,Lower middle income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,050,Southern Asia
BGR,Bulgaria,2007,73.607925,32.192337,2007,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,100,Northern America and Europe
BIH,Bosnia and Herzegovina,2015,50.349594,32.451496,2015,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,039,Southern Europe,,,070,Northern America and Europe
BLR,Belarus,2019,71.870018,53.374023,2019,Upper middle income,Europe & Central Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,150,Europe,151,Eastern Europe,,,112,Northern America and Europe
BLZ,Belize,2009,39.38702,23.345619,2009,Upper middle income,Latin America & Caribbean,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,013,Central America,084,Latin America & Caribbean
BOL,Bolivia (Plurinational State of),2019,77.989639,39.013309,2019,Lower middle income,Latin America & Caribbean,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,068,Latin America & Caribbean
BRA,Brazil,2019,50.312668,42.330589,2019,Upper middle income,Latin America & Caribbean,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,076,Latin America & Caribbean
BTN,Bhutan,2017,.89294147,,2017,Lower middle income,South Asia,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,034,Southern Asia,,,064,Southern Asia
BWA,Botswana,2015,55.443806,26.048006,2015,Upper middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,018,Southern Africa,072,Sub-Saharan Africa
CHL,Chile,2017,92.288071,18.65049,2017,High income,Latin America & Caribbean,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,019,Americas,419,Latin America and the Caribbean,005,South America,152,Latin America & Caribbean
CHN,China,2013,63.053001,36.829964,2013,Upper middle income,East Asia & Pacific,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,142,Asia,030,Eastern Asia,,,156,Eastern Asia
CIV,Côte D'Ivoire,2015,32.862671,47.54319,2015,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,011,Western Africa,384,Sub-Saharan Africa
CMR,Cameroon,2014,5.0134492,3.1276126,2014,Lower middle income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,120,Sub-Saharan Africa
COD,Democratic Republic of the Congo,2012,11.057385,38.256618,2012,Low income,Sub-Saharan Africa,NO,Member State,1,"Territory, region, or administrated by a state",Member State,,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,180,Sub-Saharan Africa
