"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","405586592.178771","487709497.206704","596648044.692737","695530726.256983","764804469.273743","872067039.106145","958659217.877095","1083240223.46369","1245810055.86592","1320670391.06145","1379888268.15642","1531843575.41899","1665363128.49162","1722905027.93296","1873184357.5419","1896648044.69274","1962011173.18436","2044134078.21229","2254748603.35196","2359776536.31285","2469832402.23464","2677653631.28492","2843016759.77654","2553631284.9162","2453631284.9162","2637988826.81564","2615083798.88268","2727932960.89385","2791061452.51397","2963128491.62011","2983798882.68156","3092178770.94972","3202234636.87151","3310055865.92179","2496648044.69274","",
"Africa Eastern and Southern","AFE","GDP (current US$)","NY.GDP.MKTP.CD","21290586002.8823","21808473824.6119","23707015393.9183","28210036878.0973","26118787467.4775","29682172751.4667","32239121547.1534","33514552047.4493","36521482936.948","41828336212.6461","44862605392.833","49478916698.2536","53514844533.891","69600788110.6735","86057777550.911","91649152686.8653","91124551925.9133","103415844082.068","115345041829.637","134671404724.684","170654335897.028","174387007968.082","167266313060.902","174918045686.543","160133966253.813","136297338029.871","152518294683.987","186144649622.386","204139844556.652","217538592168.933","253224041095.044","273402805408.616","238255441287.563","236526919099.008","240120093424.591","269636854385.978","268413689898.383","282184986870.201","265814093139.907","262172198957.447","283925424524.95","258818573322.586","264869812959.289","352658503930.87","438833793854.258","512211130671.035","575921416503.73","661179291210.003","708286928848.111","719216656140.903","860478348236.464","964418457187.791","973043454994.634","983937046710.893","1003678868706.97","924252536256.503","882355055412.759","1020647235171.22","991022252916.702","997534042075.187","921645942921.888","1082095608968.23",
"Afghanistan","AFG","GDP (current US$)","NY.GDP.MKTP.CD","537777811.111111","548888895.555556","546666677.777778","751111191.111111","800000044.444444","1006666637.77778","1399999966.66667","1673333417.77778","1373333366.66667","1408888922.22222","1748886595.55556","1831108971.11111","1595555475.55556","1733333264.44444","2155555497.77778","2366666615.55556","2555555566.66667","2953333417.77778","3300000108.88889","3697940409.61098","3641723321.99546","3478787909.09091","","","","","","","","","","","","","","","","","","","","","4055179566.34981","4515558808.10994","5226778808.89209","6209137624.77181","6971285594.68013","9747879531.86311","10109305182.952","12416161048.8412","15856678596.148","17805113118.8938","19907317065.6666","20146404996.223","20497126770.1335","19134211763.859","18116562464.9088","18753469630.2586","18053228578.8878","18799450742.7823","20116137325.8206","",
"Africa Western and Central","AFW","GDP (current US$)","NY.GDP.MKTP.CD","10404135069.15","11127894641.0191","11943187848.3043","12676330764.6917","13838369295.2313","14862225759.9135","15832591204.0611","14426038229.7748","14880349280.3199","16882092549.4749","23504605475.6438","20832817218.3939","25264953765.762","31273819025.9673","44214484996.8734","51444731784.0348","62129390374.9031","65315008068.1014","71199708191.9945","88628401268.6832","112031308653.857","211003492000.188","187163726212.803","138115204947.351","114262670303.605","116507282627.195","107497542341.418","110321770123.657","108943464548.552","101768783075.2","121802125421.925","117457060715.759","118282253152.158","98826369836.0256","86281743752.6536","108221319966.439","125763022907.643","127063922266.802","130106822586.563","137521000392.092","140410259302.465","148012829262.279","176938027370.015","204644531317.323","254092555393.797","310557534109.235","393305207803.064","461791382953.671","566480827442.146","507043593426.246","591595778367.133","670983030296.122","727570384034.451","820792700049.506","864990453538.518","760734474152.243","690546384903.295","683748746978.112","741689925173.426","794543045900.11","784445725634.786","835808395909.477",
"Angola","AGO","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","5930503400.96263","5550483035.96497","5550483035.96497","5784341596.36339","6131475065.17815","7553560459.2246","7072063345.58823","8083872012.36631","8769250549.79947","10201099039.4385","11228764963.2353","10603784541.197","8307810973.58848","5768720421.61367","4438321017.39068","5538749259.94714","7526446605.51712","7648377412.83277","6506229607.29432","6152922942.98032","9129594818.60749","8936063723.20121","15285594828.418","17812704825.1957","23552047248.4301","36970918699.2523","52381006892.038","65266452081.386","88538610805.3214","70307166934.3311","81699556136.6643","109436531427.069","124998158417.861","133401594460.922","137244418012.553","87219290028.7263","49840494025.5166","68972763787.1547","77792940077.1193","69309104806.6311","53619071176.139","72546985708.5707",
"Albania","ALB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","1857338011.85488","1897050133.42015","2097326250","2080796250","2051236250","2253090000","2028553750","1099559027.77778","652174990.837304","1185315468.46295","1880951520.3972","2392764853.42107","3199641335.93751","2258513974.0968","2545964540.88383","3212121650.97755","3480355258.04122","3922100793.5403","4348068242.19512","5611496257.14231","7184685781.51876","8052073539.38058","8896072918.9814","10677324144.4289","12881353507.8539","12044208085.864","11926922828.9911","12890764531.3284","12319830437.3467","12776220507.0162","13228147516.1168","11386850129.8411","11861199830.8396","13019689336.6919","15156432309.8977","15401830754.0773","15131866270.5936","18260043499.8068",
"Andorra","AND","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","78619206.0850963","89409820.3592814","113408231.944085","150820102.798401","186558696.279204","220127246.376812","227281024.620741","254020153.340635","308008897.569444","411578334.159643","446416105.825017","388958731.302938","375895956.383462","327861832.946636","330070689.298282","346737964.774951","482000594.03588","611316399.407088","721425939.15155","795449332.396346","1029048481.88051","1106928582.86629","1210013651.87713","1007025755.00065","1017549124.33238","1178738991.19295","1223945356.62682","1180597272.72727","1211932397.81713","1239876305.13531","1429049198.45218","1546926174.49664","1755910031.99699","2361726862.30248","2894921777.99851","3159905484.39249","3456442102.622","3952600602.24473","4085630584.44412","3674409558.21061","3449925738.86069","3629133574.27783","3188652765.36184","3193512950.02419","3271685596.66321","2789881258.50362","2896610479.73077","3000162081.11976","3218419896.9641","3155149347.80639","2891001149.3611","3329910723.76078",
"Arab World","ARB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","35019874408.0534","38163151812.5519","43150006547.2428","49841693162.6334","59381535706.6928","75330107157.2532","142816295352.383","157909834833.927","196559705955.664","226978701921.543","249111411230.949","338626141970.263","459811278765.036","474025484143.079","444131734919.486","418463618520.434","425900123069.24","419501104252.227","406985865609.838","440608259911.811","424902039234.106","455824612499.577","644068929938.217","471525976315.047","473815259253.755","482768507761.567","507770217342.65","556060151754.297","614196023699.778","662320286110.823","644497080358.707","712838954000.87","816022345748.309","798508872207.506","803126104894.899","887856220506.331","1056250800483.71","1297897997606.52","1538296658886.73","1790043618080.77","2253740516075.54","1978805212789.63","2327010098167.46","2547958055744.58","2778076501107.13","2834607141427.39","2876010443891.52","2518700620586.27","2495864756764.43","2584096654452.22","2785878075917.03","2808099764578.03","2496251185652.42","2850421035169.38",
"United Arab Emirates","ARE","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","14720672506.5004","19213022691.0526","24871775164.6043","23775831783.4263","31225463217.7582","43598748449.0479","49333424135.1131","46622718605.2847","42803323345.1376","41807954235.903","40603650231.5445","33943612094.7971","36384908744.2114","36275674203.2144","41464995913.9199","50701443748.2975","51552165622.4462","54239171887.769","55625170253.337","59305093979.842","65743666575.8649","73571233996.1863","78839008444.5655","75674336283.1858","84445473110.9598","104337372362.151","103311640571.818","109816201497.617","124346358066.712","147824370319.946","180617467964.602","222116541865.214","257916133424.098","315474615738.598","253547358747.447","289787452661.511","350666058392.172","374590657683.251","390107528483.058","403137207534.971","358134944420.504","357045156018.56","385605506854.881","422215043584.969","417215559513.364","358868765174.924","",
"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD","","","24450604877.4934","18272123664.3994","25605249381.7597","28344705966.5801","28630474727.8546","24256667553.2569","26436857247.4696","31256284543.5869","31584210365.5447","33293199095.4681","34733000536.2862","52544000116.9037","72436777342.4443","52438647921.9226","51169499892.1722","56781000101.0848","58082870156.329","69252328951.6441","76961923741.0701","78676842366.5529","84307486836.724","103979106777.911","79092001998.032","88416668900.2596","110934442762.694","111106191358.197","126206817196.091","76636898036.4712","141352368714.691","189719984268.485","228788617201.696","236741715015.015","257440000000","258031750000","272149750000","292859000000","298948250000","283523000000","284203750000","268696750000","97724004251.8602","127586973492.177","164657930452.787","198737095012.282","232557260817.308","287530508430.568","361558037110.419","332976484577.619","423627422092.49","530163281574.658","545982375701.128","552025140252.246","526319673731.638","594749285413.212","557531376217.967","643628665302.155","524819742918.669","452818426182.658","389591035520.675","491492700657.012",
"Armenia","ARM","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2256838857.60997","2069870129.87013","1272835453.42634","1201312829.27524","1315158636.67553","1468317435.20148","1596968946.23708","1639492444.76152","1893726437.26462","1845482173.02732","1911563668.85006","2118467913.37873","2376335048.39976","2807061008.69084","3576615240.41616","4900469950.09033","6384451606.1421","9206301700.39619","11662040713.8753","8647936747.98704","9260284937.79781","10142111334.4961","10619320048.5857","11121465767.4067","11609512939.7542","10553337672.9872","10546135160.031","11527458565.7334","12457941907.0333","13619291361.2814","12641209802.112","13861183873.5931",
"American Samoa","ASM","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512000000","524000000","509000000","500000000","493000000","518000000","560000000","675000000","573000000","570000000","640000000","638000000","643000000","673000000","671000000","612000000","639000000","648000000","709000000","",
"Antigua and Barbuda","ATG","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","77496753.7037037","87879341.4814815","109079978.888889","131431026.666667","147841734.444444","164369278.888889","182144092.962963","208372846.296296","240923924.814815","290440140.740741","337174861.851852","398637727.777778","438794788.518519","459470370.37037","481707407.407407","499281481.481481","535174074.074074","589429629.62963","577281481.481481","633729629.62963","680618518.518518","727859259.259259","766200000","826370370.37037","800481481.481481","814381481.481481","856396296.296296","919729629.62963","1022962962.96296","1157662962.96296","1312759259.25926","1370070370.37037","1228329629.62963","1148700000","1137637037.03704","1199948148.14815","1181448148.14815","1249733333.33333","1336692592.59259","1436585185.18519","1467977777.77778","1605944444.44444","1687533333.33333","1370281481.48148","1471125925.92593",
