"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","6474.36494818056","7886.8898930545","9769.58417429816","11395.9780161058","12305.387908253","13494.6851601774","14048.3472725248","14942.2749632897","16241.5755930633","16441.7906361916","16583.0030663785","17926.7826263194","19080.6957893174","19356.5260584094","20614.7993478518","20417.7759623298","20654.4885167631","21070.0717223168","22834.2846487073","23591.1598383737","24495.0153945714","26452.2319491525","28048.1517706491","25170.8323632477","24134.473859403","25849.9640060328","25496.8439417217","26442.4268006965","26895.0571665314","28399.0501310163","28453.715564598","29348.418968591","30253.7142345626","31135.8843563332","23384.2987907455","",
"Africa Eastern and Southern","AFE","GDP per capita (current US$)","NY.GDP.PCAP.CD","162.726325455099","162.555967587872","172.271022217071","199.784915835755","180.22877411624","199.517227525137","211.054388352747","213.636598692174","226.62132027216","252.568635298882","263.499037287835","282.574925803775","297.071741398534","375.456270551337","451.034688298213","466.621771213466","450.65258883821","496.730541993217","538.069256458145","610.089564420998","750.769347000704","745.057665043645","694.053585524094","704.89889527078","626.673685177359","517.922885407221","562.694182286902","666.744126624498","709.991727225507","734.866506057739","831.20201932402","872.391305645421","739.303650102079","714.00994879401","705.447264774989","771.259980132981","747.767103149873","765.890061418886","703.028888937666","675.739876268361","713.177899604189","633.548478649454","631.810182054392","819.665920062035","993.668106328172","1129.70120425436","1236.99411346666","1382.73744167547","1442.03101172733","1425.3071682636","1659.65492214657","1810.2291644467","1777.30395005009","1748.9055935618","1736.24221958851","1556.31646949666","1446.5336241503","1629.40427287618","1541.03166126289","1511.30925874722","1360.87864476883","1557.72268174541",
"Afghanistan","AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","59.7732337032148","59.8608999923829","58.4580086983139","78.7064287776753","82.0953065340517","101.108325163758","137.594297961115","160.898434161304","129.108310965006","129.329760364199","156.518771348706","159.567508996258","135.317227981591","143.144649500081","173.653624742026","186.510838346447","197.445507551145","224.225001566116","247.354087806417","275.738115377232","272.655510200686","264.111197144336","","","","","","","","","","","","","","","","","","","","","179.426579211394","190.683814295088","211.382074198939","242.031313175022","263.733601866274","359.693157866109","364.6635420423","437.26874023514","543.306526178281","591.190030208565","638.845851607289","624.315454506615","614.223342360392","556.007220861443","512.012778129357","516.679862210543","485.668418729808","494.179349886029","516.747870807558","",
"Africa Western and Central","AFW","GDP per capita (current US$)","NY.GDP.PCAP.CD","107.930721670791","113.080061889149","118.829460649335","123.441089464144","131.852422747254","138.524029037349","144.323881800467","128.57895699243","129.641092532328","143.715616646261","195.433543777431","169.119083076668","200.168385501532","241.711405067758","333.192458666027","377.788006927651","444.374374249069","454.790118672608","482.477436596052","584.373926387609","718.691796404151","1316.93151198304","1136.46241069847","815.900735692204","656.712769287136","651.509972499415","584.907279583009","584.119273397445","561.361468547411","510.419112141694","594.7257168312","558.435766376057","547.662947306736","445.656045154781","378.9403765471","462.864797675908","523.763417185134","515.234540924025","513.642463768146","528.580606703467","525.458896063925","539.338735113671","627.790485557802","706.963981035667","854.514572415174","1016.48643759888","1252.62230380461","1430.83910728174","1707.4384335853","1486.71102495947","1687.58852555283","1862.36510739509","1965.11575000063","2157.4945836876","2212.91409452372","1894.32211518466","1673.84368096074","1613.4904781425","1704.13569844318","1777.85282247276","1709.76412923861","1774.92121803027",
"Angola","AGO","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","710.98156291924","642.381478890979","619.959903362244","623.440047272955","637.715098040778","758.237880635391","685.269753323338","756.26206526674","792.303048639681","890.553592231726","947.704262077515","865.69272959239","656.362015240656","441.200841971444","328.673148671386","397.179479250907","522.643698386589","514.295154058547","423.593687810511","387.784267167756","556.83618223535","527.333528536691","872.494441791273","982.960981888823","1255.56423822184","1902.42214975937","2599.56594793067","3121.99608528081","4080.94101529549","3122.78174333089","3497.9744877961","4518.31335013452","4978.43443525745","5127.71724294327","5094.11232930191","3127.89059784461","1728.02375418026","2313.22058359692","2524.94248263123","2177.79901475964","1631.43169087951","2137.90939339084",
"Albania","ALB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","639.484735848211","639.865909445734","693.873474633887","674.793383069492","652.774321396566","697.995596576519","617.230435515505","336.586994504629","200.852219772323","367.279225077581","586.416339644261","750.604449178826","1009.97727483821","717.380047745673","813.789396580449","1033.24253162418","1126.68334010717","1281.6598256178","1425.12421860142","1846.12012081207","2373.58129170055","2673.78658429559","2972.74292399799","3595.03805682893","4370.5399247769","4114.13489916342","4094.34838574494","4437.14261222684","4247.63004748194","4413.06200528903","4578.63320812155","3952.80253807527","4124.05538986272","4531.0193737689","5287.66369446913","5396.21586434732","5332.16047456847","6494.38571288581",
"Andorra","AND","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","3238.69026097204","3496.5320229667","4218.27159918486","5342.16856044208","6320.80963168572","7169.10100559556","7151.24990940599","7751.84330741357","9127.81227979624","11818.4733427033","12378.7845111338","10372.786050001","9610.02061570912","8025.20764054036","7728.90669456943","7775.61421691636","10361.1477651737","12615.1261769143","14304.6405954742","15165.2812551732","18878.8523130643","19534.2636301538","20549.8055751695","16515.6583953924","16235.0680377239","18458.1739929996","19016.2881877293","18355.6278604321","18895.110661321","19262.3089910407","21854.2468030614","22970.5122133619","25067.2400639132","32272.8458909877","37966.1872524395","40064.2249292197","42674.7589681092","47804.8499340211","48719.6587699036","43504.2156523202","40849.7612766794","43333.9730414795","38684.5665299216","39538.3552064403","41302.3821426181","35770.9186530024","37474.7458403618","38964.662014361","41793.3188365378","40898.4179063904","37416.6977203275","43047.6862704034",
"Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","304.160518327977","322.222697498006","354.311149412643","398.208801670577","461.758290333311","569.986115582103","1050.48849388379","1127.60054859761","1360.7147492746","1521.69420817228","1616.43979080392","2126.80096235692","2796.55226020705","2793.33140204933","2536.99979173918","2318.2813591998","2289.35136963935","2188.88800572377","2062.3781373932","2169.57604468082","2034.09791048166","2122.54340682174","2892.6978605602","2061.48092327384","2033.92279617549","2017.89776294238","2068.73660049399","2196.93445175397","2371.40463974375","2501.0001753774","2381.94670455924","2579.06990239738","2890.16921993897","2768.44611081728","2725.55462756983","2948.57298820179","3430.91351946936","4120.75881414659","4770.61086344643","5419.59957171543","6660.0696885306","5708.70928552045","6556.98797413176","7016.13664676607","7479.25408461195","7465.45547070586","7414.31210944321","6359.90057838383","6177.22723547981","6272.94978241754","6635.38139369641","6562.96999763297","5724.28687023385","6412.38920956596",
"United Arab Emirates","ARE","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","26848.0881760738","30117.9489330308","33823.1816606368","28457.0780342099","33512.6334236559","42764.5405564139","44987.5379901852","40025.8226237317","34843.1596263749","32309.8327132028","29720.8977184634","23467.8793176905","23726.3070493825","22295.1187062952","24028.2624976646","27729.3905933305","26612.253110068","26420.8598834079","25596.7393895625","25848.016250094","27221.9344117425","28975.0799572712","29512.6747918254","26899.601766231","28470.885858149","33291.3662541838","31280.7558649555","31567.5463066439","33499.1027760786","36333.1873330517","39365.4596409245","41907.4214695701","41809.4621626311","44498.9405069137","32024.1977823245","33893.2772453878","39194.6752665788","40976.4964159714","42412.6364911519","43751.8173110723","38663.388255736","38141.8768898068","40644.7911908818","43839.3244857234","42701.4430454782","36284.5552429552","",
"Argentina","ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","1155.89071668715","850.304578620878","1173.23810525517","1279.11377847858","1272.80320400797","1062.54341227446","1141.08043153979","1329.05854618778","1322.59063753874","1372.37417356174","1408.86537993108","2097.02283010295","2844.86331235308","2027.33720222659","1948.22468592602","2129.70836078413","2146.36495899507","2520.92071600201","2758.83481649511","2776.32208825604","2927.89735685135","3553.37750879684","2659.70824247007","2926.12648531698","3613.62170927636","3562.87605875248","3985.19246874962","2383.86747065533","4333.48337168025","5735.3599805848","6823.53883710424","6969.11972904571","7483.14033425721","7408.70866363112","7721.35410460355","8213.12512693705","8289.5075682025","7774.73620280001","7708.09911454041","7208.37311355372","2593.404563368","3349.80630031036","4277.72157290954","5109.85224490403","5919.01233837714","7245.44685667197","9020.87332314274","8225.13758261645","10385.9644319555","12848.8641969705","13082.664325572","13080.2547323367","12334.7982453893","13789.060424772","12790.2424732447","14613.041824658","11795.1593866287","10076.3552409481","8585.69474249794","10729.2325777217",
