Area,Area Id,Variable Name,Variable Id,Year,Value,Symbol,Md,
AFG|Afghanistan,4,Agricultural water withdrawal as % of total renewable water resources,4273,1987,39.56834532,E,,0
AFG|Afghanistan,4,Agricultural water withdrawal as % of total renewable water resources,4273,1992,35.49810055,I,,0
AFG|Afghanistan,4,Agricultural water withdrawal as % of total renewable water resources,4273,1997,31.42785578,I,,0
AFG|Afghanistan,4,Agricultural water withdrawal as % of total renewable water resources,4273,2002,30.61380683,I,,0
AFG|Afghanistan,4,Agricultural water withdrawal as % of total renewable water resources,4273,2007,30.61380683,I,,0
AFG|Afghanistan,4,Agricultural water withdrawal as % of total renewable water resources,4273,2012,30.61380683,I,,0
AFG|Afghanistan,4,Agricultural water withdrawal as % of total renewable water resources,4273,2017,30.61380683,I,,0
AFG|Afghanistan,4,Agricultural water withdrawal as % of total renewable water resources,4273,2018,30.61380683,I,,0
ALB|Albania,8,Agricultural water withdrawal as % of total renewable water resources,4273,1992,2.874172185,I,,0
ALB|Albania,8,Agricultural water withdrawal as % of total renewable water resources,4273,1997,2.735099338,I,,0
ALB|Albania,8,Agricultural water withdrawal as % of total renewable water resources,4273,2002,2.911258278,I,,0
ALB|Albania,8,Agricultural water withdrawal as % of total renewable water resources,4273,2007,1.758940397,I,,0
ALB|Albania,8,Agricultural water withdrawal as % of total renewable water resources,4273,2012,1.98410596,I,,0
ALB|Albania,8,Agricultural water withdrawal as % of total renewable water resources,4273,2017,2.314569536,E,,0
ALB|Albania,8,Agricultural water withdrawal as % of total renewable water resources,4273,2018,2.162251656,E,,0
DZA|Algeria,12,Agricultural water withdrawal as % of total renewable water resources,4273,1982,20.29656296,E,,0
DZA|Algeria,12,Agricultural water withdrawal as % of total renewable water resources,4273,1987,22.57649781,E,,0
DZA|Algeria,12,Agricultural water withdrawal as % of total renewable water resources,4273,1992,24.39203036,I,,0
DZA|Algeria,12,Agricultural water withdrawal as % of total renewable water resources,4273,1997,27.51661641,I,,0
DZA|Algeria,12,Agricultural water withdrawal as % of total renewable water resources,4273,2002,31.17573264,I,,0
DZA|Algeria,12,Agricultural water withdrawal as % of total renewable water resources,4273,2007,36.9729696,I,,0
DZA|Algeria,12,Agricultural water withdrawal as % of total renewable water resources,4273,2012,42.77020657,E,,0
DZA|Algeria,12,Agricultural water withdrawal as % of total renewable water resources,4273,2017,57.17836633,E,,0
DZA|Algeria,12,Agricultural water withdrawal as % of total renewable water resources,4273,2018,57.17836633,I,,0
AGO|Angola,24,Agricultural water withdrawal as % of total renewable water resources,4273,1987,0.245956873,E,,0
AGO|Angola,24,Agricultural water withdrawal as % of total renewable water resources,4273,1992,0.205784781,I,,0
AGO|Angola,24,Agricultural water withdrawal as % of total renewable water resources,4273,1997,0.165612689,I,,0
