"ADM0_NAME","CSIRO68","GHM1","HFP4","LIA","ensb_thr3","Natural","Integ1km10","Area (ha)"
"Abyei",0.000705754614549403,0,0.156694016409846,0,0,0.942573536248954,0.999325633671808,993812.678247843
"Afghanistan",0.742549204221873,0.160900232523777,0.182173644793873,0.316461573092724,0.177070295182431,0.875759423981514,0.980323811368818,64183799.9373286
"Aksai Chin",0.999658103084471,0.998520710059172,0.892387768379961,0.997901472409523,0.99906915810522,0.999134063029554,0.99999491606422,3066553.721953
"Albania",0.123411998450662,0.00643437291234485,0.0239453482639622,0.210849429166367,0.00490481034733324,0.478225405958778,0.800572295874791,2868178.65612893
"Algeria",0.872370583703496,0.831646913227459,0.803514033694677,0.868496100608069,0.841387458529168,0.952653664205087,0.973923330734661,230874413.888935
"American Samoa",0.225859925404061,0.0693069306930693,NA,0.225165562913907,NA,0.364738805970149,0.992661259173426,19998.2907293389
"Andorra",0.417115792911971,0,0,0.633123689727463,0,0.980420949583945,1,47462.5981466359
"Angola",0.714971567526776,0.423966992236094,0.418079748592934,0.685357814652178,0.492505112071248,0.941277125335107,0.991343786690555,124667530.850012
"Anguilla",0.462773722627737,0,0,0.02,0,0.963609898107715,1,7870.14493414588
"Antigua and Barbuda",0.620257895720426,0.00233100233100233,0,0.0248618784530387,0,0.916096579476861,0.998439937597504,45244.9789686267
"Argentina",0.615264037972154,0.360940396058921,0.491750875543703,0.313205152931069,0.343665218307012,0.758867945240627,0.898026413360524,278014030.795616
"Armenia",0.12301049409707,0.000491176367399923,0.0258620689655172,0.155296610169492,0,0.380182566437546,0.920683176679517,2962357.8895327
"Aruba",0.317865429234339,0,0,0.0184049079754601,0,0.784203102961918,1,17976.1190676679
"Arunachal Pradesh",0.949830245019839,0.269725362541973,0.601093296597004,0.825879022646007,0.571862800607921,0.966139342749008,0.99764836770729,6796513.83563226
"Ashmore and Cartier Islands",NA,1,NA,NA,NA,NA,NA,68.8046579344092
"Australia",0.85196609750787,0.857314617046841,0.741538028199699,0.861412094627744,0.835670052803213,0.916604935694363,0.96055403043905,768763331.328822
"Austria",0.613805504035011,0.00616281291802026,0.000417123516232064,0.245682007459174,0.00355428751042712,0.739089773228888,0.875037692462802,8396426.67719726
"Azerbaijan",0.152866852680086,0.00161765219314069,0.00264076903143009,0.131332501941222,0.000164039924794004,0.377027607001893,0.717414918022813,16477029.8687182
"Azores Islands",0.837407230884456,0.13544792113159,0,0.293488372093023,0.0605095541401274,0.446256539779903,0.735527279994671,232283.776330702
"Bahamas",0.803291033536631,0.648693093301021,0.548465188341241,0.839036035011936,0.63333773609827,0.961169198395476,0.994488934814432,1190368.28449758
"Bahrain",0.442293644996348,0.013595166163142,0,0.0128410914927769,0.00350262697022767,0.684309511015583,0.814020523463623,67330.6394385309
"Baker Island",NA,1,NA,NA,NA,NA,NA,165.660272720406
"Bangladesh",0.105882067021262,0.00188277190729173,0,0.0594233614587915,2.45937925267662e-05,0.17778430366667,0.296820129675622,13982509.5320155
"Barbados",0.148583645109567,0,0,0.0123456790123457,0,0.10530205061888,0.602881024364218,43302.1301977657
"Bassas da India",NA,NA,NA,NA,NA,NA,NA,105.198733984057
"Belarus",0.399107456065158,0.00299839924169516,0.0492802333386453,0.289791973759994,0.0291763022772704,0.457846104266737,0.750765918068479,20758072.3748112
"Belgium",0.184456921724904,0,0,0.0578300584872182,0,0.376269875201042,0.654142701340371,3066906.39989669
"Belize",0.70971702630982,0.140909716803598,0.55458696554587,0.746176650510564,0.445210036114807,0.873099979956633,0.989942493055531,2176408.91103375
"Benin",0.0142383995182496,0,0.10064568408893,0.176901481449488,0.00611811064447555,0.579674030352777,0.835248599062945,11524722.4585678
"Bermuda",0.56993006993007,0,0,0,0,0.855813953488372,0.992462311557789,6319.67243699656
"Bhutan",0.9007251367061,0.27871192893401,0.060855306656793,0.74744557369009,0.24422568241935,0.960593407010348,0.999605508093248,3767388.02994031
"Bird Island",NA,NA,NA,NA,NA,NA,NA,4.69949678027252
"Bolivia",0.832174208758528,0.393163300536722,0.632566202403013,0.562942709374399,0.513197353811128,0.92550996551712,0.987742344019856,108446798.50217
"Bosnia and Herzegovina",0.479258016779553,3.91289887112868e-05,0,0.413602796763296,0,0.698240118360488,0.934892272805818,5114533.66763986
"Botswana",0.839162657877354,0.747136606340605,0.756889555353168,0.714963302436167,0.719727663624232,0.938976915507577,0.994640977081509,57825604.5683926
"Bouvet Island",NA,1,NA,NA,NA,NA,NA,4494.79452163974
"Brazil",0.636488843868397,0.415991634481099,0.557596342345883,0.440704664288476,0.421918675187984,0.74432863074392,0.94722496711307,848594508.570009
"British Indian Ocean Territory",0.576923076923077,0.604651162790698,NA,0,NA,0.462686567164179,0.568141592920354,4949.3338828505
"British Virgin Islands",0.518072289156627,0.00625,0,0.0731707317073171,0,0.830334190231362,0.999496475327291,15419.2718166146
"Brunei Darussalam",0.747059364691348,0.581379659301737,0.184815691579303,0.760685239660841,0.588480946580825,0.871096028421443,0.975263357134466,589893.426440497
"Bulgaria",0.318080398451614,0.00425428576568149,0.0167216266970969,0.309046161670284,0.0121346187107992,0.410508590600624,0.677615348202601,11130009.0609135
"Burkina Faso",0.0521183783824986,3.27645647591622e-05,0.0514440564527863,0.110849538659192,0.0122040811851007,0.278293840793098,0.565035784886352,27328036.8931642
"Burundi",0.0232685404756973,0.00043607532210109,0,0.0667760262462991,0,0.376789573727182,0.684741812041736,2685714.91500554
"Cambodia",0.382278002187399,0.124498348644223,0.309714122700665,0.431830673112514,0.235757005236665,0.545815597041297,0.706295700330797,18142387.0834107
"Cameroon",0.537364841763361,0.200401470632295,0.40545500148991,0.670466894336025,0.347175680850097,0.842334956169096,0.933873589796098,46536320.6025788
"Canada",0.918027964272031,0.896745027030548,0.930130887279816,0.873619082391415,0.888601139160573,0.932645914467025,0.959581511749192,987564919.895616
"Cape Verde",0.818349909496098,0.00127194098193844,0.0316765387586917,0.379474272930649,0.0311771561771562,0.927978460848104,0.997448049580751,405634.067508393
"Cayman Islands",0.755767456167333,0,0,0.194029850746269,0,0.778601694915254,0.989413447782546,26854.4100206787
"Central African Republic",0.743497741684502,0.478045416639938,0.737015949165343,0.796833633294213,0.643263501177785,0.978881497914474,0.996871356388485,61959092.509437
"Chad",0.610536722825367,0.547504081512225,0.575068898347311,0.572233671990678,0.542524533384645,0.811511493326817,0.915501631827084,126485290.466468
"Chile",0.733066352129214,0.577502285268194,0.617748256411378,0.737206276670416,0.59885858464496,0.926270636878672,0.996205161299527,75339235.3009321
"China",0.603147793160996,0.34538232160044,0.314742550844124,0.416630220504008,0.328768710406408,0.690427852750984,0.854024528932281,934519413.974396
"China/India",0.980282615839632,0.362224731789949,0.463172804532578,0.762635379061372,0.388185654008439,0.968541647103014,1,352636.341633158
"Christmas Island",0.831415420023015,0.222222222222222,0,0.747663551401869,0.15,0.457142857142857,0.999431171786121,13579.2087752454
"Clipperton Island",1,NA,NA,NA,NA,NA,NA,885.973764672631
"Cocos (Keeling) Islands",0.541666666666667,0.5,0,NA,NA,0,0.514285714285714,1577.08125378113
"Colombia",0.680210417506915,0.401103193662542,0.499084125838313,0.548553968567189,0.459895821308503,0.873765154463029,0.979263065234567,113793913.872707
"Comoros",0.575884404583956,0,0,0.396402398401066,0,0.870638427548377,0.985459290674372,165164.547609308
"Congo",0.696819873899959,0.381019449249614,0.761088236066569,0.87207304068881,0.666533931526366,0.898407267850722,0.992393553971231,34059922.5974533
"Cook Islands",0.573560767590618,0.0686695278969957,0.0810810810810811,0.440944881889764,0,0.57349537037037,0.998024366150807,24145.0051021038
"Costa Rica",0.520910613580835,0.0531044159488639,0.0447227191413238,0.314675093817895,0.0582643546210702,0.719620886849589,0.985069715417394,5104219.63975506
"Côte d'Ivoire",0.0417291594878228,0.0283729261051992,0.0341742835968379,0.317125354643612,0.0092789811314836,0.470954555222612,0.667011537301416,32176242.7667616
"Croatia",0.364503090592339,0.00542997629912625,0.0626785714285714,0.375051967536106,0.0455766524734563,0.549945502658251,0.823232572283314,5658929.35560447
