Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2017","2017","PPP dollar per person per day","3.952","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2018","2018","PPP dollar per person per day","4.051","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2019","2019","PPP dollar per person per day","4.117","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2020","2020","PPP dollar per person per day","4.197","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2017","2017","%","37.8","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2018","2018","%","27.9","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2019","2019","%","19.8","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2020","2020","%","20.1","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2017","2017","PPP dollar per person per day","3.763","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2018","2018","PPP dollar per person per day","3.822","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2019","2019","PPP dollar per person per day","3.796","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2020","2020","PPP dollar per person per day","3.76","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2017","2017","%","35.2","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2018","2018","%","33.9","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2019","2019","%","31.8","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2020","2020","%","30.2","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2017","2017","PPP dollar per person per day","4.327","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2018","2018","PPP dollar per person per day","4.293","E","Estimated value"
