Action Area,Theme
1: Nourish All People,Achieving Zero Hunger
1: Nourish All People,Different Forms of Malnutrition
1: Nourish All People,Family Farming
1: Nourish All People,Food Loss and Waste
1: Nourish All People,Food quality and safety
1: Nourish All People,Healthy Diets from Sustainable Food Systems for Children & All
1: Nourish All People,School Meals: Nutrition and Health and Education for Every Child
1: Nourish All People,Social Protection for Food Systems Transformation
1: Nourish All People,Sustainable Consumption
1: Nourish All People,The True Value of Food
2: Boost Nature-Based Solutions of Production,Agrobiodiversity
2: Boost Nature-Based Solutions of Production,Agroecology
2: Boost Nature-Based Solutions of Production,Aquatic / Blue Foods
2: Boost Nature-Based Solutions of Production,Halting Deforestation & Conversion from Agricultural Commodities
2: Boost Nature-Based Solutions of Production,Land
2: Boost Nature-Based Solutions of Production,Nature-Positive Innovation
2: Boost Nature-Based Solutions of Production,Restoring grasslands and shrublands and savannahs
2: Boost Nature-Based Solutions of Production,Soil Health
2: Boost Nature-Based Solutions of Production,Sustainable Livestock
2: Boost Nature-Based Solutions of Production,Sustainable Productivity Growth
2: Boost Nature-Based Solutions of Production,Water
3: Advance Equitable Livelihoods and Decent Work and Empowered Communities,Decent Work and Living Incomes and Wages for All Food Systems Workers
3: Advance Equitable Livelihoods and Decent Work and Empowered Communities,Equitable Livelihoods
3: Advance Equitable Livelihoods and Decent Work and Empowered Communities,Food Systems for Women and Girls
3: Advance Equitable Livelihoods and Decent Work and Empowered Communities,Indigenous Peoples Food Systems
3: Advance Equitable Livelihoods and Decent Work and Empowered Communities,Urban Food Systems
3: Advance Equitable Livelihoods and Decent Work and Empowered Communities,Vulnerable Peoples Food Systems
3: Advance Equitable Livelihoods and Decent Work and Empowered Communities,Youth Food Systems
4: Build Resilience to Vulnerabilities and Shocks and Stresses,Climate and disasters Resilient Development Pathways (CRDP)
4: Build Resilience to Vulnerabilities and Shocks and Stresses,Resilience to Health Crises
4: Build Resilience to Vulnerabilities and Shocks and Stresses,Resilience to Stress and Vulnerabilities
4: Build Resilience to Vulnerabilities and Shocks and Stresses,Resilience to shocks and violent conflicts and food crisis
4: Build Resilience to Vulnerabilities and Shocks and Stresses,Resilient Food Supply Chains
