DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),F: Female,2020,5.1,,PCNT: %,RA: Reanalysed,F: Free,,,,These estimates differ from published national estimates of child labour from the same source due to different treatment of economic activities and different hourly thresholds.,,"IELFS 2020, UNICEF and ILO calculations",,,EOF: End of fieldwork,,2020,Y5T17: 5 to 17 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,2020,12.6,,PCNT: %,RA: Reanalysed,F: Free,,,,These estimates differ from published national estimates of child labour from the same source due to different treatment of economic activities and different hourly thresholds.,,"IELFS 2020, UNICEF and ILO calculations",,,EOF: End of fieldwork,,2020,Y5T17: 5 to 17 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),_T: Total,2020,9,,PCNT: %,RA: Reanalysed,F: Free,,,,These estimates differ from published national estimates of child labour from the same source due to different treatment of economic activities and different hourly thresholds.,,"IELFS 2020, UNICEF and ILO calculations",,,EOF: End of fieldwork,,2020,Y5T17: 5 to 17 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),F: Female,2010,2.1,,PCNT: %,RA: Reanalysed,F: Free,,,,,,"CLS 2010, UNICEF and ILO calculations",,,EOF: End of fieldwork,,2010,Y5T17: 5 to 17 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,2010,3.4,,PCNT: %,RA: Reanalysed,F: Free,,,,,,"CLS 2010, UNICEF and ILO calculations",,,EOF: End of fieldwork,,2010,Y5T17: 5 to 17 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),_T: Total,2010,2.8,,PCNT: %,RA: Reanalysed,F: Free,,,,,,"CLS 2010, UNICEF and ILO calculations",,,EOF: End of fieldwork,,2010,Y5T17: 5 to 17 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),F: Female,2019,1.3,,PCNT: %,RP: Reported,F: Free,,,,,,MICS 2018-19,,,EOF: End of fieldwork,,2018-19,Y5T17: 5 to 17 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,2019,2.5,,PCNT: %,RP: Reported,F: Free,,,,,,MICS 2018-19,,,EOF: End of fieldwork,,2018-19,Y5T17: 5 to 17 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),_T: Total,2019,1.9,,PCNT: %,RP: Reported,F: Free,,,,,,MICS 2018-19,,,EOF: End of fieldwork,,2018-19,Y5T17: 5 to 17 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),F: Female,2016,10.4,,PCNT: %,RA: Reanalysed,F: Free,,,,,,"DHS 2015-16, UNICEF and ILO calculations",,,EOF: End of fieldwork,,2015-16,Y5T17: 5 to 17 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,2016,8.9,,PCNT: %,RA: Reanalysed,F: Free,,,,,,"DHS 2015-16, UNICEF and ILO calculations",,,EOF: End of fieldwork,,2015-16,Y5T17: 5 to 17 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),_T: Total,2016,9.7,,PCNT: %,RA: Reanalysed,F: Free,,,,,,"DHS 2015-16, UNICEF and ILO calculations",,,EOF: End of fieldwork,,2015-16,Y5T17: 5 to 17 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),F: Female,2015,2.7,,PCNT: %,RA: Reanalysed,F: Free,,,,,,"CLS 2015, UNICEF and ILO calculations",,,EOF: End of fieldwork,,2015,Y5T17: 5 to 17 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,2015,4.9,,PCNT: %,RA: Reanalysed,F: Free,,,,,,"CLS 2015, UNICEF and ILO calculations",,,EOF: End of fieldwork,,2015,Y5T17: 5 to 17 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),_T: Total,2015,3.9,,PCNT: %,RA: Reanalysed,F: Free,,,,,,"CLS 2015, UNICEF and ILO calculations",,,EOF: End of fieldwork,,2015,Y5T17: 5 to 17 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),F: Female,2019,3,,PCNT: %,RA: Reanalysed,F: Free,,,,,,"MICS 2019, UNICEF and ILO calculations",,,EOF: End of fieldwork,,2019,Y5T17: 5 to 17 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,2019,8.7,,PCNT: %,RA: Reanalysed,F: Free,,,,,,"MICS 2019, UNICEF and ILO calculations",,,EOF: End of fieldwork,,2019,Y5T17: 5 to 17 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),_T: Total,2019,5.9,,PCNT: %,RA: Reanalysed,F: Free,,,,,,"MICS 2019, UNICEF and ILO calculations",,,EOF: End of fieldwork,,2019,Y5T17: 5 to 17 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BRB: Barbados,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),F: Female,2012,0.8,,PCNT: %,RA: Reanalysed,F: Free,,,,,,"MICS 2012, UNICEF and ILO calculations",,,EOF: End of fieldwork,,2012,Y5T14: 5 to 14 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BRB: Barbados,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,2012,1.7,,PCNT: %,RA: Reanalysed,F: Free,,,,,,"MICS 2012, UNICEF and ILO calculations",,,EOF: End of fieldwork,,2012,Y5T14: 5 to 14 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BRB: Barbados,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),_T: Total,2012,1.2,,PCNT: %,RA: Reanalysed,F: Free,,,,,,"MICS 2012, UNICEF and ILO calculations",,,EOF: End of fieldwork,,2012,Y5T14: 5 to 14 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BLR: Belarus,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),F: Female,2019,3.4,,PCNT: %,RP: Reported,F: Free,,,,,,MICS 2019,,,EOF: End of fieldwork,,2019,Y5T17: 5 to 17 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BLR: Belarus,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,2019,4.6,,PCNT: %,RP: Reported,F: Free,,,,,,MICS 2019,,,EOF: End of fieldwork,,2019,Y5T17: 5 to 17 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BLR: Belarus,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),_T: Total,2019,4,,PCNT: %,RP: Reported,F: Free,,,,,,MICS 2019,,,EOF: End of fieldwork,,2019,Y5T17: 5 to 17 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BLZ: Belize,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),F: Female,2013,1.2,,PCNT: %,RA: Reanalysed,F: Free,,,,,,"CAS 2013, UNICEF and ILO calculations",,,EOF: End of fieldwork,,2013,Y5T17: 5 to 17 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BLZ: Belize,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,2013,3.2,,PCNT: %,RA: Reanalysed,F: Free,,,,,,"CAS 2013, UNICEF and ILO calculations",,,EOF: End of fieldwork,,2013,Y5T17: 5 to 17 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BLZ: Belize,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),_T: Total,2013,2.2,,PCNT: %,RA: Reanalysed,F: Free,,,,,,"CAS 2013, UNICEF and ILO calculations",,,EOF: End of fieldwork,,2013,Y5T17: 5 to 17 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BEN: Benin,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),F: Female,2018,16.1,,PCNT: %,RA: Reanalysed,F: Free,,,,,,"DHS 2017-18, UNICEF and ILO calculations",,,EOF: End of fieldwork,,2017-18,Y5T17: 5 to 17 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BEN: Benin,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,2018,17.9,,PCNT: %,RA: Reanalysed,F: Free,,,,,,"DHS 2017-18, UNICEF and ILO calculations",,,EOF: End of fieldwork,,2017-18,Y5T17: 5 to 17 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BEN: Benin,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),_T: Total,2018,17,,PCNT: %,RA: Reanalysed,F: Free,,,,,,"DHS 2017-18, UNICEF and ILO calculations",,,EOF: End of fieldwork,,2017-18,Y5T17: 5 to 17 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BTN: Bhutan,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),F: Female,2010,1.7,,PCNT: %,RA: Reanalysed,F: Free,,,,,,"MICS 2010, UNICEF and ILO calculations",,,EOF: End of fieldwork,,2010,Y5T14: 5 to 14 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BTN: Bhutan,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,2010,1.6,,PCNT: %,RA: Reanalysed,F: Free,,,,,,"MICS 2010, UNICEF and ILO calculations",,,EOF: End of fieldwork,,2010,Y5T14: 5 to 14 years old
