"","country","Country_Urban_Pop","Country_Total_Pop"
"1","Aruba",6740,119367
"2","Afghanistan",27198491,32756601
"3","Angola",23286921,32560149
"4","Åland",0,29619
"5","Albania",2297555,3077113
"6","Andorra",910,77210
"7","United Arab Emirates",9243336,10010697
"8","Argentina",38655292,45667665
"9","Armenia",2638194,3044102
"10","American Samoa",42566,47392
"13","Antigua and Barbuda",85729,98159
"14","Australia",22584502,25466430
"15","Austria",6192205,8909538
"16","Azerbaijan",8693033,10267199
"17","Burundi",2636354,11913826
"18","Belgium",10075749,11840879
"19","Benin",11362856,12991002
"20","Bonaire, Saint Eustatius and Saba",19871,25040
"21","Burkina Faso",12920420,20937128
"22","Bangladesh",78540021,164633221
"23","Bulgaria",5306664,6980073
"24","Bahrain",1444720,1454440
"25","Bahamas",331132,335494
"26","Bosnia and Herzegovina",2446462,3860637
"27","Belarus",6397602,9489668
"28","Belize",287645,407074
"29","Bolivia",8365148,11621438
"30","Brazil",183459205,211832382
"31","Barbados",57257,294542
"32","Brunei",422895,465656
"33","Bhutan",425672,806505
"34","Botswana",1576782,2335028
"35","Central African Republic",4199777,6113644
"36","Canada",30896661,37561336
"37","Switzerland",7090162,8585067
"38","Chile",15792340,18188428
"39","China",1242153186,1393690114
"40","Côte d'Ivoire",23875586,27531039
"41","Cameroon",23492708,28178282
"42","Democratic Republic of the Congo",91005615,102053656
"43","Congo",4964457,5528488
"44","Cook Islands",3419,8564
"45","Colombia",38902610,49120981
"46","Comoros",835044,846281
"47","Cabo Verde",540946,583245
"48","Costa Rica",4077918,5116263
"49","Cuba",9305952,11054899
"50","Curaçao",144542,151345
"51","Cayman Islands",56613,61303
"52","Cyprus",700996,861207
"53","Czech Republic",7482024,10766574
"54","Germany",66303397,80384375
"55","Djibouti",830096,922910
"56","Dominica",55611,74243
"57","Denmark",4922563,5870506
"58","Dominican Republic",9316445,10501102
"59","Algeria",34916668,42990867
"60","Ecuador",13494701,16935405
"61","Egypt",103277364,104199895
"62","Eritrea",4944241,6093532
"63","Western Sahara",584494,653448
"64","Spain",43634214,50027542
"65","Estonia",808944,1231256
"66","Ethiopia",89924410,108354526
"67","Finland",3176253,5535874
"68","Fiji",726035.000000001,935762
"69","Falkland Islands",0,3198
"70","France",47936457,65849938
"71","Faroe Islands",36703,51339
"72","Micronesia",93968,102060
"73","Gabon",2061293,2263880
"74","United Kingdom",57495491,65757676
"75","Georgia",2848378,4022503
"76","Ghana",25230934,29421748
"77","Guinea",9313898,12588586
"78","Guadeloupe",362008,382850
"79","Gambia",1973267,2202577
"80","Guinea-Bissau",1534021,1924926
"81","Equatorial Guinea",578058,839006
"82","Greece",9042693,10620379
"83","Grenada",104297,113094
"84","Greenland",46610.0000000011,56295
"85","Guatemala",14488293,17204795
"86","French Guiana",250969,310022
"87","Guam",160522,168489
"88","Guyana",576059,732887
"89","Hong Kong",5491383,7523125
"91","Honduras",6923287,9300733
"92","Croatia",2927186,4272460
"93","Haiti",10264774,11114097
"94","Hungary",7661577,9809781
"95","Indonesia",263596118,266962821
"96","Isle of Man",73702,90498
"97","India",1231972077,1327865131
"98","Ireland",3236923,5199681
"99","Iran",74480027,84927676
"100","Iraq",35654025,38909785
"101","Iceland",279706,349959
"102","Israel",8834522,8966199
"103","Italy",52747896,62452932
"104","Jamaica",2350892,2808381
"105","Jersey",90494,101073
"106","Jordan",10229101,10842163
"107","Japan",119958953,125430059
"108","Kazakhstan",15320012,19145704
"109","Kenya",46435855,53736801
"110","Kyrgyzstan",4872769,5985543
"111","Cambodia",13743731,17021801
"112","Kiribati",110032,111776
"113","Saint Kitts and Nevis",50132,53816
"114","South Korea",49731766,51764161
"115","Kuwait",2778771,3006013
"116","Laos",4710316,7623541
"117","Lebanon",6138454,6344082
"118","Liberia",4134161,5112862
"119","Libya",5117037,6891081
"120","Saint Lucia",149904,166487
"121","Liechtenstein",40052,44560
