"","country","Country_Urban_Pop","Country_Total_Pop"
"1","Albania",2297550,3077020
"2","Algeria",34915503,42989434
"3","Angola",23254033,32526398
"4","Argentina",38654834,45667302
"5","Australia",22584502,25466430
"6","Austria",6192205,8909538
"7","Belgium",10075749,11840879
"8","Bolivia",8365148,11621576
"9","Brazil",183461326,211835038
"10","Burkina Faso",12892117,20906721
"11","Cameroon",23492708,28178282
"12","Canada",30896661,37561361
"13","Cape Verde",540946,583245
"14","Chad",12386423,17074452
"15","China",1249849091,1401382052
"16","Colombia",38884941,49106047
"17","Congo",4964457,5528488
"18","Costa Rica",4079035,5118181
"19","Côte d'Ivoire",23875586,27531039
"20","Croatia",2927186,4272460
"21","Denmark",4922563,5870506
"22","Ecuador",13497530,16941566
"23","El Salvador",5562078,6480120
"24","Ethiopia",89923971,108353302
"25","France",47936457,65849946
"26","Gambia",1973267,2202577
"27","Germany",66303397,80384375
"28","Ghana",25213527,29403344
"29","Greece",9042693,10620383
"30","Guatemala",14488293,17204795
"31","Honduras",6923287,9300733
"32","India",1231971817,1327864871
"33","Indonesia",263596118,266962821
"34","Israel",8834522,8966199
"35","Italy",52747896,62452932
"36","Japan",119958953,125430059
"37","Kazakhstan",15320012,19145704
"38","Kenya",46435855,53736801
"39","Kyrgyzstan",4872769,5985543
"40","Latvia",1190918,1886624
"41","Madagascar",17152872,26955737
"42","Mali",15501529,19611836
"43","Mauritania",3280417,4199934
"44","Mexico",112164400,128723060
"45","Moldova",2586580,3418022
"46","Mongolia",2266369,3174046
"47","Mozambique",18726483,30373583
"48","Namibia",1510577,2663119
"49","Netherlands",15542790,17309309
"50","New Zealand",4632406,4925161
"51","Niger",17218071,22947222
"52","Palestine",4810171,5010902
"53","Peru",24333935,31971515
"54","Poland",26173267,38320377
"55","Portugal",8457083,10313396
"56","Romania",15564117,21388962
"57","Russia",110935550,141598346
"58","Senegal",14262887,15888319
"59","Slovenia",1337574,2106681
"60","Somalia",7243908,11789646
"61","South Africa",48236831,56581911
"62","South Korea",49749201,51781600
"63","Spain",43634214,50027542
"64","Sri Lanka",20897703,22888776
"65","Switzerland",7090162,8585067
"66","Tanzania",40673113,58698028
"67","Thailand",52970830,69334637
"68","Tunisia",8782590,11718939
"69","Turkey",66835123,82323804
"70","United Arab Emirates",9243734,10011083
"71","United Kingdom",57500041,65762033
"72","United States",274335800,330305899
"73","Zambia",10573012,17626186
