date,country,country_name,dataType,fcs_people,fcs_prevalence,rcsi_people,rcsi_prevalence
13/06/21,AFG,Afghanistan,SURVEY,33852918,0.837697617,4707605,0.116490667
13/06/21,DZA,Algeria,PREDICTION,4216847,0.099858015,,
13/06/21,AGO,Angola,SURVEY,7138564,0.229331754,15019326,0.482507174
13/06/21,ARM,Armenia,PREDICTION,387627,0.13131988,,
13/06/21,BGD,Bangladesh,PREDICTION,34935982,0.21651487,,
13/06/21,BEN,Benin,SURVEY,4143607,0.360782764,4303946,0.374743441
13/06/21,BTN,Bhutan,PREDICTION,210771,0.279391511,,
13/06/21,BOL,Bolivia,PREDICTION,1868439,0.164574617,,
13/06/21,BWA,Botswana,PREDICTION,327868,0.145452384,,
13/06/21,BFA,Burkina Faso,SURVEY,11923831,0.603691603,3574317,0.180964088
13/06/21,BDI,Burundi,PREDICTION,4079716,0.365062942,3830716,0.342781814
13/06/21,KHM,Cambodia,PREDICTION,3706220,0.228077926,,
13/06/21,CMR,Cameroon,SURVEY,6625484,0.262746772,7060888,0.280013647
13/06/21,CPV,Cape Verde,PREDICTION,83284,0.153161189,,
13/06/21,CAF,Central African Republic,MIXED,2393908,0.513012019,2584455,0.553846045
13/06/21,TCD,Chad,SURVEY,1833173,0.114954966,2576481,0.161566466
13/06/21,COL,Colombia,SURVEY,10207986,0.205604354,26318523,0.530095056
13/06/21,COM,Comoros,PREDICTION,263631,0.316741598,,
13/06/21,COG,Congo,MIXED,555807,0.104267871,1150876,0.381769805
13/06/21,CIV,Côte d'Ivoire,SURVEY,3764503,0.150164324,5884775,0.23474103
13/06/21,COD,Democratic Republic of the Congo,SURVEY,40981306,0.386904466,52850812,0.498964494
13/06/21,DJI,Djibouti,PREDICTION,374275,0.390308889,,
13/06/21,DOM,Dominican Republic,PREDICTION,2088522,0.196526787,4333589,0.407784223
13/06/21,ECU,Ecuador,PREDICTION,1542074,0.090262338,,
13/06/21,SLV,El Salvador,SURVEY,845751,0.131721658,850691,0.132491016
13/06/21,ETH,Ethiopia,SURVEY,11641740,0.115144535,16624272,0.164425068
13/06/21,GMB,Gambia,PREDICTION,493255,0.216330329,,
13/06/21,GHA,Ghana,PREDICTION,5674937,0.190644547,,
13/06/21,GTM,Guatemala,SURVEY,1725354,0.100033233,3549557,0.205797571
13/06/21,GNB,Guinea-Bissau,PREDICTION,710733,0.379197145,615996,0.328652144
13/06/21,GIN,Guinea,SURVEY,5831860,0.469768972,2954418,0.237984748
13/06/21,HND,Honduras,SURVEY,1176943,0.122757788,3372134,0.351721086
13/06/21,IND,India,PREDICTION,238681855,0.176459262,,
13/06/21,IRN,Iran  (Islamic Republic of),PREDICTION,8410239,0.102814321,,
13/06/21,IRQ,Iraq,SURVEY,1949014,0.050711205,2952592,0.076823207
13/06/21,JOR,Jordan,PREDICTION,1606584,0.161368243,,
13/06/21,KEN,Kenya,SURVEY,7352969,0.143073337,14611283,0.284304875
13/06/21,KGZ,Kyrgyzstan,PREDICTION,1521695,0.230853627,,
13/06/21,LAO,Lao People's Democratic Republic,PREDICTION,1257961,0.178143469,,
13/06/21,LBN,Lebanon,PREDICTION,1492802,0.217961537,,
13/06/21,LSO,Lesotho,PREDICTION,1053938,0.49993952,487597,0.231293501
13/06/21,LBR,Liberia,PREDICTION,1658854,0.363122984,,
13/06/21,LBY,Libya,PREDICTION,618229,0.09256911,,
13/06/21,MDG,Madagascar,SURVEY,6920670,0.263631415,11210324,0.427038638
13/06/21,MWI,Malawi,SURVEY,2604307,0.143540917,5195669,0.286368482
13/06/21,MLI,Mali,SURVEY,9455092,0.495610002,4490974,0.235404545
13/06/21,MDA,"Moldova, Republic of",PREDICTION,248906,0.070195754,,
13/06/21,MNG,Mongolia,PREDICTION,489796,0.154499739,,
13/06/21,MAR,Morocco,PREDICTION,4464399,0.123910788,,
13/06/21,MOZ,Mozambique,SURVEY,8195792,0.277861511,8587553,0.291143363
13/06/21,NAM,Namibia,SURVEY,530029,0.230448093,846663,0.368115468
13/06/21,NPL,Nepal,PREDICTION,7012390,0.249659008,,
13/06/21,NIC,Nicaragua,SURVEY,275627,0.045352015,1352934,0.222613517
13/06/21,NER,Niger,SURVEY,10294812,0.458710265,2441307,0.108778352
13/06/21,NGA,Nigeria,MIXED,51364128,0.253326642,79647422,0.39281914
13/06/21,PAK,Pakistan,PREDICTION,58767360,0.276923648,54258700,0.255677933
13/06/21,PER,Peru,PREDICTION,2837601,0.088704808,,
13/06/21,RWA,Rwanda,PREDICTION,2538117,0.206318451,,
13/06/21,STP,Sao Tome and Principe,PREDICTION,48515,0.229898402,,
13/06/21,SLE,Sierra Leone,SURVEY,3573722,0.434669367,3675349,0.447030189
13/06/21,SLB,Solomon Islands,PREDICTION,146796,0.224851002,,
13/06/21,SOM,Somalia,SURVEY,7433793,0.6035444,3451888,0.280256347
13/06/21,LKA,Sri Lanka,PREDICTION,3115410,0.143766043,,
13/06/21,SWZ,Eswatini,PREDICTION,340232,0.299449652,426070,0.37499857
13/06/21,SYR,Syrian Arab Republic,SURVEY,8175173,0.455002765,8402237,0.467640387
13/06/21,TJK,Tajikistan,PREDICTION,3017059,0.331514453,,
13/06/21,TLS,Timor-Leste,PREDICTION,244135,0.192539741,,
13/06/21,TGO,Togo,PREDICTION,2458816,0.311672758,,
13/06/21,TUN,Tunisia,PREDICTION,1353229,0.117008688,,
13/06/21,UGA,Uganda,PREDICTION,14558179,0.340756289,,
13/06/21,TZA,United Republic of Tanzania,SURVEY,5615920,0.099717446,9622599,0.170860869
13/06/21,UZB,Uzbekistan,PREDICTION,4477025,0.135851021,,
13/06/21,VNM,Viet Nam,PREDICTION,21922587,0.229458823,,
13/06/21,YEM,Yemen,SURVEY,11165160,0.371655251,14637642,0.487243936
13/06/21,ZMB,Zambia,SURVEY,3182809,0.183428005,4806182,0.27698438
13/06/21,ZWE,Zimbabwe,SURVEY,5157954,0.311489763,8455793,0.510646849
13/06/21,IDN,Indonesia,PREDICTION,27176473,0.101532258,,
13/06/21,MMR,Myanmar,PREDICTION,12341725,0.229791353,,
13/06/21,PNG,Papua New Guinea,PREDICTION,1879103,0.218339971,,
13/06/21,PHL,Philippines,PREDICTION,15197888,0.142499899,,
13/06/21,FJI,Fiji,PREDICTION,70420,0.07970725,,
13/06/21,VUT,Vanuatu,PREDICTION,48277,0.164948066,,
13/06/21,SEN,Senegal,PREDICTION,2620850,0.16530784,,
13/06/21,PSE,State of Palestine,PREDICTION,1008446,0.220710615,,
13/06/21,EGY,Egypt,PREDICTION,11653065,0.118397065,,
13/06/21,SSD,South Sudan,PREDICTION,6051017,0.551299249,5008279,0.456296925
13/06/21,CUB,Cuba,PREDICTION,1473612,0.129969477,,
14/06/21,AFG,Afghanistan,SURVEY,33865044,0.837997678,4738208,0.117247973
14/06/21,DZA,Algeria,PREDICTION,4215423,0.099824294,,
14/06/21,AGO,Angola,SURVEY,7126460,0.228942898,14959464,0.480584062
14/06/21,ARM,Armenia,PREDICTION,386792,0.131036999,,
14/06/21,BGD,Bangladesh,PREDICTION,34931923,0.216489714,,
14/06/21,BEN,Benin,SURVEY,4216101,0.367094797,4351550,0.378888326
14/06/21,BTN,Bhutan,PREDICTION,210771,0.279391511,,
14/06/21,BOL,Bolivia,PREDICTION,1868439,0.164574617,,
14/06/21,BWA,Botswana,PREDICTION,327868,0.145452384,,
14/06/21,BFA,Burkina Faso,SURVEY,11847372,0.599820561,3542828,0.179369835
14/06/21,BDI,Burundi,PREDICTION,4080123,0.365099361,3830716,0.342781814
14/06/21,KHM,Cambodia,PREDICTION,3706220,0.228077926,,
14/06/21,CMR,Cameroon,SURVEY,6542173,0.259442938,7084169,0.280936858
14/06/21,CPV,Cape Verde,PREDICTION,83284,0.153161189,,
14/06/21,CAF,Central African Republic,MIXED,2407661,0.515959273,2594406,0.555978534
14/06/21,TCD,Chad,SURVEY,1851463,0.116101909,2593497,0.162633507
