date,country,country_name,dataType,fcs_people,fcs_prevalence,rcsi_people,rcsi_prevalence
01/01/20,BFA,Burkina Faso,SURVEY,10889756,0.551337496,3077989,0.155835509
01/01/20,CMR,Cameroon,SURVEY,4486001,0.177901326,6377231,0.252901821
01/01/20,CAF,Central African Republic,SURVEY,981038,0.28352571,2164069,0.625428523
01/01/20,TCD,Chad,SURVEY,3294320,0.225595668,1584072,0.108477549
01/01/20,MLI,Mali,SURVEY,6697115,0.352273094,3164212,0.166439791
01/01/20,NER,Niger,SURVEY,9510052,0.423743384,7990148,0.356020383
01/01/20,NGA,Nigeria,SURVEY,4449630,0.293282797,1230981,0.081136086
01/01/20,SYR,Syrian Arab Republic,SURVEY,6150055,0.342291476,6696000,0.372676947
01/01/20,YEM,Yemen,SURVEY,10540280,0.350854838,16252348,0.540992737
02/01/20,BFA,Burkina Faso,SURVEY,10897325,0.551720707,3080379,0.155956499
02/01/20,CMR,Cameroon,SURVEY,4395273,0.174303324,6352372,0.251915988
02/01/20,CAF,Central African Republic,SURVEY,974356,0.281594572,2164717,0.625615799
02/01/20,TCD,Chad,SURVEY,3272997,0.224135448,1586187,0.108622379
02/01/20,MLI,Mali,SURVEY,6703215,0.352593915,3210374,0.168867945
02/01/20,NER,Niger,SURVEY,9518082,0.42410118,7983727,0.355734279
02/01/20,NGA,Nigeria,SURVEY,4447910,0.293169429,1196190,0.078842949
02/01/20,SYR,Syrian Arab Republic,SURVEY,6139494,0.341703686,6745076,0.375408353
02/01/20,YEM,Yemen,SURVEY,10491810,0.349241375,16232987,0.540348266
03/01/20,BFA,Burkina Faso,SURVEY,10971108,0.555456193,3103470,0.157125567
03/01/20,CMR,Cameroon,SURVEY,4424461,0.175460826,6351706,0.251889577
03/01/20,CAF,Central African Republic,SURVEY,954477,0.275849403,2163953,0.625394999
03/01/20,TCD,Chad,SURVEY,3225008,0.220849145,1568233,0.107392881
03/01/20,MLI,Mali,SURVEY,6731240,0.35406805,3285224,0.172805108
03/01/20,NER,Niger,SURVEY,9539719,0.425065269,8097856,0.360819573
03/01/20,NGA,Nigeria,SURVEY,4456051,0.293706017,1165705,0.076833671
03/01/20,SYR,Syrian Arab Republic,SURVEY,6121856,0.340722014,6764967,0.376515419
03/01/20,YEM,Yemen,SURVEY,10370643,0.345208123,16375692,0.545098495
04/01/20,BFA,Burkina Faso,SURVEY,10953948,0.554587446,3065284,0.155192267
04/01/20,CMR,Cameroon,SURVEY,4506111,0.178698834,6331531,0.251089497
04/01/20,CAF,Central African Republic,SURVEY,952245,0.275204342,2163543,0.625276427
04/01/20,TCD,Chad,SURVEY,3225008,0.220849145,1568233,0.107392881
04/01/20,MLI,Mali,SURVEY,6679168,0.351328965,3224735,0.169623344
04/01/20,NER,Niger,SURVEY,9473683,0.422122875,8176309,0.364315251
04/01/20,NGA,Nigeria,SURVEY,4571082,0.301287909,1114558,0.07346244
04/01/20,SYR,Syrian Arab Republic,SURVEY,6147526,0.34215072,6787878,0.377790569
04/01/20,YEM,Yemen,SURVEY,10400344,0.346196781,16493516,0.549020509
05/01/20,BFA,Burkina Faso,SURVEY,11046300,0.559263089,3083284,0.156103592
05/01/20,CMR,Cameroon,SURVEY,4564818,0.181026985,6382833,0.253123967
05/01/20,CAF,Central African Republic,SURVEY,955157,0.276045926,2162861,0.625079404
05/01/20,TCD,Chad,SURVEY,3225008,0.220849145,1568233,0.107392881
05/01/20,MLI,Mali,SURVEY,6627586,0.348615715,3238602,0.170352758
05/01/20,NER,Niger,SURVEY,9485145,0.422633592,8184643,0.364686593
05/01/20,NGA,Nigeria,SURVEY,4605144,0.303532994,1069356,0.07048311
05/01/20,SYR,Syrian Arab Republic,SURVEY,6139664,0.341713147,6811661,0.379114251
05/01/20,YEM,Yemen,SURVEY,10592803,0.352603174,16607899,0.552827919
06/01/20,BFA,Burkina Faso,SURVEY,11238367,0.568987248,3007549,0.152269186
06/01/20,CMR,Cameroon,SURVEY,4488522,0.178001293,6248664,0.24780324
06/01/20,CAF,Central African Republic,SURVEY,950218,0.274618527,2162030,0.624839321
06/01/20,TCD,Chad,SURVEY,3177928,0.217625098,1557385,0.106650013
06/01/20,MLI,Mali,SURVEY,6604256,0.347388541,3222327,0.169496681
06/01/20,NER,Niger,SURVEY,9624617,0.428848105,8287622,0.369275057
06/01/20,NGA,Nigeria,SURVEY,4532628,0.298753339,1048648,0.069118207
06/01/20,SYR,Syrian Arab Republic,SURVEY,6155194,0.342577495,6803010,0.378632684
06/01/20,YEM,Yemen,SURVEY,10470250,0.348523746,16598558,0.552517047
07/01/20,BFA,Burkina Faso,SURVEY,11329786,0.573615701,2981289,0.150939683
07/01/20,CMR,Cameroon,SURVEY,4496880,0.178332745,6222946,0.246783342
07/01/20,CAF,Central African Republic,SURVEY,941357,0.272057646,2149928,0.621341692
07/01/20,TCD,Chad,SURVEY,3148631,0.215618825,1537417,0.105282597
07/01/20,MLI,Mali,SURVEY,6686345,0.35170648,3001580,0.157885243
07/01/20,NER,Niger,SURVEY,9650485,0.430000716,8294522,0.369582503
07/01/20,NGA,Nigeria,SURVEY,4521462,0.298017369,1060035,0.069868732
07/01/20,SYR,Syrian Arab Republic,SURVEY,6157369,0.342698548,6645507,0.369866676
07/01/20,YEM,Yemen,SURVEY,10360195,0.344860331,16689753,0.55555266
08/01/20,BFA,Burkina Faso,SURVEY,11246112,0.56937937,2846421,0.144111445
08/01/20,CMR,Cameroon,SURVEY,4540799,0.180074441,6319247,0.25060235
08/01/20,CAF,Central African Republic,SURVEY,930116,0.268808932,2146609,0.620382482
08/01/20,TCD,Chad,SURVEY,3124128,0.213940846,1530291,0.104794611
08/01/20,MLI,Mali,SURVEY,6725717,0.353777475,3056845,0.160792201
08/01/20,NER,Niger,SURVEY,9784838,0.435987139,8458203,0.376875706
08/01/20,NGA,Nigeria,SURVEY,4604406,0.303484351,1085150,0.071524106
08/01/20,SYR,Syrian Arab Republic,SURVEY,6309366,0.351158193,6761071,0.376298581
08/01/20,YEM,Yemen,SURVEY,10513803,0.349973497,16592645,0.552320221
09/01/20,BFA,Burkina Faso,SURVEY,11174759,0.565766839,2791849,0.141348528
09/01/20,CMR,Cameroon,SURVEY,4515450,0.179069184,6386458,0.253267698
09/01/20,CAF,Central African Republic,SURVEY,931127,0.269101117,2109016,0.609517886
09/01/20,TCD,Chad,SURVEY,3117928,0.213516276,1527422,0.104598145
09/01/20,MLI,Mali,SURVEY,6310278,0.345074991,2785911,0.152346402
09/01/20,NER,Niger,SURVEY,9855131,0.439119214,8503183,0.378879899
09/01/20,NGA,Nigeria,SURVEY,4627196,0.304986479,1115317,0.073512471
09/01/20,SYR,Syrian Arab Republic,SURVEY,6334539,0.352559238,6750379,0.375703492
09/01/20,YEM,Yemen,SURVEY,10745251,0.357677798,16708473,0.556175793
10/01/20,BFA,Burkina Faso,SURVEY,11138182,0.5639151,2722875,0.137856428
10/01/20,CMR,Cameroon,SURVEY,4550847,0.180472914,6556375,0.260006134
10/01/20,CAF,Central African Republic,SURVEY,941356,0.272057357,2096517,0.605905603
10/01/20,TCD,Chad,SURVEY,3110229,0.212989051,1516104,0.103823083
10/01/20,MLI,Mali,SURVEY,6326619,0.345968547,2740313,0.149852901
10/01/20,NER,Niger,SURVEY,9867443,0.439667805,8556541,0.381257393
10/01/20,NGA,Nigeria,SURVEY,4656351,0.306908136,1125731,0.074198873
10/01/20,SYR,Syrian Arab Republic,SURVEY,6396820,0.35602559,6723020,0.37418079
10/01/20,YEM,Yemen,SURVEY,10532700,0.35060252,16655028,0.554396767
11/01/20,BFA,Burkina Faso,SURVEY,11078916,0.560914404,2653296,0.134333713
11/01/20,CMR,Cameroon,SURVEY,4603317,0.182553707,6644874,0.263515739
11/01/20,CAF,Central African Republic,SURVEY,921252,0.266247184,2109578,0.609680308
11/01/20,TCD,Chad,SURVEY,3091933,0.211736154,1506577,0.103170669
11/01/20,MLI,Mali,SURVEY,6517691,0.356417286,2763449,0.1511181
11/01/20,NER,Niger,SURVEY,9950517,0.443369368,8552474,0.381076178
11/01/20,NGA,Nigeria,SURVEY,4602561,0.303362744,1183809,0.078026884
11/01/20,SYR,Syrian Arab Republic,SURVEY,6419180,0.357270096,6743270,0.375307837
11/01/20,YEM,Yemen,SURVEY,10772120,0.358572108,16795013,0.559056455
12/01/20,BFA,Burkina Faso,SURVEY,11044769,0.559185576,2595767,0.131421074
12/01/20,CMR,Cameroon,SURVEY,4568232,0.181162351,6714309,0.266269322
12/01/20,CAF,Central African Republic,SURVEY,869692,0.251346045,2051467,0.592885891
12/01/20,TCD,Chad,SURVEY,3078349,0.210805885,1493312,0.102262283
12/01/20,MLI,Mali,SURVEY,6590458,0.36039652,2823699,0.15441283
12/01/20,NER,Niger,SURVEY,9872903,0.439911088,8490247,0.378303504
12/01/20,NGA,Nigeria,SURVEY,4575983,0.301610942,1274101,0.083978181
12/01/20,SYR,Syrian Arab Republic,SURVEY,6499307,0.361729673,6805333,0.378762056
12/01/20,YEM,Yemen,SURVEY,10939647,0.36414861,16762457,0.557972761
13/01/20,BFA,Burkina Faso,SURVEY,11134457,0.563726389,2484864,0.125806163
13/01/20,CMR,Cameroon,SURVEY,4594017,0.182184907,6783167,0.269000023
13/01/20,CAF,Central African Republic,SURVEY,871353,0.251826121,2038605,0.589168698
13/01/20,TCD,Chad,SURVEY,3067586,0.210068857,1494133,0.102318503
13/01/20,MLI,Mali,SURVEY,6565585,0.35903635,2815378,0.1539578
13/01/20,NER,Niger,SURVEY,9962895,0.4439209,8632787,0.384654719
13/01/20,NGA,Nigeria,SURVEY,4594238,0.302814161,1301072,0.085755909
13/01/20,SYR,Syrian Arab Republic,SURVEY,6387805,0.355523845,6680770,0.371829296
13/01/20,YEM,Yemen,SURVEY,11220122,0.373484773,16723491,0.556675698
14/01/20,BFA,Burkina Faso,SURVEY,11169252,0.565488025,2490102,0.126071379
14/01/20,CMR,Cameroon,SURVEY,4591407,0.182081412,6924783,0.274616058
14/01/20,CAF,Central African Republic,SURVEY,877424,0.253580675,2046997,0.591594035
14/01/20,TCD,Chad,SURVEY,3093532,0.211845641,1493475,0.102273453
14/01/20,MLI,Mali,SURVEY,6704294,0.36662154,2763225,0.151105814
14/01/20,NER,Niger,SURVEY,9924499,0.442210073,8790998,0.391704193
14/01/20,NGA,Nigeria,SURVEY,4513783,0.297511233,1330199,0.087675721
14/01/20,SYR,Syrian Arab Republic,SURVEY,6535201,0.363727413,6741567,0.375213054
14/01/20,YEM,Yemen,SURVEY,11324064,0.376944696,16537715,0.550491763
15/01/20,BFA,Burkina Faso,SURVEY,11236290,0.568882139,2402224,0.121622196
15/01/20,CMR,Cameroon,SURVEY,4575155,0.181436908,6994779,0.27739192
15/01/20,CAF,Central African Republic,SURVEY,874558,0.252752385,2060532,0.595505804
15/01/20,TCD,Chad,SURVEY,3098468,0.212183656,1503089,0.102931821
15/01/20,MLI,Mali,SURVEY,6725027,0.367755249,2698011,0.147539639
15/01/20,NER,Niger,SURVEY,9849255,0.438857412,8768397,0.39069715
15/01/20,NGA,Nigeria,SURVEY,4610636,0.303894981,1348395,0.088875033
15/01/20,SYR,Syrian Arab Republic,SURVEY,6389318,0.355608053,6681584,0.371874601
15/01/20,YEM,Yemen,SURVEY,11484239,0.382276449,16550320,0.550911346
16/01/20,BFA,Burkina Faso,SURVEY,11281707,0.571181556,2374356,0.120211275
16/01/20,CMR,Cameroon,SURVEY,4413669,0.175032863,6959167,0.275979655
16/01/20,CAF,Central African Republic,SURVEY,880791,0.25455372,2065417,0.596917522
16/01/20,TCD,Chad,SURVEY,3083117,0.21113243,1483171,0.101567835
16/01/20,MLI,Mali,SURVEY,6770691,0.370252366,2677065,0.146394235
16/01/20,NER,Niger,SURVEY,9776834,0.435630529,8688895,0.387154704
16/01/20,NGA,Nigeria,SURVEY,4569297,0.301170256,1283535,0.084600013
16/01/20,SYR,Syrian Arab Republic,SURVEY,6528135,0.363334143,6744444,0.37537317
16/01/20,YEM,Yemen,SURVEY,11564752,0.38495649,16525842,0.550096546
17/01/20,BFA,Burkina Faso,SURVEY,11429950,0.578686947,2291960,0.116039618
17/01/20,CMR,Cameroon,SURVEY,4299713,0.170513673,6854108,0.27181333
17/01/20,CAF,Central African Republic,SURVEY,865738,0.250203316,2059250,0.595135223
17/01/20,TCD,Chad,SURVEY,3051548,0.208970577,1468176,0.100540969
17/01/20,MLI,Mali,SURVEY,6772139,0.370331549,2730213,0.149300593
17/01/20,NER,Niger,SURVEY,9697748,0.432106633,8687666,0.387099985
17/01/20,NGA,Nigeria,SURVEY,4627264,0.304990961,1302308,0.085837361
17/01/20,SYR,Syrian Arab Republic,SURVEY,6664562,0.370927213,6908140,0.384483949
17/01/20,YEM,Yemen,SURVEY,11655930,0.387991537,16617936,0.553162083
18/01/20,BFA,Burkina Faso,SURVEY,11438728,0.579131325,2164136,0.109568043
18/01/20,CMR,Cameroon,SURVEY,4297745,0.170435629,6991034,0.277243404
18/01/20,CAF,Central African Republic,SURVEY,876277,0.253249148,2054290,0.593701754
18/01/20,TCD,Chad,SURVEY,3068804,0.210152275,1477679,0.101191725
18/01/20,MLI,Mali,SURVEY,6857148,0.374980355,2828103,0.154653671
18/01/20,NER,Niger,SURVEY,9664146,0.430609415,8601564,0.383263502
18/01/20,NGA,Nigeria,SURVEY,4609955,0.303850095,1296045,0.085424551
18/01/20,SYR,Syrian Arab Republic,SURVEY,6476843,0.362622404,6902150,0.38643429
18/01/20,YEM,Yemen,SURVEY,11652346,0.387872223,16473386,0.54835044
19/01/20,BFA,Burkina Faso,SURVEY,11463727,0.580396999,2079809,0.105298648
19/01/20,CMR,Cameroon,SURVEY,4246036,0.168385054,6878264,0.272771243
19/01/20,CAF,Central African Republic,SURVEY,860168,0.248593553,2037735,0.588917263
19/01/20,TCD,Chad,SURVEY,3070911,0.210296559,1473869,0.100930816
19/01/20,MLI,Mali,SURVEY,6971391,0.381227745,2888679,0.157966249
19/01/20,NER,Niger,SURVEY,9953836,0.443517254,8544265,0.380710422
19/01/20,NGA,Nigeria,SURVEY,4644436,0.306122797,1320499,0.087036371
19/01/20,SYR,Syrian Arab Republic,SURVEY,6476843,0.362622404,6902150,0.38643429
19/01/20,YEM,Yemen,SURVEY,11873777,0.395243021,16411102,0.54627719
20/01/20,BFA,Burkina Faso,SURVEY,11356245,0.574955246,2025137,0.102530646
20/01/20,CMR,Cameroon,SURVEY,4193724,0.166310489,6958557,0.275955464
20/01/20,TCD,Chad,SURVEY,3071702,0.210350733,1528196,0.104651148
20/01/20,MLI,Mali,SURVEY,7060082,0.386077718,2942822,0.160927044
20/01/20,NER,Niger,SURVEY,10079048,0.449096378,8567965,0.381766417
20/01/20,NGA,Nigeria,SURVEY,4613501,0.304083917,1325531,0.087368062
20/01/20,SYR,Syrian Arab Republic,SURVEY,6519878,0.365031827,6964994,0.389952778
20/01/20,YEM,Yemen,SURVEY,11978884,0.39874171,16475861,0.548432826
21/01/20,BFA,Burkina Faso,SURVEY,11422873,0.578328602,1978225,0.100155535
21/01/20,CMR,Cameroon,SURVEY,4132261,0.163873073,7053418,0.279717366
21/01/20,TCD,Chad,SURVEY,3033438,0.20773041,1502447,0.102887862
21/01/20,MLI,Mali,SURVEY,7157875,0.391425488,2824714,0.154468342
21/01/20,NER,Niger,SURVEY,10144203,0.451999516,8519072,0.379587871
21/01/20,NGA,Nigeria,SURVEY,4582007,0.302007994,1305094,0.086020992
21/01/20,SYR,Syrian Arab Republic,SURVEY,6716310,0.376029569,6823037,0.382004949
21/01/20,YEM,Yemen,SURVEY,11936519,0.39733153,16458848,0.547866513
22/01/20,BFA,Burkina Faso,SURVEY,11472789,0.580855799,1999238,0.101219408
22/01/20,CMR,Cameroon,SURVEY,4150104,0.164580637,7169112,0.284305443
22/01/20,TCD,Chad,SURVEY,3006513,0.205886558,1453631,0.099544916
22/01/20,MLI,Mali,SURVEY,7215938,0.39460064,2843236,0.155481223
22/01/20,NER,Niger,SURVEY,10308587,0.459324043,8556100,0.381237744
22/01/20,NGA,Nigeria,SURVEY,4607387,0.303680834,1284982,0.08469537
22/01/20,SYR,Syrian Arab Republic,SURVEY,6733125,0.376970999,6741361,0.377432112
22/01/20,YEM,Yemen,SURVEY,11885023,0.395617354,16369327,0.544886623
23/01/20,BFA,Burkina Faso,SURVEY,11530920,0.583798913,1973395,0.09991103
23/01/20,CMR,Cameroon,SURVEY,4036571,0.160078269,7284075,0.288864509
23/01/20,TCD,Chad,SURVEY,3034987,0.207836478,1419978,0.097240351
23/01/20,MLI,Mali,SURVEY,7206482,0.394083543,2915286,0.159421249
23/01/20,NER,Niger,SURVEY,10280792,0.45808557,8577448,0.382188955
23/01/20,NGA,Nigeria,SURVEY,4534295,0.298863214,1303045,0.08588593
23/01/20,SYR,Syrian Arab Republic,SURVEY,6751227,0.377984485,6776459,0.379397162
23/01/20,YEM,Yemen,SURVEY,11947302,0.397690451,16400531,0.545925312
