COUNTRY,YEAR,OPEN_BUDGET_INDEX,RANK
AF,2008,8,71
AF,2010,21,72
AF,2012,59,26
AL,2006,25,49
AL,2008,37,49
AL,2010,33,64
AL,2012,47,52
AO,2006,5,58
AO,2008,4,76
AO,2010,26,70
AO,2012,28,73
AR,2006,40,37
AR,2008,56,25
AR,2010,56,30
AR,2012,50,40
AZ,2006,30,45
AZ,2008,37,50
AZ,2010,43,52
AZ,2012,42,58
BA,2008,44,40
BA,2010,44,51
BA,2012,50,43
BD,2006,39,38
BD,2008,42,44
BD,2010,48,46
BD,2012,58,28
BF,2006,11,56
BF,2008,14,63
BF,2010,5,84
BF,2012,23,74
BG,2006,47,28
BG,2008,57,24
BG,2010,56,31
BG,2012,65,17
BJ,2012,1,96
BO,2006,21,50
BO,2008,7,74
BO,2010,13,78
BO,2012,12,84
BR,2006,74,9
BR,2008,74,8
BR,2010,71,9
BR,2012,73,12
BW,2006,65,14
BW,2008,62,15
BW,2010,51,39
BW,2012,50,45
CD,2008,1,82
CD,2010,6,83
CD,2012,18,78
CL,2010,72,8
CL,2012,66,16
CM,2006,29,46
CM,2008,5,75
CM,2010,2,87
CM,2012,10,88
CN,2008,14,64
CN,2010,13,79
CN,2012,11,86
CO,2006,57,16
CO,2008,61,18
CO,2010,61,20
CO,2012,58,27
CR,2006,45,30
CR,2008,45,39
CR,2010,47,48
CR,2012,50,41
CZ,2006,61,15
CZ,2008,62,16
CZ,2010,62,18
CZ,2012,75,9
DE,2008,64,14
DE,2010,68,12
DE,2012,71,13
DO,2008,12,66
DO,2010,14,76
DO,2012,29,71
DZ,2006,28,47
DZ,2008,2,79
DZ,2010,1,89
DZ,2012,13,83
EC,2006,32,44
EC,2008,39,46
EC,2010,31,67
EC,2012,31,70
EG,2006,19,54
EG,2008,43,43
EG,2010,49,44
EG,2012,13,82
ES,2010,63,17
ES,2012,63,19
FJ,2008,13,65
FJ,2010,0,92
FJ,2012,6,91
FR,2006,89,1
FR,2008,87,3
FR,2010,87,4
FR,2012,83,6
GB,2006,88,2
GB,2008,88,1
GB,2010,87,3
GB,2012,88,3
GE,2006,34,42
GE,2008,53,30
GE,2010,55,34
GE,2012,55,33
GH,2006,42,33
GH,2008,50,33
GH,2010,54,35
GH,2012,50,44
GQ,2008,0,85
GQ,2010,0,92
GQ,2012,0,98
GT,2006,46,29
GT,2008,46,37
GT,2010,50,41
GT,2012,51,39
HN,2006,38,39
HN,2008,12,67
HN,2010,11,80
HN,2012,53,36
HR,2006,42,32
HR,2008,59,21
HR,2010,57,27
HR,2012,61,22
ID,2006,42,35
ID,2008,54,29
ID,2010,51,40
ID,2012,62,20
IN,2006,53,17
IN,2008,60,20
IN,2010,67,14
IN,2012,68,14
IQ,2010,0,90
IQ,2012,4,93
IT,2010,58,24
IT,2012,60,24
JO,2006,50,21
JO,2008,53,31
JO,2010,50,41
JO,2012,57,30
KE,2006,48,24
KE,2008,58,23
KE,2010,49,43
KE,2012,49,46
KG,2008,8,71
KG,2010,15,74
KG,2012,20,76
KH,2008,11,68
KH,2010,15,75
KH,2012,15,81
KR,2006,73,11
KR,2008,66,12
KR,2010,71,10
KR,2012,75,8
KZ,2006,43,31
KZ,2008,35,55
KZ,2010,38,57
KZ,2012,48,48
LB,2008,32,57
LB,2010,32,66
LB,2012,33,69
LK,2006,47,26
LK,2008,64,13
LK,2010,67,13
LK,2012,46,53
LR,2008,3,77
LR,2010,40,54
LR,2012,43,56
MA,2006,19,53
MA,2008,28,59
MA,2010,28,69
MA,2012,38,64
MK,2008,54,28
MK,2010,49,45
MK,2012,35,68
ML,2010,35,61
ML,2012,43,57
MM,2012,0,98
MN,2006,18,55
MN,2008,36,51
MN,2010,60,22
MN,2012,51,38
MW,2006,42,34
MW,2008,28,58
MW,2010,47,47
MW,2012,52,37
MX,2006,50,23
MX,2008,55,27
MX,2010,52,38
MX,2012,61,23
MY,2008,35,54
MY,2010,39,55
MY,2012,39,62
MZ,2010,28,68
MZ,2012,47,50
NA,2006,50,22
NA,2008,46,36
NA,2010,53,37
NA,2012,55,34
NE,2008,26,60
NE,2010,3,85
NE,2012,4,94
NG,2006,20,52
NG,2008,19,61
NG,2010,18,73
NG,2012,16,80
NI,2006,21,50
NI,2008,19,62
NI,2010,37,59
NI,2012,42,59
NO,2006,72,12
NO,2008,80,6
NO,2010,83,5
NO,2012,83,5
NP,2006,36,41
NP,2008,43,41
NP,2010,45,49
NP,2012,44,54
NZ,2006,86,3
NZ,2008,86,4
NZ,2010,90,2
NZ,2012,93,1
PE,2006,77,7
PE,2008,67,11
PE,2010,65,15
PE,2012,57,31
PG,2006,52,18
PG,2008,61,19
PG,2010,57,26
PG,2012,56,32
PH,2006,51,20
PH,2008,48,34
PH,2010,55,33
PH,2012,48,47
PK,2006,51,19
PK,2008,38,47
PK,2010,38,56
PK,2012,58,29
PL,2006,74,10
PL,2008,67,10
PL,2010,64,16
PL,2012,59,25
PT,2010,58,25
PT,2012,62,21
QA,2012,0,98
RO,2006,66,13
RO,2008,62,17
RO,2010,59,23
RO,2012,47,49
RS,2008,46,38
RS,2010,54,36
RS,2012,39,61
RU,2006,47,27
RU,2008,58,22
RU,2010,60,21
