COUNTRY,YEAR,OPEN_BUDGET_INDEX,RANK
AF,2019,50,50
AL,2019,55,43
AO,2019,36,80
AR,2019,58,38
AU,2019,79,8
AZ,2019,35,81
BA,2019,33,84
BD,2019,36,79
BF,2019,31,87
BG,2019,71,16
BI,2019,6,107
BJ,2019,49,51
BO,2019,12,104
BR,2019,81,6
BW,2019,38,77
CA,2019,71,15
CD,2019,33,85
CI,2019,34,83
CL,2019,55,42
CM,2019,28,94
CN,2019,19,98
CO,2019,47,56
CR,2019,57,40
CZ,2019,59,34
DE,2019,69,20
DO,2019,75,12
DZ,2019,2,112
EC,2019,38,76
EG,2019,43,61
ES,2019,53,45
FJ,2019,39,72
FR,2019,74,13
GB,2019,70,19
GE,2019,81,5
GH,2019,54,44
GM,2019,4,110
GQ,2019,5,109
GT,2019,65,24
HN,2019,59,35
HR,2019,68,21
HU,2019,45,60
ID,2019,70,18
IN,2019,49,53
IQ,2019,9,105
IT,2019,71,17
JM,2019,42,63
JO,2019,61,31
JP,2019,62,28
KE,2019,50,49
KG,2019,63,27
KH,2019,32,86
KM,2019,0,115
KR,2019,62,29
KZ,2019,58,37
LB,2019,6,108
LK,2019,47,54
LR,2019,38,74
LS,2019,31,89
MA,2019,43,62
MD,2019,57,39
MG,2019,40,68
MK,2019,41,67
ML,2019,38,74
MM,2019,28,92
MN,2019,56,41
MW,2019,27,95
MX,2019,82,4
MY,2019,47,55
MZ,2019,42,64
NA,2019,51,47
NE,2019,17,100
NG,2019,21,97
NI,2019,41,66
NO,2019,80,7
NP,2019,41,65
NZ,2019,87,1
PE,2019,76,11
PG,2019,50,48
PH,2019,76,10
PK,2019,28,93
PL,2019,60,32
PT,2019,66,23
PY,2019,46,57
QA,2019,1,114
RO,2019,64,25
RS,2019,40,70
RU,2019,74,14
RW,2019,39,73
SA,2019,18,99
SD,2019,2,113
SE,2019,86,3
SI,2019,68,22
SK,2019,60,33
SL,2019,39,71
SN,2019,46,59
SO,2019,3,111
SS,2019,7,106
ST,2019,24,96
SV,2019,46,58
SZ,2019,31,88
TD,2019,14,103
TH,2019,61,30
TJ,2019,17,101
TL,2019,40,69
TN,2019,35,82
TR,2019,51,46
TT,2019,30,90
TZ,2019,17,102
UA,2019,63,26
UG,2019,58,36
US,2019,76,9
VE,2019,0,115
VN,2019,38,77
YE,2019,0,115
ZA,2019,87,2
ZM,2019,30,91
ZW,2019,49,52
