Type,Policy area,Sub-policy area,Policy action,Country,Topics
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"Excise tax on soft and energy drinks – Bahrain

The Kingdom of Bahrain has introduced an excise tax which went into effect on 30 December 2017 after the Implementation Regulations of Excise Tax were issued with the Resolution of the Minister of Finance (Resolution No. 17, 2017) and published in the Official Gazette on 28 December 2017. The excise tax rate imposed by the law is a 100% tax rate on energy drinks and a 50% tax rate on soft drinks. Soft drinks are defined as any aerated beverage except unflavoured aerated water and include any concentrates, powder, gel, or extracts intended to be made into an aerated beverage. Any person intending to import or produce the excisable goods are required to register for the tax.
",Bahrain,"Energy drinks, Sugar, Sugary drinks, Sugary drinks tax, Tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"Excise tax on sugar–sweetened beverages&nbsp;–&nbsp;Barbados

In June 2015, the government of Barbados passed a 10% excise tax on locally produced and imported sugary drinks, including carbonated soft drinks, juice drinks, sports drinks and others. Drinks exempt from the tax include 100% natural fruit juice, coconut water, plain milk and evaporated milk. The tax came into effect on 1 August 2015.

Starting with 1&nbsp;April 2022, the tax level was doubled to 20%.&nbsp;

Evaluations

Alvarado&nbsp;M et al.&nbsp;(2019)&nbsp;Assessing the impact of the Barbados sugar-sweetened beverage tax on beverage sales: an observational study.&nbsp;International Journal of Behavioral Nutrition and Physical Activity,&nbsp;16(1), 13.

Alvarado&nbsp;M&nbsp;et al. (2017) Trends in beverage prices following the introduction of a tax on sugar-sweetened beverages in Barbados. Preventive Medicine, 105,&nbsp;S23-5.
",Barbados,"Sugar, Sugary drinks, Sugary drinks tax, Tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"The Law on Measures to Strengthen Job Creation and Purchasing Power

In December 2015, the Belgian government increased the excise duty on soft drinks by 0.03 Euro&nbsp;per litre as part of a general “health tax” (Law on measures to strengthen job creation and purchasing power–26 December 2015). The now 0.119&nbsp;Euro per litre excise duty came into effect on 1 January 2016 and is applied to all soft drinks, including non-alcoholic drinks and water containing added sugar or other sweeteners or flavours. An excise duty is also applied to any substance intended for the use of manufacturing soft drinks.
",Belgium,"Sugar, Sugary drinks, Sugary drinks tax, Tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"The Bermuda Customs Tariff Act&nbsp;

On 1 October 2018, the Customs Tariffs Amendment (No 2) Act 2018 introduced an ad valorem tax of 50% of the value of waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavouring, and other non-alcoholic beverages entered into force. Syrups containing sugar or other sweetening matter are also taxed at 50%, while fruit and vegetable juices are exempt. Tariff Code 1704.909 also introduced a 50% tax on sugar confectionery not containing cocoa.
",Bermuda,"Sugar, Sugary drinks, Sugary drinks tax, Tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"Excise tax on sugar–sweetened beverages –&nbsp;Brunei

In effect since 1 April 2017, Brunei applies an excise duty at a rate of 0.40 Brunei dollar&nbsp;(around $0.28) per litre for sugar-sweetened beverages with more than 6g&nbsp;of total sugar per 100mL, soya milk drinks with more than 7g&nbsp;of total sugar per 100mL, malted or chocolate drinks with more than 8g&nbsp;of total sugar per 100mL and coffee based drinks or coffee flavoured drinks with 6g&nbsp;of total sugar per 100mL. Milk-based beverages and fruit juices are exempt from the tax.
",Brunei,"Sugar, Sugary drinks, Sugary drinks tax, Tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"Sugar–sweetened beverages tax –&nbsp;Chile

Since 1 January 2015, Chile has applied an 18% ad valorem tax on sugary drinks that contain more than 6.25g of sugar per 100mL, raised from a 13% ad valorem tax on sugary drinks introduced on 1 October 2014. Sugary drinks include all non-alcoholic drinks with added sweeteners including energy drinks and waters. Sugary drinks with less than 6.25g of sugar per 100mL are taxed at 10%.

Evaluations

Caro JC et al. (2020) Combined fiscal policies to promote healthier diets: Effects on purchases and consumer welfare.&nbsp;PLoS One, 15(1),&nbsp;e0226731.

Caro JC et al. (2018) Chile’s 2014 sugar-sweetened beverage tax and changes in prices and purchases of sugar-sweetened beverages: An observational study in an urban environment. PLOS Medicine, 15(7),&nbsp;e1002597.

Essman M et al. (2018) Sugar-sweetened beverage intake among Chilean preschoolers and adolescents in 2016: a cross-sectional analysis. Nutrients, 10(11),&nbsp;1767.

Nakamura R et al. (2018)&nbsp;Evaluating the 2014 sugar-sweetened beverage tax in Chile: An observational study in urban areas. PLoS Medicine, 15(7),&nbsp;e1002596.
",Chile,"Sugar, Sugary drinks, Sugary drinks tax, Tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"Sugar sweetened beverage tax ⸻Cook Islands

The Cook Islands introduced an import duty on soft drinks. The tax is an ad valorem tax of 15% with a subsequent 2% rise per year since 2013.
",Cook Islands,"Sugar, Sugary drinks, Sugary drinks tax, Tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"Tax on saturated fat –&nbsp;Denmark

In October 2011, Denmark introduced a tax of 16 Danish Kroner&nbsp;(around $2.70) per kg of saturated fat for products exceeding 2.3g saturated fat per 100g fat. Taxed products included meat, animal fat, dairy products, margarine and spreads, edible vegetable oils and fats as well as items containing these products. The tax was abolished as of 1 January 2013.

Expired policy

Evaluations

Smed S et al. (2016)&nbsp;The effects of the Danish saturated fat tax on food and nutrient intake and modelled health outcomes: an econometric and comparative risk assessment evaluation.&nbsp;European Journal of Clinical Nutrition,&nbsp;70, 681-686.

Bødker M et al. (2015) The Danish fat tax—Effects on consumption patterns and risk of ischaemic heart disease. Preventive Medicine, 77, 200-203.
",Denmark,"Saturated fat, Tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"Excise tax on sugar content –&nbsp;Dominica

In effect since 1 September 2015, Dominica applies a 10% excise tax to food and drinks with high sugar content. This includes sweets, candy, chocolate bars, soft drinks and other sweetened drinks (including energy drinks). Revenues from the tax will contribute to a national Get Healthy&nbsp;campaign.
",Dominica,"Sugar, Sugary drinks, Sugary drinks tax, Tax"
Nourishing,Use economic tools to address food affordability and purchase incentives,Health-related food taxes,"The Organic Law for the Ordering of Public Finances

In April 2016, the government of Ecuador passed the Organic Law to Balance Public Finances (Official Record 744 Ley Organica para el equilibro de las finanzas publicas). In effect since May 2016, a 10% ad valorem tax is applied to soft drinks with less than 25g of sugar per litre and to all energy drinks. Drinks with more than 25g of sugar per litre are taxed at a special rate of $0.0018 per gram of sugar. Drinks exempt from the tax include dairy products and their derivatives, mineral water and juices that have 50% of natural content.
",Ecuador,"Sugar, Sugary drinks, Sugary drinks tax, Tax"
